title,part_of_speech,definition,new_etymology,relation,source_language,cognates,pie_root
առաջարկ,noun,"['offer, suggestion, proposal.', '(economics) supply.']",,,,,
առավոտ,noun,"['morning.', '(figuratively) youth.']",,,,,
առերեսել,verb,"['to confront, to come face to face.']",,,,,
առյուծ,noun,"['lion.']",,,,,
առնչել,verb,"['transitive to relate to.', '(transitive) to relate to.']",,,,,
ասպարեզ,noun,"['sphere; area, domain, field, realm.', 'racecourse, hippodrome.', 'arena.', '(dated) stadion (a uni",,,,,
ասպեկտ,noun,"['aspect.']",,,,,
ասպիրանտ,noun,"['postgraduate, graduate student a person continuing to study after completing a degree.', 'postgrad",,,,,
աստված,noun,"['god.', '(often capitalized, singular only) God of Christianity.']",,,,,
ասֆալտ,noun,"['asphalt sticky, black and highly viscous liquid or semi-solid.', 'asphalt (sticky, black and highl",,,,,
ավագանի,noun,"['collective, historical nobility, grandees.', '(collective, historical) nobility, grandees.', '(col",,,,,
ավազակ,noun,"['robber, brigand, thug, bandit.']",,,,,
ավանակ,noun,"['donkey, ass.', '(figuratively) ass, jackass; idiot, dumb-ass, fool, blockhead, clot, dimwit.']",,,,,
ավելյաց,noun,"['historical, often, capitalized the five epagomenal days of the ancient Armenian calendar (inserted",,,,,
ավերանք,noun,"['ruin, devastation.']",,,,,
ավերել,verb,"['transitive to ruin, destroy, devastate.', '(transitive) to ruin, destroy, devastate.']",,,,,
ավտոբուս,noun,"['bus.']",,,,,
ավտոտնակ,noun,"['garage.']",,,,,
արածել,verb,"['intransitive to graze, to pasture, to browse.', '(intransitive) to graze, to pasture, to browse.',",,,,,
արատավոր,adj,"['vicious, faulty, defective, flawed.']",,,,,
արարել,verb,"['poetic to do.', '(poetic) to do.', '(poetic) to create.']",,,,,
արդուկել,verb,"['to press, to iron, to pass an iron over.']",,,,,
արժույթ,noun,"['currency.']",,,,,
արխալուղ,noun,"['arkhalig.']",,,,,
արձագանք,noun,"['echo.', '(figuratively) repercussion.', 'response.']",,,,,
արմունկ,noun,"['elbow.']",,,,,
արյուն,noun,"['blood.', '(figuratively) slaughter.']",,,,,
արշավանք,noun,"['invasion, incursion, raid.', '(military) campaign.']",,,,,
արշավել,verb,"['to run with an intention to attack; to raid, invade.']",,,,,
արտագաղթ,noun,"['emigration.']",,,,,
արտալա,noun,"[', glosses with.', 'beef shank.', 'a khash made from beef shank.', '(by extension) any lean and low",,,,,
արտահերթ,adj,"['out-of-turn, extra, extraordinary, special.']",,,,,
արտոսր,noun,"['archaic, poetic tear.', '(archaic, poetic) tear.']",,,,,
արտևան,noun,"['dated eyelash.', '(dated) eyelash.', '(dated, figuratively, poetic) top, summit.']",,,,,
