title,part_of_speech,definition,current_etymology
արջի ծառայություն մատուցել,,['idiomatic to render someone a disservice while ostensibly attempting to help them.'],
արտասանել,verb,"['transitive to pronounce to sound out a word or phrase; to articulate.', '(transitive) to pronounce",
արտացոլում,noun,"['reflection act of reflecting; the state of being reflected.', 'reflection (act of reflecting; the ",
արցունքաբեր գազ,,['tear gas.'],
արևապաշտպան,adj,"['sunscreening.', 'sunscreen.']",
աքլորականչ,noun,"['crow (of a cock).', 'cockcrow, dawn.']",
աքսեսուար,noun,"['accessory that which belongs to something else deemed the principal.', 'accessory (that which belo",
բադակտուց,noun,['platypus.'],
բազմաստվածություն,noun,['polytheism.'],
բազմություն,noun,"['public, crowd, multitude, throng.', 'great number, large quantity, multitude, host, swarm.', '(mat",
բաժանմունք,noun,"['department, division, branch.']",
բանջարեղեն,noun,['vegetable.'],
բառակապակցություն,noun,"['linguistics collocation, word combination, phrase.', '(linguistics) collocation, word combination,",
բառապաշար,noun,"['vocabulary totality of words of a language.', 'vocabulary (totality of words of a language).', 'vo",
բասկետբոլիստ,noun,"['basketball player, basketballer.']",
բավարարել,verb,"['to satisfy, to meet needs, to fulfill.', 'to suffice, to last enough.']",
բարելավել,verb,['to improve.'],
բարեկամական,adj,"['friendly.', 'kindred (of the same kin; related by family).']",
բարեմասնություն,noun,"['quality, advantage, merit of a person.', 'quality, advantage, merit (of a person).', '(humorous) a",
բարիդրացիական,adj,"['neighbourly, good-neighbourly, friendly (especially about relations between countries).']",
բարձվենյակ,noun,['Artemisia gen.'],
բարձրագույն ուսումնական հաստատություն,,['institute of higher education; college or university.'],
բացատրություն,noun,['explanation.'],
բենզալցակայան,noun,"['gas station, petrol station.']",
բենզասղոց,noun,['chainsaw.'],
բեսթսելեր,noun,['bestseller.'],
բերման ենթարկել,,"['law, transitive to detain and forcibly bring to the police or court.']",
բժշկական դիմակ,,"['surgical mask, facemask.']",
բիզնեսմեն,noun,['businessman.'],
բնութագրել,verb,"['to depict, to represent, to characterize.']",
բորտուղեկցորդ,noun,['flight attendant.'],
բուժքույր,noun,"['nurse person trained to provide care for the sick.', 'nurse (person trained to provide care for th",
բռնակալություն,noun,"['tyranny, despotism.']",
գագաթնաժողով,noun,"['summit gathering of leaders.', 'summit (gathering of leaders).']",
գազարագույն,adj,"['colloquial orange color.', '(colloquial) orange (color).']",
գազոնահնձիչ,noun,['lawn mower.'],
գաղափարախոս,noun,['ideologue.'],
գաղութարար,adj,"['colonizing, turning other countries into colonies.', 'colonizer.']",
գեղեցկահարմար,adj,"['literary beautifully shaped.', '(literary) beautifully shaped.']",
գետնանուշ,noun,['peanut.'],
գետնառյուծ,noun,"['rare chameleon.', '(rare) chameleon.']",
գերիրապաշտություն,noun,['surrealism.'],
գերմանացի,noun,['German.'],
գլադիատոր,noun,['gladiator.'],
գլուխը ծեծել,,"['to sob, mourn, grieve.']",
գլուխկոտրուկ,noun,"['brain-teaser, puzzle.']",
գյոթվերան,noun,"['faggot, fag.', 'motherfucker, dickhead (severe insult).']",
գուջարաթի,noun,"['Gujarati language.', 'Gujarati (language).']",
գրադարանավար,noun,"['librarian one who cares for the publications, files, etc., in a library.', 'librarian (one who car",
գրավիտացիա,noun,"['physics gravity.', '(physics) gravity.']",
գրեյպֆրուտ,noun,"['grapefruit tree and fruit of.', 'grapefruit (tree and fruit of Citrus paradisi).']",
գրկախառնել,verb,"[""transitive to hug tightly, to wrap one's arms around somebody."", ""(transitive) to hug tightly, to ",
գրկախառնվել,verb,"['intransitive to hug, to embrace one another.', '(intransitive) to hug, to embrace one another.']",
գրչություն,noun,['the art of writing manuscripts.'],
դադարգյուն,adj,"['dispossessed, down and out, having no home or possessions.', '(dialectal) dispossessed, down and o",
դանդանավանդ,noun,"['archaic bit, curb.', '(archaic) bit, curb.', '(archaic) gag.']",
դաշնակցական,adj,"['a member of the Armenian Revolutionary Federation.', 'of or pertaining to the Armenian Revolutiona",
դավաճանել,verb,"['to betray.', 'to commit adultery.']",
դարանակալել,verb,"['to ambush, to waylay, to lie in wait.']",
դեմոկրատիա,noun,['democracy.'],
դերակատար,noun,"['theatre, cinema roleplayer, performer of a role, performer of a part of, actor.', '(theater, film)",
դիմավորել,verb,"['to see in, meet, receive, welcome, greet.', '(dated) to personify.']",
դիստրիբյուտոր,noun,"['distributor intermediary between manufacturer and reseller.', 'distributor (intermediary between m",
դիտողություն,noun,"['observation.', 'comment, remark (light critique).', 'disciplinary penalty.', 'research, study, sur",
դուբինկել,verb,"['transitive to bludgeon, to cudgel; to truncheon, to club, to baton.', '(transitive) to bludgeon, t",
դուզնաքյա,adj,"['archaic little.', '(archaic) little.']",
եղբայրական գերեզման,,['mass grave.'],
եղբայրասպանություն,noun,"[""fratricide killing of one's brother."", ""fratricide (killing of one's brother).""]",
եղեռնադատ,adj,"['legal, of a court presiding over criminal cases.', '(law, of a court) presiding over criminal case",
ենթակայան,noun,['substation site where electricity supplied by long-distance transmission lines is transformed and/,
եռանկյուն,noun,['triangle.'],
երեսպաշտություն,noun,['hypocrisy.'],
երթուղային տաքսի,,"['formal marshrutka, minibus, fixed route taxi.']",
երթևեկելի մաս,,"['roadway, carriageway the part of a road that carries traffic.']",
երիտասարդանալ,verb,"['intransitive to be rejuvenated, to become young.', '(intransitive) to be rejuvenated, to become yo",
երիտասարդություն,noun,"['youth the quality or state of being young.', 'youth (the quality or state of being young).', 'yout",
երկաթե վարագույր,,['Iron Curtain.'],
երկաթուղի,noun,"['railway, railroad.']",
երկյուղել,verb,"['to feel or get scared, frightened, terrified.']",
երկնաթռիչ,adj,"['that flies, soars to heaven.']",
երկնակառույց,adj,"['literary, rare founded in heaven, constructed in heaven.', '(literary, rare) founded in heaven, co",
երկրագունդ,proper noun,"['Earth planet.', 'Earth (planet).']",
երջանկահիշատակ,adj,['of blessed memory.'],
զանգվածային ոչնչացման զենք,,['weapon of mass destruction.'],
զգացմունք,noun,"['feeling, emotion.']",
զգուշացնել,verb,"['transitive to warn.', 'causative of զգուշանալ (zgušanal).', '(transitive) to warn.']",
զինծառայող,noun,"['serviceman, soldier.', 'acronym of զինվորական ծառայող (zinvorakan caṙayoġ), serviceman, soldier.']",
զինկոմիսարիատ,noun,"['Acronym of զինվորական կոմիսարիատ / [Non-English or unclear definition removed.].', 'acronym of զին",
զոշաքաղություն,noun,"['sordid love of gain, base covetousness.']",
զորակոչիկ,noun,"['military draftee, recruit, conscript.', '(military) draftee, recruit, conscript.']",
զուգահեռանիստ,noun,"['geometry parallelepiped.', '(geometry) parallelepiped.']",
զվարճախոսել,verb,"['to joke, jest, say funny things.']",
զրահագնացք,noun,['armoured train.'],
էլեկտրակայան,noun,"['power station, power plant.']",
էսկալատոր,noun,"['escalator mechanical device.', 'escalator (mechanical device).']",
էվոլյուցիա,noun,"['evolution, development.', '(biology) evolution.']",
էքսկավատոր,noun,"['excavator vehicle.', 'excavator (vehicle).']",
էքսկուրսիա,noun,"['excursion, trip, visit, journey, sightseeing, hike, outing brief recreational trip.', 'excursion, ",
ընդունարան,noun,"['reception room, waiting room.', 'reception, reception desk.']",
ընկուզենի,noun,['walnut tree.'],
թագավարակ,noun,"['coronavirus an illness caused by a coronavirus.', 'coronavirus (an illness caused by a coronavirus",
թեորիապես,adv,"['proscribed theoretically.', '(proscribed) theoretically.']",
թունավորել,verb,"['transitive to poison.', '(transitive) to poison.']",
թվաբանական,adj,"['arithmetical, arithmetic.']",
ժեստերի լեզու,,['sign language.'],
ժուռնալիստ,noun,['journalist.'],
իմաստության ատամ,,['wisdom tooth.'],
իմաստություն,noun,['wisdom.'],
իմիջիայլոց,adv,"['by the way, among other things, incidentally.']",
իմունիզացիա,noun,['immunization.'],
իմպերիալիզմ,noun,['imperialism.'],
իմպերիալիստ,noun,['imperialist.'],
ինտելիգենցիա,noun,"['dated.', '(dated) synonym of մտավորականություն (mtavorakanutʻyun).']",
ինտերսեքս,adj,"['neologism intersex.', '(neologism) intersex.']",
ինքնագնահատական,noun,['self-esteem.'],
ինքնաշարժ,adj,"['self-propelled, self-moving; automatic; self-acting.', '(Western Armenian) car, automobile.']",
ինքնատիրապետում,noun,"['self-possession, self-control, composure.']",
իշլի քյուֆթա,,['kibbeh a Levantine Arab dish made of bulgur and chopped meat.'],
իր վրա աշխատել,,"[""idiomatic to refine oneself, to cultivate one's abilities.""]",
լաբորատորիա,noun,['laboratory.'],
լայնատերև,adj,['broad-leaved.'],
լեյտենանտ,noun,['lieutenant.'],
լերկամորթ,adj,"['of fish having scaleless skin.', '(of fish) having scaleless skin.']",
լոկոմոտիվ,noun,['locomotive.'],
լուսանկար,noun,['photograph.'],
լուսանկարել,verb,['to photograph.'],
լուսատարի,noun,"['astronomy light year.', '(astronomy) light year.']",
լռության րոպե,,['moment of silence.'],
լրջություն,noun,['seriousness.'],
խայտաբղետ,adj,"['variegated, motley, having many colours.', 'motley, heterogeneous, comprising greatly varied eleme",
խելագարանոց,noun,['mental hospital.'],
խելագարություն,noun,"['madness, insanity.']",
խեղաթյուրել,verb,"['to distort, to falsify, to misrepresent the truth.', 'to cripple, to maim, to disable.', 'to trans",
խոշտանգել,verb,"['transitive, formal to torture, torment.', '(transitive, formal) to torture, torment.']",
խոչընդոտել,verb,"['to hinder, to impede, to obstruct.']",
խորհրդանշել,verb,"['to symbolize, to typify, to stand for.', 'to express, to represent, to demonstrate, to mean.']",
խրախուսել,verb,"['to encourage, to spur on, to hearten.', 'to stimulate, to commend, to incite.']",
խրիզոպրազ,noun,"['mineral chrysoprase (a variety of light-green translucent quartz).', '(mineralogy) chrysoprase (a ",
խցանակաղնի,noun,"['cork oak.', 'cork oak (Quercus suber).']",
ծախծխոտել,verb,"['frequentative.', '(frequentative) synonym of ծախծխել (caxcxel).']",
ծաղկեփունջ,noun,['bouquet of flowers.'],
ծանրություն,noun,"['weight.', 'heaviness.', 'load, weight.', '(figuratively) difficulty.', '(figuratively) seriousness",
ծափահարել,verb,"['to applaud, to clap.', 'to clap (e.g., to the beat of a song or piece of music).', 'to commend, to",
ծխածածկույթ,noun,['smokescreen.'],
ծխնելույզ,noun,['chimney.'],
ծովախոզուկ,noun,['guinea pig.'],
ծրագրային ապահովում,,['computing software encoded computer instructions.'],
կազմակերպված հանցավորություն,,['organized crime.'],
կազմություն,noun,"['structure.', 'making, formation, compositing.', '(totality of constituents) composition; structure",
կալանավորել,verb,"['transitive to jail, to imprison.', '(transitive) to jail, to imprison.']",
կակազություն,noun,"['stammering, stuttering.']",
կամաց-կամաց,adv,"['little by little, slowly but surely, step by step.']",
կանխատեսել,verb,"['transitive to predict, foresee.', '(transitive) to predict, foresee.']",
կապակցություն,noun,"['connectedness, coherence.', 'connection.', 'combination.']",
կառուցանել,verb,"['dated alternative form of կառուցել.', '(dated) alternative form of կառուցել (kaṙucʻel).']",
կատաստրոֆա,noun,"['obsolete catastrophe, disaster.', '(obsolete) catastrophe, disaster.']",
կատարելագործել,verb,"['transitive to improve, to perfect.', '(transitive) to improve, to perfect.']",
կատեգորիա,noun,['category.'],
կարգաբանել,verb,['to classify (in taxonomy or systematics).'],
կարծրատիպ,noun,"['stereotype conventional, formulaic, and oversimplified conception, opinion, or image.', 'stereotyp",
կարկանդակ,noun,"['formal pie.', '(formal) pie.', '(formal) pirozhki.', '(formal, Western Armenian) cake.']",
կարճամետրաժ,adj,"['short, short-length.', '(cinematography) short, short-length.']",
կարմիրիմսի,adj,['reddish.'],
կացնահարել,verb,"['to axe.', '(figuratively) to kill, to murder, to end.']",
կենսաբազմազանություն,noun,"['ecology biodiversity.', '(ecology) biodiversity.']",
կենսոլորտ,noun,"['ecology biosphere.', '(ecology) biosphere.']",
կիբեռնետիկա,noun,['cybernetics.'],
կինոթատրոն,noun,"['cinema, movie theatre.']",
կինոռեժիսոր,noun,['film director.'],
կիսակայարան,noun,"['rail transport halt.', '(rail transport) halt.']",
կիսապաշտպան,noun,"['football midfielder.', '(soccer) midfielder.']",
կիսապաշտպանություն,noun,"['soccer the midfield the collective group of midfielders.', '(soccer) the midfield (the collective ",
կիսաֆաբրիկատ,noun,"['semi-finished product.', 'convenience food.']",
կոկորդիլոս,noun,['crocodile.'],
կոմկուսակցություն,noun,"['dated Communist party.', '(dated) Communist party.']",
կոմունիստ,noun,['communist.'],
կոմպարտիա,noun,"['dated Communist party.', '(dated) Communist party.']",
կոնտեյներ,noun,"['container a very large, typically metal, box used for transporting goods.', 'container (a very lar",
կոնֆերենցիա,noun,"['obsolete conference.', '(obsolete) conference.']",
կոնֆիդենցիալ,,['confidential.'],
կոռուպցիա,noun,"['corruption, corrupt practices.']",
կոսմոպոլիտ,noun,"['cosmopolite, cosmopolitan.']",
կոսմոպոլիտիզմ,noun,['cosmopolitanism.'],
կորուսանել,verb,['to lose.'],
կուլտուրա,noun,['culture.'],
կրակմարիչ,noun,['fire extinguisher.'],
կրծքանշան,noun,['badge.'],
կրկնակզակ,noun,['double chin.'],
հալած պանիր,,['processed cheese.'],
հակահարձակում,noun,['counter-attack.'],
հակառեյտինգ,noun,"['sociology disapproval rating.', '(sociology) disapproval rating.']",
հակաօդային,adj,['anti-aircraft.'],
համակարգել,verb,"['to systematize.', 'to coordinate.']",
համակարգիչ,noun,['computer.'],
համապատասխան,adj,"['appropriate, proper.', 'corresponding.']",
համապատասխանել,verb,"['to correspond.', 'to match, fit.']",
համասեռամոլություն,noun,['homosexuality.'],
համեմատություն,noun,['comparison.'],
համեստություն,noun,['modesty.'],
համըմբռնում,noun,"['figure of speech synecdoche.', '(rhetoric) synecdoche.']",
հայթայթել,verb,"['to procure, to get, to obtain.']",
հայտարարել,verb,"['to announce, to declare.']",
հայտարարություն,noun,"['declaration, announcement.']",
հանգստապատառ,noun,['Turkish delight.'],
հանդուրժել,verb,"['transitive to tolerate.', '(transitive) to tolerate.']",
հանրախանութ,noun,['department store.'],
հանրակացարան,noun,"['hostel , dormitory.', 'hostel (UK), dormitory (US).']",
հաշմանդամ,adj,"['disabled, crippled.', 'disabled person, invalid.']",
հաշտություն,noun,"['a state of peacefulness or harmony and absence of discord; concord.', 'return to a state of peace ",
հաստատում,noun,"['confirmation, affirmation.', 'assertion.']",
հաստատուն,adj,"['certain, sure, definite.', 'unchanging, stable.']",
հասցեական,adj,"['selective, targeted.']",
հավալուսն,noun,['pelican.'],
հավասարապես,adv,"['equally, evenly.']",
հավատարմագրել,verb,"['diplomacy to accredit.', '(diplomacy) to accredit.']",
հավերժություն,noun,['eternity.'],
հավուր պատշաճի,,"['appropriate for the current circumstances, meeting the needs of the day.']",
հատուկենտ,adj,"['few, scarce, sporadic.']",
հարակարծություն,noun,"['dated paradox.', '(dated) paradox.']",
հարթուկել,verb,"['to press, to iron, to pass an iron over.']",
հարկադրել,verb,"['transitive to oblige, to force, to compel.', '(transitive) to oblige, to force, to compel.']",
հարվածային գործիք,,['musical instruments percussion instrument.'],
հեղափոխել,verb,"['transitive to revolutionise.', '(transitive) to revolutionise.']",
հեղափոխություն,noun,['revolution.'],
հեղինակային իրավունք,,['copyright.'],
հեռաձայնել,verb,"['to call.', 'to call (by phone).']",
հեռուստադիտող,noun,"['viewer someone who watches television.', 'viewer (someone who watches television).']",
հեռուստացմփորիկ,noun,"['Teletubby.', '(humorous, colloquial) short and fat person.']",
հետախույզ,adj,"['military scout.', '(military) scout.', 'intelligence officer.', '(geology) prospector.', '(dated) ",
հետահար մուրճ,,"['jackhammer, pneumatic drill, road breaker, demolition hammer.']",
հետաքրքրել,verb,"['transitive to interest.', '(transitive) to interest.']",
հերոսաբար,adv,['heroically.'],
հիմնադրել,verb,"['to found, establish.']",
հինավուրց,adj,"['ancient, antique.']",
հիւնքեար պէյէնտի,,['an eggplant and lamb dish in Ottoman cuisine.'],
հյուպատոս,noun,['consul an official residing in major foreign towns to represent and protect the interests of the m,
հյուսիսայգ,noun,"['northern lights, aurora borealis.']",
հյուրախաղ,noun,['concert tour.'],
հողմածաղիկ,noun,"['anemone, windflower ( genus and species).', 'anemone, windflower (Anemone genus and species).']",
հողմաշարժիչ,noun,"['wind engine a wind-driven machine: wind turbine, windmill, wind generator.', 'wind engine (a wind-",
հոտազերծիչ,adj,"['deodorant.', 'deodorant (odor-controlling substance applied to the underarm to counteract odor fro",
հորիզոնական,adj,"['horizontal.', 'rank; row.']",
հուսալքել,verb,"['to discourage, to dispirit (to make someone lose or abandon hope).']",
հրատարակել,verb,"['transitive to publish to issue (something, such as printed work) for distribution and/or sale.', '",
ձգողականություն,noun,"['attraction the tendency to attract.', 'attraction (the tendency to attract).', '(physics) gravity.",
ձելկվա բոխատերև,,['Caucasian zelkova.'],
ձեռ առնել,,"['idiom, colloquial to deride, mock, ridicule, laugh at.']",
ձեռքսեղմում,noun,"['handshake grasping of hands by two people.', 'handshake (grasping of hands by two people).']",
ձյունատախտակ,noun,"['rare, neologism snowboard.', '(rare, neologism) snowboard.']",
ձևավոր չմշկասահք,,['figure skating.'],
ճաղատություն,noun,['baldness.'],
ճամփորդել,verb,['to travel.'],
ճանապարհային նշան,,['road sign.'],
ճանապարհել,verb,['to see off.'],
ճաշակին ընկեր չկա,,"[""there's no accounting for taste.""]",
ճարահատել,verb,"['to despair, to be hopeless, to be helpless.', 'to be forced, to be constrained.']",
ճոպանուղի,noun,"['cableway, ropeway.']",
ճոռոմախոսել,verb,"['to speak or write in a style that is inflated, embellished, ornate, elevated.']",
մամելյուկ,noun,"['alternative form of մամլուք.', 'alternative form of մամլուք (mamlukʻ).']",
մանկապարտեզ,noun,['kindergarten.'],
մանկասայլակ,noun,"['somewhat, formal baby carriage, stroller, pushchair.', '(somewhat formal) baby carriage, stroller,",
մանկատուն,noun,"[""children's home, orphanage.""]",
մանրամասնություն,noun,"['circumstance.', 'detail.']",
մատակարարել,verb,"['transitive to provide, to supply, to purvey.', '(transitive) to provide, to supply, to purvey.']",
մատակարարում,noun,"['supply, delivery.']",
մատերիալիզմ,noun,"['philosophy materialism.', '(philosophy) materialism.']",
մարմնավորում,noun,"['embodiment, incarnation, personification.']",
մարշրուտկա,noun,"['informal, transport marshrutka, minibus, fixed route taxi.', '(informal, transport) marshrutka, mi",
մարտարվեստ,noun,['martial art.'],
մաքրություն,noun,"['cleanliness, tidiness.', 'purity.']",
մեկտեղանոց,adj,"['single, designed for the use of only one.']",
մեղրագինի,noun,['mead.'],
մենախոսություն,noun,['monologue.'],
մեռելաքաղաք,noun,['necropolis.'],
մթություն,noun,['darkness.'],
միանգամից,adv,"['in one action, in a single attempt.', 'all together, as a group.', 'at once, immediately.']",
միանձնուհի,noun,['nun.'],
միեղջյուր,noun,['unicorn.'],
միջմոլորակային,adj,['interplanetary.'],
միջոցառում,noun,"['undertaking, action, enterprise, measure that which is undertaken.', 'undertaking, action, enterpr",
մունիցիպալիտետ,intj,"['Eastern Armenian municipality.', '(Eastern Armenian) municipality.']",
մրջնառյուծ,noun,['antlion.'],
մրսածություն,noun,['common cold.'],
յոլա գնալ,,"['intransitive to get along, get on.']",
յուղալավաշ,noun,"['dialectal a kind of lavash with oil.', '(dialectal) a kind of lavash with oil.']",
նախագահացու,noun,"['informal presidential candidate.', '(informal) presidential candidate.']",
նախադպրոցական,adj,"['preschool.', 'preschooler, preschool child.']",
նախաճաշել,verb,"['to breakfast, to have breakfast.']",
նավարկություն,noun,"['seafaring, navigation.']",
նեղություն,noun,"['narrowness.', 'trouble, inconvenience.']",
նեոկլասիցիզմ,noun,['neoclassicism.'],
ներքաղաքական,adj,"['internal political, domestic political; of home policy.']",
նիզակաբուն,noun,"['lance shaft, spearshaft.']",
նիստուկաց,noun,"['livelihood, way of life; conduct, manners, customs.', 'relations, relationship, connection.']",
նկատողություն,noun,"['a brief judgment or evaluation.', 'reproof, reproach.']",
նկարագրել,verb,['to describe.'],
նշանավոր սահման,,['math wonderful limit one of the two special limit expressions.'],
նորաբանություն,noun,"['linguistics, lexicography neologism word or phrase which has recently been coined.', '(linguistics",
նունուֆար,noun,"['spatterdock, yellow pond-lily.', 'spatterdock, yellow pond-lily (Nuphar advena).', 'nenuphar, Euro",
նռնականետ,noun,['grenade launcher.'],
նվագերգություն,noun,"['rare song, singing; chant; music, melody.', '(rare) song, singing; chant; music, melody.']",
շախմատիստ,noun,['chess player.'],
շանթամբոխ,noun,"['neologism, rare flash mob.', '(neologism, rare) flash mob.']",
շաքարավազ,noun,['granulated sugar.'],
շեֆ-խոհարար,noun,"['chef (head cook, e.g., at a restaurant).']",
շինանյութ,noun,['building material.'],
շինհրապարակ,noun,['construction site.'],
շիջուցանել,verb,"['alternative form of շիջեցնել.', 'alternative form of շիջեցնել (šiǰecʻnel).']",
շնորհաբաշխ,adj,"['literary granting or distributing favours.', '(literary) granting or distributing favours.']",
շտապօգնություն,noun,"['ambulance emergency vehicle.', 'ambulance (emergency vehicle).', 'emergency medical service (EMS).",
ողբերգակատակերգական,adj,['tragicomic.'],
ողբերգակատակերգություն,noun,['tragicomedy.'],
ողջագուրել,verb,"['transitive to embrace and kiss.', '(transitive) to embrace and kiss.']",
ողջախոհություն,noun,"['soundness of mind, prudence, discretion; sanity.', 'moderation in sensual desires, self-control, t",
ոսոխություն,noun,"['rare, literary hostility, enmity.', '(rare, literary) hostility, enmity.']",
ոստիկանություն,noun,['police.'],
ոտքի կանգնեցնել,,"[""idiomatic to cure, to put back on one's feet.""]",
որկրամոլություն,noun,['gluttony.'],
ուղեղների արտահոսք,,['brain drain.'],
ուղեղների լվացում,,['brain-washing.'],
ունայնություն ունայնությանց,,['vanity of vanities.'],
ուսումնական տարի,,['education school year.'],
ուսումնասիրել,verb,"['to research, to study, to examine.', 'to investigate, to probe, to analyze.', 'to follow, to obser",
չաղություն,noun,"['colloquial fatness, stoutness; obesity.', '(colloquial) fatness, stoutness; obesity.']",
չարություն,noun,"['evil, wickedness.', 'a naughty or mischievous act (usually by children).']",
չկա չարիք առանց բարիք,,['every cloud has a silver lining in every bad situation there is an element of good.'],
պակասություն,noun,"['shortage, lack, deficiency, scarcity.', 'defect, fault, flaw.']",
պայմանավորել,verb,"['to restrict, to limit (to make dependent on or to make conditional).', '(rare) to restrict, to lim",
պանդոկապետ,noun,['innkeeper.'],
պատգամավորացու,noun,"['informal candidate for the post of an MP.', '(informal) candidate for the post of an MP.']",
պատմուճան,noun,"['cloak, mantle, robe, gown.']",
պատուհասել,verb,['to punish.'],
պատրոնդաշ,noun,['cartridge belt; cartridge box.'],
պարապմունք,noun,['practice (repetition of an activity to improve skill).'],
պարետային ժամ,,['curfew.'],
պարտադրել,verb,"['transitive to oblige.', '(transitive) to oblige.', '(transitive) to compel, to force, to make.']",
պետհամարանիշ,noun,['license plate.'],
պետպատվեր,noun,"['Acronym of պետական պատվեր: government procurement, public procurement; government contract.', 'acr",
պլանավորել,verb,['to plan.'],
պնդություն,noun,"['firmness, hardness, durability, solidity, strength.']",
պոլիոմիելիտ,noun,"['disease poliomyelitis.', '(pathology) poliomyelitis.']",
պոռնկագրություն,noun,['pornography.'],
պոռնկանոց,noun,"['brothel, whorehouse, bordello.']",
պոռնկատուն,noun,"['brothel, whorehouse, bordello.']",
պոռնկություն,noun,"['prostitution, whoredom.']",
պոռնոգրաֆիա,noun,['pornography.'],
պոռոտաբանել,verb,"['to talk big, to boast, to prattle.']",
պոռոտախոսել,verb,"['to talk big, to boast, to prattle.']",
