Armenian Word,Part of Speech,Definition,New Etymology (English),Relation,Source Language,Cognates,PIE Root
ակնարկել,verb,"""[""to give a look or move one's eyes as a message or signal."", 'to hint, to allude, to remind subtly."",,,,,",Modern Armenian compound.,compound,,--,unknown
աղախին,noun,"""['maidservant, housemaid, maid.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղամող,noun,"""['tortuous, twisting; crooked, distorted.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղանդեր,noun,"""['formal dessert.', '(formal) dessert.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղաչել,verb,"""['to entreat, to beg, to pray, to implore, to supplicate (for).']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղաջուր,noun,"""['.ogg|a=Eastern Armenian}}.', 'brine.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղավնի,noun,"""['dove, pigeon.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղբյուր,noun,"""['spring, fountain, source of water.', 'the water flowing from a spring.', 'a structure built upon a"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղբուն,noun,"""['dialectal manure prepared for fertilizing fields.', '(dialectal) manure prepared for fertilizing f"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղոթարար,adj,"""['that prays to god, that addresses god in prayer.', 'mantis, praying mantis (insect of the order Ma"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղտոտել,verb,"""['transitive to soil, to sully, to dirty.', '(transitive) to soil, to sully, to dirty.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աճյուն,noun,"""['ashes, remains of a human.', 'ashes, remains (of a human).', 'corpse, dead body.', '(figuratively)"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամբիցիա,noun,"""['ambition.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամենայն,pron,"""['chiefly, literary all, entire.', '(chiefly literary) all, entire.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ամփոփում,noun,"""['summary condensed presentation of the substance of a body of material.', 'summary (condensed prese"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
այբուբեն,noun,"""['alphabet.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
այդպես,adv,"""['so, that way, thus.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
այլափառ,adj,"""['heterodox, differing in opinion.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
այտուց,noun,"""['pathology swelling; edema.', '(pathology) swelling; edema.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անապեստ,noun,"""['anapest.', '(poetry) anapest.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անասուն,noun,"""['animal, beast.', 'animal, beast (usually a farm animal).', '(derogatory) brute, beast (used as a g"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անատակ,adj,"""['dialectal bottomless; very deep.', '(dialectal) bottomless; very deep.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդեորդ,noun,"""['archaic herdsman, shepherd.', '(archaic) herdsman, shepherd.', '(archaic, astronomy) Boötes.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդորր,adj,"""['quiet, serenity, peace, calm.', 'quiet, serene, peaceful, calm.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդրանիկ,adj,"""['firstborn.', '(dated) only child, child without siblings.', '(dated) having no siblings.', '(figur"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդրուար,noun,"""['dated cart, wagon.', '(dated) cart, wagon.', '(dated) horse or mule yoked to a cart.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անթայր,noun,"""['dated anthrax.', '(dated) anthrax.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անկանել,verb,"""['archaic, transitive to lay the groundwork of lace; to weave; to twine.', '(archaic, transitive) to"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անկլավ,noun,"""['enclave.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անհայտ,adj,"""['unknown.', '(algebra) unknown.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անհաջող,adj,"""['unsuccessful, failed.', 'unlucky.', 'infelicitous, unfortunate.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անշշուկ,adj,"""['silent, noiseless.', 'silently, noiselessly.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անորոշ,adj,"""['indefinite, indistinct, vague.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անույշ,adj,"""['dated alternative form of անուշ.', '(dated) alternative form of անուշ (anuš).']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անուշակ,adj,"""['pleasant, agreeable.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անջրպետ,noun,"""['bar, barrier, obstacle; partition.']"",,,,,",Modern Armenian compound.,compound,,--,unknown
անվանում,noun,"""['name, title.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անօդաչու,adj,"""['unmanned of aerial vehicles.', 'unmanned (of aerial vehicles).', '(colloquial) ellipsis of անօդաչո"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աշտանակ,noun,"""['candlestick.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աուդիտոր,noun,"""['auditor.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ապարանք,noun,"""['palace.']"",,,,,",Modern Armenian compound.,compound,,--,unknown
ապտակել,verb,"""['transitive to slap.', '(transitive) to slap.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ապրանք,noun,"""['goods, product.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աջակցել,verb,"""['to aid, to assist, to succour.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առայժմ,adv,"""['for now, for the present, for the time being.', 'good bye!']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առապար,adj,"""['craggy place.', 'stony, rugged, craggy.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առաջարկ,noun,"""['offer, suggestion, proposal.', '(economics) supply.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առավոտ,noun,"""['morning.', '(figuratively) youth.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առերեսել,verb,"""['to confront, to come face to face.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առյուծ,noun,"""['lion.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առնչել,verb,"""['transitive to relate to.', '(transitive) to relate to.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ասպարեզ,noun,"""['sphere; area, domain, field, realm.', 'racecourse, hippodrome.', 'arena.', '(dated) stadion (a uni"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ասպեկտ,noun,"""['aspect.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ասպիրանտ,noun,"""['postgraduate, graduate student a person continuing to study after completing a degree.', 'postgrad"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աստված,noun,"""['god.', '(often capitalized, singular only) God of Christianity.']"",,,,,",Borrowed from Ancient Greek.,loanword,Greek,--,unknown
ասֆալտ,noun,"""['asphalt sticky, black and highly viscous liquid or semi-solid.', 'asphalt (sticky, black and highl"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ավագանի,noun,"""['collective, historical nobility, grandees.', '(collective, historical) nobility, grandees.', '(col"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ավազակ,noun,"""['robber, brigand, thug, bandit.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ավանակ,noun,"""['donkey, ass.', '(figuratively) ass, jackass; idiot, dumb-ass, fool, blockhead, clot, dimwit.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ավելյաց,noun,"""['historical, often, capitalized the five epagomenal days of the ancient Armenian calendar (inserted"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ավերանք,noun,"""['ruin, devastation.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ավերել,verb,"""['transitive to ruin, destroy, devastate.', '(transitive) to ruin, destroy, devastate.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ավտոբուս,noun,"""['bus.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ավտոտնակ,noun,"""['garage.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արածել,verb,"""['intransitive to graze, to pasture, to browse.', '(intransitive) to graze, to pasture, to browse.',"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արատավոր,adj,"""['vicious, faulty, defective, flawed.']"",,,,,",Modern Armenian compound.,compound,,--,unknown
արարել,verb,"""['poetic to do.', '(poetic) to do.', '(poetic) to create.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արդուկել,verb,"""['to press, to iron, to pass an iron over.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արժույթ,noun,"""['currency.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արխալուղ,noun,"""['arkhalig.']"",,,,,",Borrowed from Ottoman Turkish.,loanword,Ottoman Turkish,--,unknown
արձագանք,noun,"""['echo.', '(figuratively) repercussion.', 'response.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արմունկ,noun,"""['elbow.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արյուն,noun,"""['blood.', '(figuratively) slaughter.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արշավանք,noun,"""['invasion, incursion, raid.', '(military) campaign.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արշավել,verb,"""['to run with an intention to attack; to raid, invade.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արտագաղթ,noun,"""['emigration.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արտալա,noun,"""[', glosses with.', 'beef shank.', 'a khash made from beef shank.', '(by extension) any lean and low"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արտահերթ,adj,"""['out-of-turn, extra, extraordinary, special.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արտոսր,noun,"""['archaic, poetic tear.', '(archaic, poetic) tear.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արտևան,noun,"""['dated eyelash.', '(dated) eyelash.', '(dated, figuratively, poetic) top, summit.']"",,,,,",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
title,part_of_speech,"definition,current_etymology",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աբոնեմենտ,noun,"['subscription; season ticket.'],",From Russian via international vocabulary.,loanword,Russian,--,unknown
աբսոլյուտ,adj,"""['colloquial absolute.', '(colloquial) absolute.']"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
աբստրակցիա,noun,"['abstraction.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աբստրահել,verb,"['to abstract.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ագահություն,noun,"""['greed, avarice.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ագուցահանել,verb,"""['to cut a groove, rabbet.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ագուցավորել,verb,"""['to groove, match, rabbet.']"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
ագրեգատավորել,verb,"""['technology to aggregate, unitize, gang up.', '(technology) to aggregate, unitize, gang up.']"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
ադամանդել,verb,"""['rare, transitive to adorn with diamonds.', '(rare, transitive) to adorn with diamonds.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ազատագնել,verb,"""['transitive to ransom.', '(transitive) to ransom.']"",",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազատագրել,verb,"""['to liberate, set free; to emancipate.']"",",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազատազրկել,verb,"""['to confine, deprive of liberty, imprison.']"",",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազատություն,noun,"['freedom.'],",Borrowed from Middle Iranian (Parthian/Middle Persian).,loanword,Middle Iranian,--,unknown
ազդարարել,verb,"""['to announce, to proclaim, to advertise to give public notice of; to announce publicly.', 'to annou"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ալբուխարա,noun,"""[', citing as.', 'alubukhara.']"",",Borrowed from Arabic (often via Persian or Turkish).,loanword,Arabic,--,unknown
ալիշ-վերիշ,noun,"""['commerce, trade.']"",",Borrowed from Arabic (often via Persian or Turkish).,loanword,Arabic,--,unknown
ակն ընդ ական,,"['eye for an eye.'],",Modern Armenian compound.,compound,,--,unknown
ակնակապիճ,noun,"""['anatomy eye socket.', '(anatomy) eye socket.']"",",Modern Armenian compound.,compound,,--,unknown
ահազանգել,verb,"""['to sound the alarm, to raise the alarm, to alarm.', 'to warn, to alert.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աղանդավորություն,noun,"['sectarianism.'],",Modern Armenian compound.,compound,,--,unknown
աղքատանոց,noun,"""['.ogg|a=Eastern Armenian}}.', 'poorhouse.']"",",Modern Armenian compound.,compound,,--,unknown
ամբարհավաճություն,noun,"['arrogance.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ամորձատել,verb,"['to castrate.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
այբբենարան,noun,"""['primer, ABC book the book used to teach the alphabet.', 'primer, ABC book (the book used to teach "",",Modern Armenian compound.,compound,,--,unknown
այլմոլորակային,adj,"""['extraterrestrial.', 'alien, extraterrestrial.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
անբոքսինգ,adj,"['unboxing.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդամահատել,verb,"""['transitive to amputate.', '(transitive) to amputate.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անդոհական,adj,"""['archaic, poetic disquieting, dreadful.', '(archaic, poetic) disquieting, dreadful.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
աներկյուղանալ,verb,"""['to become fearless, brave.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անհաղթելի,adj,"""['invincible, unconquerable.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անհամեստություն,noun,"""['immodesty, lack of modesty.', 'indiscretion, indelicacy.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անհեռանկարային,adj,"""['having no prospects, unpromising, hopeless, futile, gloomy, dark.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
անձեռոցիկ,noun,"""['napkin, serviette.']"",",Modern Armenian compound.,compound,,--,unknown
անուշահոտություն,noun,"['sweet smell.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անսարքություն,noun,"""['failure, breakdown, malfunction, defect, disrepair.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անվրդովություն,noun,"""['imperturbability, composure.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
անտառային կզաքիս,,"['pine marten.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անտիցիկլոն,noun,"['anticyclone.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
անցողական,adj,"""['transitory, temporary.', '(grammar) transitive.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
աշխարհակալ,adj,"""['great conqueror; emperor.', 'ruling an empire.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աշխարհաքաղաքական,adj,"['geopolitical.'],",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
աութսորսինգ,noun,"['outsourcing.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ապամոնտաժել,verb,"""['transitive to disassemble, dismantle.', '(transitive) to disassemble, dismantle.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ապաշրջափակում,noun,"""['lifting of a blockade, unblocking.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ապատեղեկատվություն,noun,"['disinformation.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ապացուցել,verb,"['to prove.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ապացուցողական,adj,"""['evidential, evidentiary, probative.', 'evidence-based.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
ապենդիցիտ,noun,"""['pathology appendicitis.', '(pathology) appendicitis.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աջաբսանդալ,noun,"""['ajapsandali.', '(figuratively) hodgepodge, medley, jumble.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առանձնյակ,noun,"""['biology individual, person.', '(biology) individual, person.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առաջադիմել,verb,"""['to progress, to advance, to move forward.', 'to improve, to progress (to begin to learn well).']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առավոտականչ,noun,"""['cockcrow, dawn.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առերևույթ,adj,"""['seeming.', 'alleged.', 'seemingly, outwardly, in appearance.', 'allegedly.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առհասարակ,adv,"""['in general, generally, commonly.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
առևտրի կենտրոն,,"['shopping centre.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ասոցիացիա,noun,"""['association group of persons associated for a common purpose.', 'association (group of persons ass"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
ասպնջական,adj,"""['dated hospitable.', '(dated) hospitable.', '(dated) host.']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
աստղագնաց,noun,"['astronaut.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ավիահաղորդակցություն,noun,"""['air connectivity, air communication.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
ավտոմեքենա,noun,"['automobile.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
ատրագույն,adj,"""['dated of fiery colour.', '(dated) of fiery colour.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արգումենտ,noun,"""['argument fact or statement used to support a proposition; a reason.', 'argument (fact or statement"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
արժեքավորել,verb,"""['to make valuable.', 'to appreciate, to value.']"",",From Russian via international vocabulary.,loanword,Russian,--,unknown
արծաթասիրություն,noun,"""['love of money, avarice.']"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
արհամարհել,verb,"""['to despise, to hold in contempt.', 'to disdain.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արձագանքել,verb,"""['to echo.', 'to respond, to answer.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արյունահոսել,verb,"['to bleed.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արյունատար անոթ,,"['anatomy blood vessel.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արշալույս,noun,"['dawn.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արշիպելագ,noun,"['archipelago.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արջի ծառայություն մատուցել,,"['idiomatic to render someone a disservice while ostensibly attempting to help them.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արտասանել,verb,"""['transitive to pronounce to sound out a word or phrase; to articulate.', '(transitive) to pronounce"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արտացոլում,noun,"""['reflection act of reflecting; the state of being reflected.', 'reflection (act of reflecting; the "",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արցունքաբեր գազ,,"['tear gas.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
արևապաշտպան,adj,"""['sunscreening.', 'sunscreen.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աքլորականչ,noun,"""['crow (of a cock).', 'cockcrow, dawn.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
աքսեսուար,noun,"""['accessory that which belongs to something else deemed the principal.', 'accessory (that which belo"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բադակտուց,noun,"['platypus.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բազմաստվածություն,noun,"['polytheism.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
բազմություն,noun,"""['public, crowd, multitude, throng.', 'great number, large quantity, multitude, host, swarm.', '(mat"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
բաժանմունք,noun,"""['department, division, branch.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բանջարեղեն,noun,"['vegetable.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բառակապակցություն,noun,"""['linguistics collocation, word combination, phrase.', '(linguistics) collocation, word combination,"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
բառապաշար,noun,"""['vocabulary totality of words of a language.', 'vocabulary (totality of words of a language).', 'vo"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բասկետբոլիստ,noun,"""['basketball player, basketballer.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բավարարել,verb,"""['to satisfy, to meet needs, to fulfill.', 'to suffice, to last enough.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բարելավել,verb,"['to improve.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բարեկամական,adj,"""['friendly.', 'kindred (of the same kin; related by family).']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
բարեմասնություն,noun,"""['quality, advantage, merit of a person.', 'quality, advantage, merit (of a person).', '(humorous) a"",",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
բարիդրացիական,adj,"""['neighbourly, good-neighbourly, friendly (especially about relations between countries).']"",",Derived from Old Armenian with -ական (-akan).,derivation,Old Armenian,--,unknown
բարձվենյակ,noun,"['Artemisia gen.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բարձրագույն ուսումնական հաստատություն,,"['institute of higher education; college or university.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
բացատրություն,noun,"['explanation.'],",Derived from Old Armenian with -ություն (-utʿyun).,derivation,Old Armenian,--,unknown
բենզալցակայան,noun,"""['gas station, petrol station.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բենզասղոց,noun,"['chainsaw.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բեսթսելեր,noun,"['bestseller.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բերման ենթարկել,,"""['law, transitive to detain and forcibly bring to the police or court.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բժշկական դիմակ,,"""['surgical mask, facemask.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բիզնեսմեն,noun,"['businessman.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բնութագրել,verb,"""['to depict, to represent, to characterize.']"",",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
բորտուղեկցորդ,noun,"['flight attendant.'],",Inherited from Old Armenian.,inherited,Old Armenian,--,unknown
