title,part_of_speech,definition,priority,suggested_etymology,source
աղյուսակ,noun,"['table grid of data arranged in rows and columns.', 'table (grid of data arranged in rows and columns).']",2,,
աղոթել,verb,['to pray.'],2,,
աղոթք,noun,['prayer.'],1,,
աղջիկ,noun,"['girl, young woman.', 'little girl; girlie.', '(colloquial) daughter.', 'maidservant, housemaid.', '(card games) queen.']",1,,
աղտոտել,verb,"['transitive to soil, to sully, to dirty.', '(transitive) to soil, to sully, to dirty.']",2,,
աճապարել,verb,"['to hurry, to rush, to hasten.']",2,,
աճեցնել,verb,"['to grow, cultivate, breed.', 'causative of աճել (ačel).']",2,,
ամայանալ,verb,"['to become deserted, uninhabited.', 'to become evacuated, vacated.', '(figuratively) to become empty, meaningless, devoid.']",2,,
ամաչել,verb,"['intransitive to be ashamed (of).', '(intransitive) to be ashamed (of).', '(intransitive) to feel shy.']",2,,
ամբարտակ,noun,"['dam, dike, weir.']",2,,
ամիս,noun,['month.'],1,,
ամոթույք,noun,"['anatomy vulva.', '(anatomy) vulva.']",2,,
ամպ,noun,"['cloud.', '(figuratively) sorrow, grief.']",1,,
ամփոփել,verb,"['transitive to summarize, sum up, recapitulate.', '(transitive) to summarize, sum up, recapitulate.']",2,,
այծյամ,noun,"['roe deer.', 'buck, hart.', 'chamois.']",2,,
այծքաղ,noun,['antelope.'],2,,
այտ,noun,"['somewhat, formal cheek.', '(somewhat formal) cheek.']",1,,
այտուց,noun,"['pathology swelling; edema.', '(pathology) swelling; edema.']",2,,
այցելել,verb,['to visit.'],2,,
անապեստ,noun,"['anapest.', '(poetry) anapest.']",2,,
անգ,noun,"['dialectal handle of a pot.', '(dialectal) handle of a pot.', '(dialectal) ring on the edge of a sack for wheat.']",1,,
անդեորդ,noun,"['archaic herdsman, shepherd.', '(archaic) herdsman, shepherd.', '(archaic, astronomy) Boötes.']",2,,
անդրուար,noun,"['dated cart, wagon.', '(dated) cart, wagon.', '(dated) horse or mule yoked to a cart.']",2,,
անել,verb,['to do.'],1,,
աներձագ,noun,"['brother-in-law wife’s brother.', 'brother-in-law (wife’s brother).']",2,,
անթայր,noun,"['dated anthrax.', '(dated) anthrax.']",2,,
անիծ,noun,"['nit, louse egg.']",1,,
անիծել,verb,"['transitive to curse, damn.', '(transitive) to curse, damn.']",2,,
անձ,noun,"['person.', '(law) entity.', 'personality.', '(colloquial) fellow.', '(ironic) bigwig.']",1,,
անձավ,noun,['cave.'],1,,
անձեռոց,noun,['napkin.'],2,,
անձրև,noun,['rain.'],1,,
անորակ,noun,"['of inferior quality, low-grade.']",2,,
անութ,noun,['armpit.'],1,,
անուր,noun,"['collar for animals.', 'collar (for animals).', '(figuratively) oppression, yoke.']",1,,
անջատել,verb,"['transitive to separate, to part; to detach; to disconnect; to disunite.', '(transitive) to separate, to part; to detach; to disconnect; to disunite.', '(transitive) to turn off, to shut down, to disable (to put a device, system or mechanism out of operation).']",2,,
անջրպետ,noun,"['bar, barrier, obstacle; partition.']",2,,
անց,noun,"['after; past.', 'passage, pass, passageway.']",1,,
անցնել,verb,"['intransitive to pass.', '(intransitive) to pass.']",2,,
աշակերտ,noun,"['schoolchild, pupil; apprentice.', 'disciple.']",2,,
աշխատել,verb,"['to work; to work (on, at); to toil, to labour.', 'to work, to be employed at.', 'to work, to run; to operate, to function (of an appliance).', 'to earn.', 'to try, to seek.']",2,,
աշտանակ,noun,['candlestick.'],2,,
աչք,noun,['eye.'],1,,
ապաթարց,noun,"['grammar apostrophe.', '(grammar) apostrophe.']",2,,
ապահովել,verb,"['transitive to protect, to keep safe, to secure.', '(transitive) to protect, to keep safe, to secure.']",2,,
ապավինել,verb,"['to rely on, place reliance in.']",2,,
ապարանք,noun,['palace.'],2,,
ապուր,noun,['soup.'],1,,
ապտակ,noun,['slap in the face.'],1,,
ապտակել,verb,"['transitive to slap.', '(transitive) to slap.']",2,,
ապրանք,noun,"['goods, product.']",2,,
աջակցել,verb,"['to aid, to assist, to succour.']",2,,
առաջարկ,noun,"['offer, suggestion, proposal.', '(economics) supply.']",2,,
առաջնորդ,noun,"['leader, chief.']",2,,
առասպել,noun,"['myth.', 'legend.']",2,,
առավոտ,noun,"['morning.', '(figuratively) youth.']",2,,
առարկա,noun,"['object; thing.', 'subject.']",2,,
առաքել,verb,"['to send, to dispatch.', 'to deliver.']",2,,
առաքյալ,noun,['apostle.'],2,,
առեղծված,noun,"['mystery, enigma, riddle, conundrum.']",2,,
առերեսել,verb,"['to confront, to come face to face.']",2,,
առիք,noun,"['dialectal forms recorded in dialectological notation.', '(dialectal) ceiling.']",1,,
առկայծել,verb,"['to fade, to wane, to dim.', '(figuratively) to shine, to sparkle, to glimmer.', '(figuratively) to feel enveloped by a strong inner sensation, especially as a result of a new idea.']",2,,
առյուծ,noun,['lion.'],2,,
առնետ,noun,['rat.'],1,,
առնչել,verb,"['transitive to relate to.', '(transitive) to relate to.']",2,,
առվույտ,noun,"['alfalfa, lucerne.', 'alfalfa, lucerne, Medicago sativa.']",2,,
առևանգել,verb,['to kidnap.'],2,,
ասացվածք,noun,"['proverb, saying.']",2,,
ասեղ,noun,['needle.'],1,,
ասպանդակ,noun,['stirrup.'],2,,
ասպատակ,noun,"['raider, plunderer.', 'raid, inroad, incursion.']",2,,
ասպարեզ,noun,"['sphere; area, domain, field, realm.', 'racecourse, hippodrome.', 'arena.', '(dated) stadion (a unit of distance).']",2,,
աստղ,noun,"['star.', 'celebrity, star.']",1,,
ասք,noun,"['literature legend, saga, word, tale, song, lay.', '(literature) legend, saga, word, tale, song, lay.']",1,,
ավազ,noun,['sand.'],1,,
ավազակ,noun,"['robber, brigand, thug, bandit.']",2,,
ավանակ,noun,"['donkey, ass.', '(figuratively) ass, jackass; idiot, dumb-ass, fool, blockhead, clot, dimwit.']",2,,
ավել,noun,"['broom, besom.']",1,,
ավետիս,noun,"['good news.', 'promise of reward.']",2,,
ավերանք,noun,"['ruin, devastation.']",2,,
ավերել,verb,"['transitive to ruin, destroy, devastate.', '(transitive) to ruin, destroy, devastate.']",2,,
ավլել,verb,"['transitive to sweep.', '(transitive) to sweep (with a broom).']",1,,
ավտոտնակ,noun,['garage.'],2,,
ատամ,noun,"['tooth.', '(technology) cog.', 'prong.', 'merlon.']",1,,
ատել,verb,['to hate.'],1,,
արածել,verb,"['intransitive to graze, to pasture, to browse.', '(intransitive) to graze, to pasture, to browse.', '(transitive, dialectal) to pasture, to feed (to take animals out to graze).']",2,,
արարած,noun,['creature.'],2,,
արարել,verb,"['poetic to do.', '(poetic) to do.', '(poetic) to create.']",2,,
արգանդ,noun,"['womb, uterus.']",2,,
արգելել,verb,"['transitive to forbid, to prohibit.', '(transitive) to forbid, to prohibit.']",2,,
արդյունք,noun,['result; outcome; product.'],2,,
արդուկել,verb,"['to press, to iron, to pass an iron over.']",2,,
արթնանալ,verb,"['intransitive to wake up, awake.', '(intransitive) to wake up, awake.']",2,,
արժույթ,noun,['currency.'],2,,
արծիվ,noun,['eagle.'],1,,
արհեստ,noun,"['handicraft, trade; craft; technical/manual profession, occupation.']",2,,
արձագանք,noun,"['echo.', '(figuratively) repercussion.', 'response.']",2,,
արձակել,verb,"['to release, to set free, to liberate.', 'to open, to open up, to unbutton.', 'to send on vacation, to recess.', '(figuratively) to break (a bond).', 'to shoot, to fire.', 'to scatter, to spread, to emit.', 'to discharge, to dismiss (from office or employment).', 'to untie, to unbind, to unleash.', 'to dissolve (a parliament, etc.).', 'to break up (a gathering).', '(archaic) to finish, to end.', '(archaic) (ecclesiastical) to absolve.']",2,,
արմունկ,noun,['elbow.'],2,,
արշավանք,noun,"['invasion, incursion, raid.', '(military) campaign.']",2,,
արշավել,verb,"['to run with an intention to attack; to raid, invade.']",2,,
արոս,noun,['field that is left uncultivated for 5-6 years for strengthening.'],1,,
արոր,noun,['plough.'],1,,
արորել,verb,['to plough.'],2,,
արույր,noun,"['brass, alloy of copper and zinc.']",2,,
արվեստ,noun,['art.'],2,,
արտագաղթ,noun,['emigration.'],2,,
արտադրել,verb,"['to produce, make.']",2,,
արտալա,noun,"[', glosses with.', 'beef shank.', 'a khash made from beef shank.', '(by extension) any lean and low-value cut of meat.', '(figuratively) an unwanted accompanying person brought by the guest.']",2,,
արտասվել,verb,"['to cry, to weep, to shed tears.', '(figuratively) to sap (of plants and trees).', '(figuratively) to flow out, to pour out.']",2,,
արտավար,noun,"['tilled and sown land.', 'the surface area of one field.', '(archaic) husbandman, tiller.']",2,,
արտաքսել,verb,"['to deport, to expel.', 'to discharge, to depose (from office or employment).', 'to exile, to banish.']",2,,
արտոսր,noun,"['archaic, poetic tear.', '(archaic, poetic) tear.']",2,,
արտորալ,verb,"['dialectal forms recorded in dialectological notation.', '(intransitive) to hurry, to make haste.']",2,,
արտորայք,noun,"['collective noun fields, tilled lands.', '(collective noun) fields, tilled lands.']",2,,
արքա,noun,"['king, monarch.', '(chess) king.']",1,,
արև,noun,"['the sun.', 'sunlight.', '(figuratively) life.']",1,,
արևելք,noun,['east.'],2,,
արևմուտք,noun,['west.'],2,,
ափսոսանք,noun,['regret.'],2,,
աքաղաղ,noun,['rooster.'],2,,
աքիս,noun,"['weasel, least weasel <ref></ref>.', 'weasel, least weasel (Mustela nivalis).']",1,,
աքսորանք,noun,['synonym of աքսոր (akʻsor).'],2,,
աքսորել,verb,"['to exile, to banish.', '(figuratively) to expel, to kick out.']",2,,
բազմանալ,verb,"['intransitive to multiply, increase.', '(intransitive) to multiply, increase.', '(intransitive) to breed, reproduce.']",2,,
բազրիք,noun,"['railing, handrail.']",2,,
բաժ,noun,"['historical a kind of indirect tax.', '(historical) a kind of indirect tax.']",1,,
բաժանորդ,noun,['subscriber.'],2,,
բալատուր,noun,"['cashew nut.', 'marking-nut tree, Semecarpus anacardium.']",2,,
բակ,noun,"['court; yard, courtyard.']",1,,
բակլա,noun,"['broad bean, <ref></ref>.', 'broad bean, Vicia faba.']",1,,
բաղկանալ,verb,['to consist of; to be comprised of.'],2,,
բաղձալ,verb,"['literary to desire, to wish, to long for, to want.', '(literary) to desire, to wish, to long for, to want.']",2,,
բաղձանք,noun,"['strong desire, longing, craving.']",2,,
բաղնիք,noun,"['bathhouse building containing baths for communal use.', 'bathhouse (building containing baths for communal use).', 'bathroom.', 'the act of bathing.']",2,,
բամբիշ,noun,"['dated, rare queen.', '(dated, rare) queen.']",2,,
բայ,noun,"['grammar verb.', '(grammar) verb.', 'lair.']",1,,
բանել,verb,"['intransitive to work, operate, function.', '(intransitive) to work, operate, function.']",1,,
բաննա,noun,['bricklayer.'],1,,
բաշխել,verb,"['to allocate.', 'to distribute, to allot.']",2,,
բառ,noun,['word.'],1,,
բառգիրք,noun,"['rare dictionary.', '(rare) dictionary.']",2,,
բառնալ,verb,"['archaic to load; to lade, to freight.', '(archaic) to load; to lade, to freight.', '(archaic) to lift, to raise; to heave.', '(archaic) to destroy, extinguish.']",2,,
բավիղ,noun,['labyrinth.'],1,,
բարբառ,noun,"['linguistics dialect.', '(linguistics) dialect.', '(dated) language; speech; word.']",2,,
բարեկամ,noun,"['relative.', 'friend, pal.', '(form of address) buddy.']",2,,
բարևել,verb,['to greet.'],2,,
բացառել,verb,"['to make an exception.', 'to reject, to decline, to turn down.', 'to disallow, to preclude, to prohibit.']",2,,
բացել,verb,['to open.'],1,,
բեհեզ,noun,"['byssus, fine linen.']",1,,
բեյթ,noun,"['couplet, a verse of poetry consisting of two lines.']",1,,
բեռ,noun,"['burden; load; freight; cargo, lading.', '(figuratively) burden.']",1,,
բերել,verb,"['to bring, to fetch.']",1,,
բժշկել,verb,"['transitive, somewhat, formal to cure, heal.', '(transitive, somewhat formal) to cure, heal.']",2,,
բիբ,noun,"['pupil of the eye.', 'pupil (of the eye).']",1,,
բիթ,noun,"['computing bit binary digit.', '(computing) bit (binary digit).']",1,,
բլոգ,noun,['blog.'],1,,
բլուր,noun,['hill.'],1,,
բղուղ,noun,"['an earthenware jar for holding pickles, oil, milk, matzoon, etc.']",1,,
բմբուլ,noun,['down feather.'],2,,
բյուրեղ,noun,"['crystal.', '(mineralogy) beryl.', 'cut glass, crystal (glassware).']",2,,
բնագիր,noun,"['original (of a text).', 'epigraph.']",2,,
բնադրել,verb,"['of birds to nest.', '(of birds) to nest.']",2,,
բնակել,verb,"['intransitive to live, reside, dwell.', '(intransitive) to live, reside, dwell.', '(transitive) to settle.']",2,,
բնորոշել,verb,"['to describe, to characterize, to call.', 'to determine, to establish, to ascertain.']",2,,
բոզբաշ,noun,['bozbash.'],2,,
բողբոջել,verb,"['to blossom, to bud, to sprout.', '(figuratively) to grow, to thrive, to burgeon.', '(figuratively) to mature, to develop, to flourish.']",2,,
բողկ,noun,['radish.'],1,,
բողկուկ,noun,"['newly grown horn of animals.', '(anatomy) feeler, antenna.']",2,,
բողոքել,verb,"['to complain.', 'to protest.']",2,,
բողջոց,noun,"['Tigranakert swelling, tumour, wound.', '(Diyarbakır) swelling, tumour, wound.']",2,,
բովել,verb,"['transitive to roast.', '(transitive) to roast.']",1,,
բորոտել,verb,"['to have leprosy.', '(dialectal) to have scabies.']",2,,
բուժկետ,noun,"['first aid post, aid station; infirmary.']",2,,
բունկալ,noun,"['nest egg, an egg placed in a henhouse that induces the hens to lay eggs.']",2,,
բուսնել,verb,"['to grow, to germinate.', '(figuratively) to appear suddenly.']",2,,
բուրգ,noun,['pyramid.'],1,,
բուրել,verb,"['to smell good, have a pleasant aroma.']",2,,
բուրվառ,noun,['censer.'],2,,
բռնել,verb,"['to hold.', 'to catch.', 'to arrest.', 'to occupy.', 'to cover, to embrace.']",1,,
բռունցք,noun,"['fist.', '(figuratively) violence.']",2,,
բրեցել,noun,['pretzel.'],2,,
բևեռ,noun,"['geography pole.', '(geography) pole.', '(physics, electricity) pole.', '(archaic) nail.']",1,,
գագաթ,noun,"['top, apex, summit, crest, peak.', 'culmination point, height, summit, climax, peak.', '(geometry) apex; vertex.']",1,,
գաթա,noun,"['dialectal forms recorded in dialectological notation.', 'gata.']",1,,
գալարել,verb,"['transitive to coil, twist, bend, curl.', '(transitive) to coil, twist, bend, curl.']",2,,
գալուստ,noun,"['coming, arrival; advent.']",2,,
գայռ,noun,"['archaic foul-smelling mud, scum, mire, filth.', '(archaic) foul-smelling mud, scum, mire, filth.']",1,,
գանգ,noun,"['considers this an inheritance from , the zero-grade of , whence , , , and possibly.', 'skull, cranium.']",1,,
գանգատ,noun,['complaint.'],2,,
գանգրել,verb,"['to frizzle, curl hair.', 'to frizzle, curl (hair).']",2,,
գանձ,noun,"['treasure, riches.']",1,,
գանձապահ,noun,"['cashier, teller.', 'treasurer.']",2,,
գանձավոր,noun,"['rare treasurer.', '(rare) treasurer.']",2,,
գառ,noun,"['<ref></ref><ref></ref><ref></ref><ref></ref>.', 'lamb.']",1,,
գառնանգղ,noun,"['lammergeier, bearded vulture.', 'lammergeier, bearded vulture, Gypaetus barbatus.']",2,,
գավակ,noun,"['rump, croup of a horse.', 'rump, croup (of a horse).']",1,,
գարշապար,noun,"['archaic heel.', '(archaic) heel.']",2,,
գարշել,verb,"['to abhor, to detest.', 'to shrink from, to disdain.', 'to have an aversion, repugnance.', 'to loathe.']",2,,
գգվանք,noun,"['caress, cuddle, embrace.']",2,,
գեղարդ,noun,"['lance, large spear.']",2,,
գեղմ,noun,"['archaic fleece, wool.', '(archaic) fleece, wool.']",1,,
գերխնդիր,noun,"['top priority, prime concern (something of great importance).']",2,,
գերծել,verb,"['archaic, transitive to shave.', '(archaic, transitive) to shave.']",2,,
գերշուկա,noun,"['rare supermarket.', '(rare) supermarket.', '(rare) hypermarket.']",2,,
գժտվել,verb,"['inflection of գժտել.', 'mediopassive of գժտել (gžtel).', 'to quarrel, fall out with.']",2,,
գիծ,noun,"['dialectal forms recorded in dialectological notation<ref></ref>.', 'line.']",1,,
գինեմոլ,noun,"['drunkard, toper, tippler.']",2,,
գիշատել,verb,"['to tear to pieces, to devour.']",2,,
գիտակցել,verb,"['to realize, to become aware of (to fully comprehend).', 'to feel, to be aware, to be conscious of.']",2,,
գիտելիք,noun,['knowledge.'],2,,
գիտենալ,verb,['to know.'],2,,
գիրկ,noun,"['arms, lap, bosom.']",1,,
գլանիկ,noun,['cigarette.'],2,,
գլխատել,verb,"['transitive to behead, decapitate.', '(transitive) to behead, decapitate.']",2,,
գլխարկ,noun,['hat.'],2,,
գլխացավ,noun,['headache.'],2,,
գյոռ,noun,"['Muslim grave.', '(derogatory, offensive) any grave.']",1,,
գնահատել,verb,"['to value, evaluate appreciate, estimate.', 'to give a mark.']",2,,
գնդացիր,noun,['machine gun.'],2,,
գոգ,noun,"['lap.', 'hollow, depression in the earth.', 'lap, hem (of clothes).']",1,,
գոգնոց,noun,['apron.'],2,,
գողանալ,verb,"['transitive to steal.', '(transitive) to steal.']",2,,
գողտրիկ,noun,"['lovely, delicate, pleasant.']",2,,
գոմեշ,noun,['buffalo.'],1,,
գոյանալ,verb,"['intransitive to come into existence, to come into being, to appear.', '(intransitive) to come into existence, to come into being, to appear.', '(intransitive) to be formed, produced, shaped.']",2,,
գովեստ,noun,"['praise, laudation.']",2,,
գործածել,verb,"['transitive to utilize, employ, make use of, use.', '(transitive) to utilize, employ, make use of, use.', '(transitive) to apply, put into practice.']",2,,
գործել,verb,"['to function, work, operate; to act.', 'to knit.']",2,,
գործիչ,noun,"['figure, personality.']",2,,
գորովել,verb,"['to feel affection for, to adore, to love.', 'to be fond of, to hold dear.', '(rare) to feel sorry for, to pity.']",2,,
գութ,noun,"['<ref name=""HAB""></ref>.', 'pity, compassion.']",1,,
գուլպա,noun,"['sock.', 'stocking.']",2,,
գումար,noun,"['sum.', '(euphemistic) money.']",2,,
գումարել,verb,"['to add up, sum up.']",2,,
գուշակ,noun,"['soothsayer, diviner.', 'sign, portent, presage.']",2,,
գուշակել,verb,"['to foretell, to predict.', 'to understand, to get.', 'to anticipate.', ""to tell fortunes, to tell somebody's fortune."", 'to guess.', '(archaic) to use magic to divine or make predictions.']",2,,
գուպար,noun,"['fight, struggle, battle.', '(archaic) fight, struggle, battle.']",2,,
գուռ,noun,"['abreuvoir, watering trough for people or animals.', 'abreuvoir, watering trough (for people or animals).', 'basin in a bath, قرنه (kurna).', 'kneading trough.', 'a vessel for raising silkworm made of cow dung.', 'dog bowl.', 'winepress basin.', 'beehive.', 'drainpipe.', 'slack tub.']",1,,
գրառել,verb,"['to write, to write down, to record.']",2,,
գրավ,noun,"['pledge, security, surety.', 'deposit, prepayment.', '(archaic) wager.']",1,,
գրգռել,verb,"['to excite, to stimulate.', 'to irritate, to annoy.', 'to intensify, to aggravate.', 'to arouse (sexually).', 'to incite, to goad.', 'to upset, to unnerve.', 'to anger, to inflame.']",2,,
գրել,verb,['to write.'],1,,
գրկել,verb,"['to embrace, hug.']",1,,
գրոհել,verb,"['to attack, assault, storm.']",2,,
դադարել,verb,"['to end, to stop.', 'to pause, to interrupt.', 'to halt, to stop, to reject.', '(rare) to rest.']",2,,
դահճապետ,noun,['chief-executioner.'],2,,
դանակ,noun,['knife.'],1,,
դաշտ,noun,"['field.', '(sports) playing field, sports ground.', '(physics) field.', 'field, sphere.']",1,,
դառնալ,verb,"['to become; to turn into.', 'to return, to come back.', 'to turn, to change direction.']",2,,
դասալիք,noun,['deserter.'],2,,
դասակարգ,noun,"['class social grouping.', 'class (social grouping).']",2,,
դավադրել,verb,['to conspire.'],2,,
դատ,noun,"['legal trial, judicial proceedings.', '(law) trial, judicial proceedings.', 'justice.']",1,,
դատարկել,verb,['to empty.'],2,,
դար,noun,"['century, 100 years.', 'age, epoch.', 'hill, hillock, knoll.']",1,,
դարձգիր,noun,"['neologism palindrome.', '(neologism) palindrome.']",2,,
դարվազա,noun,['gate.'],2,,
դեղնուց,noun,"['yolk, egg yolk.']",2,,
դեղորայք,noun,"['collectively medicines, medication, drugs.', '(collectively) medicines, medication, drugs.']",2,,
դեպք,noun,"['incident, event, occurrence.', 'condition, circumstance.', '(archaic) occasion.']",1,,
դետ,noun,"['patrol, watch.', 'scout, sentinel.', '(dated) lookout-place, peak, height.', 'spy.']",1,,
դզել,verb,"['colloquial to straighten, to correct.', '(colloquial) to straighten, to correct.', '(colloquial) to flatten, to smooth.', '(colloquial) to fix, to put into order.', ""(colloquial, slang) to be pleasing to, to be to one's liking.""]",1,,
դիել,verb,"['intransitive to suck, to drink mother’s milk.', '(intransitive) to suck, to drink mother’s milk.', '(transitive) to suckle, to nourish with milk, to give suck.', '(figuratively) to nourish, to sustain.']",1,,
դիմանալ,verb,"['to endure, to withstand, to persist, to bear.']",2,,
դիպչել,verb,"['somewhat, formal to touch.', '(somewhat formal) to touch.']",2,,
դիպված,noun,"['chance, coincidence, accident, luck.', 'event, circumstance, incident, occurrence.']",2,,
դիտակ,noun,"['the generic name of various optical instruments used for viewing distant objects.', '(dated) watcher, observer, guard.']",1,,
դիտանոց,noun,"['watchtower, observation post.']",2,,
դմբրել,noun,['synonym of թմրել (tʻmrel).'],2,,
դնել,verb,"['to put, to lay.', 'to impose, to inflict.', 'to insert, to put in.', 'to put on (hat, glasses, etc.).']",1,,
դոխ,noun,"['mill hopper a funnel-shaped container, whence the grist is discharged into the mill.', 'mill hopper (a funnel-shaped container, whence the grist is discharged into the mill).', 'dove, pigeon.', 'chick of a dove, pigeon.', 'chick of a hen.', 'kitten.', '(term of endearment) a young child, chick.']",1,,
դույլ,noun,"['bucket, pail.']",1,,
դուրգ,noun,"[""potter's wheel.""]",1,,
դրժել,verb,"[""transitive to break one's word, to violate an oath."", ""(transitive) to break one's word, to violate an oath.""]",1,,
դրույք,noun,"['rate, wage, salary.']",2,,
դրվագ,noun,"['ornament, adornment, decoration.', 'embroidery, trimming, needlework.', 'incrustation, encrustation, inlay.', 'engraving.', 'passage, excerpt, segment, chapter.', '(figuratively) event, episode, incident.', 'paragraph.']",1,,
դրվատել,verb,"['literary to praise.', '(literary) to praise.']",2,,
եզր,noun,"['bank; shore.', 'border, edge; brink; extremity.', 'skirt, flap, lap, hem.', 'border, boundary, limit.', 'rib.', 'conclusion, finding; deduction.', 'term (word or phrase from a specialized area of knowledge).']",1,,
ելուզակ,noun,['robber.'],2,,
ելունդ,noun,['small swelling; knob; tumor.'],2,,
ելուստ,noun,"['projection, salience; protuberance; ledge.']",2,,
եկամուտ,noun,"['income, revenue; profit, return, gainings.']",2,,
եղերդակ,noun,"['chicory, <ref></ref>.', 'chicory, Cichorium.']",2,,
եղինջ,noun,['nettle.'],1,,
եղյամ,noun,"['frost, hoarfrost, rime.', '(figuratively) white hair on the head, hoar.']",1,,
եղունգ,noun,"['nail.', 'nail (of finger or toe).']",2,,
եղջերու,noun,"['In the Physiologus, translates .', 'male deer, stag, hart.']",2,,
եղտյուր,noun,"['an abundantly irrigated, watery place.']",2,,
ենթադրել,verb,"['to suppose, assume, presume.']",2,,
երազ,noun,"['dream imaginary events seen while sleeping.', 'dream (imaginary events seen while sleeping).']",1,,
երախտիք,noun,"['kind deed, kindness, rendered service.', '(figuratively) merit, desert; services.', '(rare) gratitude, thankfulness.']",2,,
երամակ,noun,"['drove, herd, flock.']",2,,
երաշխիք,noun,"['guarantee.', 'warranty.']",2,,
երե,noun,['herbivorous game animal.'],1,,
երեսպաշտ,noun,['hypocrite.'],2,,
երեքնուկ,noun,"['plant clover, trefoil, <ref></ref><ref></ref>.', '(botany) clover, trefoil, Trifolium.']",2,,
երթևեկել,verb,"['to commute.', 'to come and go.', 'to stroll, to walk around, (to go for a walk).']",2,,
երիկամ,noun,['kidney.'],2,,
երիցուկ,noun,['camomile.'],2,,
երկայնել,verb,"['to prolong, to extend.']",2,,
երկբայել,verb,"['to doubt, to hesitate.']",2,,
երկինք,noun,"['sky.', 'heaven.']",2,,
երկիր,noun,"['country, state.', 'land, territory.']",1,,
երկյուղ,noun,"['fear, fright, dread, terror.']",2,,
երկնչել,verb,"['somewhat, formal to fear, to be afraid of, to dread, to apprehend, to be frightened, to tremble.', '(somewhat formal) to fear, to be afraid of, to dread, to apprehend, to be frightened, to tremble.']",2,,
երնջնակ,noun,"['eryngo, sea holly ( spp.).', 'eryngo, sea holly (Eryngium spp.).']",2,,
երևալ,verb,"['to appear.', 'to emerge, to come out.', 'to be published.']",1,,
երևույթ,noun,"['appearance, look.', 'phenomenon; occurrence; happening.', '(physics) effect.']",2,,
