title,part_of_speech,definition,current_etymology,suggested_action
բուն,adj,tree trunk.,Etymology needs research - no usable data found,check wikitext
բռինչ,noun,"[', noting the formal similarity with the family of and leaving the origin open.', 'hackberry, the fruit of the nettle tree (Celtis spp.).', '(literary) the fruit of the guelder rose (Viburnum opulus).']",Etymology needs research - no usable data found,check wikitext
բռնչի,noun,"[', based on the misspelling in.', 'nettle tree (Celtis spp.).', '(literary) guelder rose (Viburnum opulus).']",Etymology needs research - no usable data found,check wikitext
բրավո,intj,['bravo.'],Etymology needs research - no usable data found,check wikitext
բրդուճ,noun,"['dialectal a piece of something.', '(dialectal) a piece of something.', '(specifically) a piece of lavash bread, in which cheese, egg, meat, etc., is wrapped.']",Etymology needs research - no usable data found,check wikitext
գամփռ,noun,"['any large and powerful dog, especially the.', 'any large and powerful dog, especially the Caucasian Shepherd Dog.']",Etymology needs research - no usable data found,check wikitext
գարաժ,noun,['garage.'],Etymology needs research - no usable data found,check wikitext
գեղացի,noun,alternative form of peasant.,Etymology needs research - no usable data found,check wikitext
գեպարդ,noun,['cheetah.'],Etymology needs research - no usable data found,check wikitext
գետ,adj,"['river.', '(rare) knowing, having the knowledge.']",Etymology needs research - no usable data found,check wikitext
գերա-,,alternative form of fat.,Etymology needs research - no usable data found,check wikitext
գինի,noun,['wine.'],Etymology needs research - no usable data found,check wikitext
գուլ,adj,"['dialectal dull, not sharp.', '(dialectal) dull, not sharp.', '(dialectal, figuratively) dull, slow-witted.']",Etymology needs research - no usable data found,check wikitext
գունդ,noun,"['spherical object, sphere, ball, orb.', '(geometry) sphere.', '(military) regiment.', '(historical) troop, brigade, battalion (of soldiers).', '(archaic) group, assemblage.']",Etymology needs research - no usable data found,check wikitext
գռուզ,adj,"['frizzy, wiry, kinky (of hair).']",Etymology needs research - no usable data found,check wikitext
գրազ,noun,"['bet, wager.']",Etymology needs research - no usable data found,check wikitext
գրպան,noun,['pocket.'],Etymology needs research - no usable data found,check wikitext
դազգահ,noun,"['workbench.', 'machine tool, machine.']",Etymology needs research - no usable data found,check wikitext
դաղալ,adj,"['dialectal deceitful, fraudulent, dishonest.', '(dialectal) deceitful, fraudulent, dishonest.']",Etymology needs research - no usable data found,check wikitext
դամոն,noun,"['damson, damson plum, tree.', 'damson, damson plum, Prunus insititia (tree).', 'damson, damson plum (fruit).']",Etymology needs research - no usable data found,check wikitext
դայրա,noun,"['ward of a city.', 'dayereh, tambourine.']",Etymology needs research - no usable data found,check wikitext
դասել,verb,"['to rank, to class, to sort.']",Etymology needs research - no usable data found,check wikitext
դավա,noun,camel.,Etymology needs research - no usable data found,check wikitext
դարդլու,adj,"['pained, afflicted.']",Etymology needs research - no usable data found,check wikitext
դին,noun,"['physics dyne (a unit of force in mechanics, a derived unit equal to the force that imparts an acceleration of 1 cm/s² to a mass of 1 g; 1 dyn).', '(physics) dyne (a unit of force in mechanics, a derived unit equal to the force that imparts an acceleration of 1 cm/s² to a mass of 1 g; 1 dyn).']",Etymology needs research - no usable data found,check wikitext
դիրագ,noun,"['column, pillar; any upright post or pole; beam.']",Etymology needs research - no usable data found,check wikitext
դյուժին,noun,['dozen.'],Etymology needs research - no usable data found,check wikitext
դոխ,noun,"['mill hopper a funnel-shaped container, whence the grist is discharged into the mill.', 'mill hopper (a funnel-shaped container, whence the grist is discharged into the mill).', 'dove, pigeon.', 'chick of a dove, pigeon.', 'chick of a hen.', 'kitten.', '(term of endearment) a young child, chick.']",Etymology needs research - no usable data found,check wikitext
դունյա,noun,"['world, universe.', 'the whole world, everyone, everybody.']",Etymology needs research - no usable data found,check wikitext
դունչ,noun,"['snout, muzzle.', '(colloquial) chin.']",Etymology needs research - no usable data found,check wikitext
դուրգար,noun,"['carpenter, joiner.']",Etymology needs research - no usable data found,check wikitext
դուքան,noun,"['dialectal shop.', '(dialectal) shop.', '(colloquial, derogatory) any low-grade or cheap institution.', '(dialectal, Ararat) workshop.']",Etymology needs research - no usable data found,check wikitext
ելքեն,noun,['sail.'],Etymology needs research - no usable data found,check wikitext
եղրևանի,noun,"['[Non-English or unclear definition removed.].', 'lilac (Syringa spp.) (shrub).']",Etymology needs research - no usable data found,check wikitext
ետև,adv,"['back.', 'behind.', 'after.', 'the backside, the rear part.', '(euphemistic) butt.']",Etymology needs research - no usable data found,check wikitext
երգել,verb,"['to sing.', '(slang) to say.']",Etymology needs research - no usable data found,check wikitext
երես,noun,['face.'],Etymology needs research - no usable data found,check wikitext
երնջնակ,noun,"['eryngo, sea holly ( spp.).', 'eryngo, sea holly (Eryngium spp.).']",Etymology needs research - no usable data found,check wikitext
եքյա,adj,"['derogatory, or, expressing surprise large, big.', '(derogatory or expressing surprise) large, big.', 'grown-up, grown.']",Etymology needs research - no usable data found,check wikitext
զայիֆ,adj,"['thin, lean, skinny.']",Etymology needs research - no usable data found,check wikitext
զառ,noun,"['gaming die (for gambling).', '(gaming) die (for gambling).']",Etymology needs research - no usable data found,check wikitext
զերտևա,noun,"['pine marten, animal and its fur.', 'pine marten, Martes martes (animal and its fur).']",Etymology needs research - no usable data found,check wikitext
զնջիլ,noun,['chain.'],Etymology needs research - no usable data found,check wikitext
զով,adj,"['cool, fresh, coldish.', 'cool, coolness.']",Etymology needs research - no usable data found,check wikitext
զուռնա,noun,['zurna.'],Etymology needs research - no usable data found,check wikitext
զրիշկ,noun,"[', recorded as srisk.', 'common barberry, Berberis vulgaris.']",Etymology needs research - no usable data found,check wikitext
էթնիկ,adj,['ethnic.'],Etymology needs research - no usable data found,check wikitext
էհմալ,noun,['negligence.'],Etymology needs research - no usable data found,check wikitext
էսնաֆ,noun,"['historical esnaf a guild or corporation in the Ottoman Empire.', '(historical) esnaf (a guild or corporation in the Ottoman Empire).', '(dialectal) artisan, tradesman.', '(dialectal, cant) homosexual.']",Etymology needs research - no usable data found,check wikitext
էքսպերտ,noun,"['expert.', 'patent examiner, trademark examiner.']",Etymology needs research - no usable data found,check wikitext
էօտ աղաճը,,"['aloeswood, agarwood, agalloch.']",Etymology needs research - no usable data found,check wikitext
էֆենդի,noun,['effendi.'],Etymology needs research - no usable data found,check wikitext
թազա,adj,"['new.', 'fresh.']",Etymology needs research - no usable data found,check wikitext
թաթար,noun,"['Tatar.', '(archaic) Azerbaijani.', '(figuratively) barbarian, vandal.']",Etymology needs research - no usable data found,check wikitext
թաղ,noun,"[', unknown origin, hesitantly considering the Georgian an Armenian borrowing.', 'neighborhood, district, quarter (of a city).', '(dialectal) family plot in a cemetery.', 'burying of vines in winter.', 'buried vine branches.', 'branch.', 'procumbent (trailing) stem of plants like watermelon, melon, cucumber.', 'vault, arch.']",Etymology needs research - no usable data found,check wikitext
թայֆա,noun,"['dialectal, derogatory gang, clique, bunch of people.', '(dialectal, derogatory) gang, clique, bunch of people.']",Etymology needs research - no usable data found,check wikitext
թանջարա,noun,['saucepan.'],Etymology needs research - no usable data found,check wikitext
թառ,noun,"['musical instruments tar Persian musical instrument.', '(music) tar (Persian musical instrument).', 'roosting perch.', '(dialectal, New Julfa) shelf on a wall.']",Etymology needs research - no usable data found,check wikitext
թարխանա,noun,['tarhana.'],Etymology needs research - no usable data found,check wikitext
թաքավիթ,noun,['retirement.'],Etymology needs research - no usable data found,check wikitext
թաքուն,adj,"['secret, hidden, occult.', 'secretly, stealthily, furtively.']",Etymology needs research - no usable data found,check wikitext
թելաթին,noun,"['Istanbul Russia leather.', '(Istanbul) Russia leather.']",Etymology needs research - no usable data found,check wikitext
թերա-,,alternative form of ter.,Etymology needs research - no usable data found,check wikitext
թզբեխ,noun,['prayer beads.'],Etymology needs research - no usable data found,check wikitext
թթվաշ,adj,"['sourish.', ""sheep's sorrel, garden sorrel (Rumex acetosella).""]",Etymology needs research - no usable data found,check wikitext
թոզ,noun,['dust.'],Etymology needs research - no usable data found,check wikitext
թոն,noun,"['rain, precipitation.', 'tuna (fish).']",Etymology needs research - no usable data found,check wikitext
թութխալ,noun,['glue.'],Etymology needs research - no usable data found,check wikitext
թութուն,noun,"['dialectal tobacco.', '(dialectal) tobacco.']",Etymology needs research - no usable data found,check wikitext
թութք,noun,"['symptom haemorrhoids.', '(medicine) haemorrhoids.']",Etymology needs research - no usable data found,check wikitext
թունդ,adj,"strong, powerful.",Etymology needs research - no usable data found,check wikitext
թոփ,noun,"['ball.', 'cannon.']",Etymology needs research - no usable data found,check wikitext
թվալ,verb,"['to seem, appear.']",Etymology needs research - no usable data found,check wikitext
թրաշ,noun,"['shave, shaving.', 'that which needs to be shaved, bristle, stubble.']",Etymology needs research - no usable data found,check wikitext
ժոխ,noun,"[', unknown origin.', '(Khotorjur) a kind of fruit of the genus Ribes, probably gooseberry, Ribes uva-crispa or Ribes orientale; in Turkish called frenk üzümü.', '(Hamshen) raspberry (fruit of Rubus idaeus).']",Etymology needs research - no usable data found,check wikitext
իմտատ,noun,"['help, assistance.']",Etymology needs research - no usable data found,check wikitext
ինատճի,adj,"['stubborn, obstinate.']",Etymology needs research - no usable data found,check wikitext
ինչու,pron,"['interrogative pronoun why.', '(interrogative pronoun) why.']",Etymology needs research - no usable data found,check wikitext
իքեն,adv,"['while, whilst.']",Etymology needs research - no usable data found,check wikitext
լալ,adj,"['to weep, to cry.', 'dumb, mute, not having a power to speak.', '(colloquial) dumb, mute person.', 'a red gemstone.', 'bright red.']",Etymology needs research - no usable data found,check wikitext
լախանա,noun,['cabbage.'],Etymology needs research - no usable data found,check wikitext
լախտ,noun,"['club, mace.', 'whip, scourge.', 'leather belt for beating each other in a game.']",Etymology needs research - no usable data found,check wikitext
լակոտ,noun,"['dialectal forms recorded in dialectological notation.', ""puppy, pup, dog's young."", '(derogatory) child.', '(derogatory) bastard, cad, dog.']",Etymology needs research - no usable data found,check wikitext
լաք,noun,", without etymology.",Etymology needs research - no usable data found,check wikitext
լեկ,noun,"['dialectal thin, smooth skin of sheep, leather.', '(dialectal) thin, smooth skin of sheep, leather.', 'lek (currency of Albania).']",Etymology needs research - no usable data found,check wikitext
լեհեպ,noun,['blanket.'],Etymology needs research - no usable data found,check wikitext
լեշ,noun,"['carrion, carcass.', '(derogatory) human corpse.']",Etymology needs research - no usable data found,check wikitext
լիմոն,noun,"['lemon fruit.', 'lemon (fruit).']",Etymology needs research - no usable data found,check wikitext
լղար,adj,"['lean, gaunt, skinny.']",Etymology needs research - no usable data found,check wikitext
լոխում,noun,['Turkish delight.'],Etymology needs research - no usable data found,check wikitext
լոխումճի,noun,['maker or seller of locoum.'],Etymology needs research - no usable data found,check wikitext
խալ,noun,"['birthmark, mole.']",Etymology needs research - no usable data found,check wikitext
խալի,noun,['carpet.'],Etymology needs research - no usable data found,check wikitext
խամաճիկ,noun,"['marionette, string puppet.', '(politics) dummy, puppet, stooge.']",Etymology needs research - no usable data found,check wikitext
խանդակ,noun,"['moat, ditch.', 'ravine.']",Etymology needs research - no usable data found,check wikitext
խառընճա,noun,['ant.'],Etymology needs research - no usable data found,check wikitext
խավարծիլ,noun,"['rhubarb, gen. et spp.<ref></ref>.', 'rhubarb, Rheum gen. et spp.']",Etymology needs research - no usable data found,check wikitext
խարբիզակ,noun,"['melon the fruit of.', 'melon (the fruit of Cucumis melo).']",Etymology needs research - no usable data found,check wikitext
խարջել,verb,"['transitive to spend money.', '(transitive) to spend (money).']",Etymology needs research - no usable data found,check wikitext
խարտոց,noun,"['file tool.', 'file (tool).']",Etymology needs research - no usable data found,check wikitext
խեժ,noun,"['resin.', 'gum.', 'frankincense, incense.', 'colostrum.', '(Western Armenian) glue.']",Etymology needs research - no usable data found,check wikitext
խեչակ,noun,"['dialectal prop, stay, support for plants.', '(dialectal) prop, stay, support (for plants).']",Etymology needs research - no usable data found,check wikitext
խլեզ,noun,"['<ref></ref><ref></ref><ref></ref>.', 'lizard.', '(dialectal) slug.', '(dialectal, figuratively) worthless person.']",Etymology needs research - no usable data found,check wikitext
խորոզ,noun,"['rooster, cock.', 'cock, hammer (of a firearm).']",Etymology needs research - no usable data found,check wikitext
խռավաթ,adj,"['Van disgruntled, cherishing resentment.', '(Van) disgruntled, cherishing resentment.']",Etymology needs research - no usable data found,check wikitext
ծածկույթ,noun,"['coating; surface; layer.', 'cover; mantle; mask; veil.', '(telecommunications) coverage.']",Etymology needs research - no usable data found,check wikitext
ծիմել,noun,"['<ref></ref><ref></ref><ref></ref><ref></ref>.', 'amaranth (any of the plants in the family Amaranthaceae).']",Etymology needs research - no usable data found,check wikitext
ծխանելիք,noun,['incense.'],Etymology needs research - no usable data found,check wikitext
կակազ,adj,"['of a person stuttering, stammering.', '(of a person) stuttering, stammering.']",Etymology needs research - no usable data found,check wikitext
կակաչ,noun,"['<ref></ref>.', 'poppy, Papaver.', '(figuratively) cockscomb.']",Etymology needs research - no usable data found,check wikitext
կապա,noun,"['a kind of garment worn by men and women: kaftan, frock; cassock.']",Etymology needs research - no usable data found,check wikitext
կարել,noun,"['to sew.', 'Karelian (person).']",Etymology needs research - no usable data found,check wikitext
կարկին,noun,"['compass, pair of compasses.']",Etymology needs research - no usable data found,check wikitext
կարոս,noun,"['parsley, <ref></ref>.', 'parsley, Petroselinum.', 'celery, Apium.']",Etymology needs research - no usable data found,check wikitext
կարպետ,noun,['carpet.'],Etymology needs research - no usable data found,check wikitext
կենճ,adj,"['young.', 'young man, youth.']",Etymology needs research - no usable data found,check wikitext
կենտավրոս,noun,"['Greek mythology centaur.', '(Greek mythology) centaur.']",Etymology needs research - no usable data found,check wikitext
կիմեր,noun,['Cimmerian.'],Etymology needs research - no usable data found,check wikitext
կիւվէրճին,noun,['pigeon.'],Etymology needs research - no usable data found,check wikitext
կլպել,verb,"['to peel (e.g. a fruit, a vegetable), to shell (an egg).', '(colloquial) to fleece (out of money).']",Etymology needs research - no usable data found,check wikitext
կծոխուր,noun,"[', recorded as kutzachur.', 'barberry, Berberis, especially common barberry, Berberis vulgaris (plant and berry).']",Etymology needs research - no usable data found,check wikitext
կղմինդր,noun,"['tile, tiling.']",Etymology needs research - no usable data found,check wikitext
կճուճ,noun,"['earthen pot, used for cooking and storing food.']",Etymology needs research - no usable data found,check wikitext
կշտանալ,verb,"[""intransitive to eat one's fill; to be full after eating."", ""(intransitive) to eat one's fill; to be full (after eating).""]",Etymology needs research - no usable data found,check wikitext
կոթ,noun,"['handle, hilt, grip, haft.', 'plant stem.']",Etymology needs research - no usable data found,check wikitext
կոլեգա,noun,['colleague.'],Etymology needs research - no usable data found,check wikitext
կուզ,adj,"['beech marten.', 'beech marten, Martes foina.', 'hump, hunch.', 'humpbacked, hunchbacked.']",Etymology needs research - no usable data found,check wikitext
կուշտ,adj,"['full, satiated not hungry.', 'full, satiated (not hungry).']",Etymology needs research - no usable data found,check wikitext
կուռ,adj,"['arm.', 'back.', 'pelvis.', 'side.', 'hardened (by hammering).', 'dense, compact.', 'solid, hard, firm.', '(figuratively) resolute, unshakeable.']",Etymology needs research - no usable data found,check wikitext
կուրս,noun,"['course, direction of movement; policy.', 'course (of study, treatment, etc.).', 'academic year in the university.', 'students of the same year collectively.', '(finance, colloquial) exchange rate.']",Etymology needs research - no usable data found,check wikitext
կուց,noun,"['handful, two palms joined.']",Etymology needs research - no usable data found,check wikitext
կպնել,verb,alternative form of to stick.,Etymology needs research - no usable data found,check wikitext
կռահել,verb,"['to conjecture, to infer, to guess.', 'to notice, to remark, to observe.', 'to construe, to interpret, to understand.']",Etymology needs research - no usable data found,check wikitext
կռան,noun,"['faucet, tap.', 'crane (lifting machine).', 'forging hammer, blacksmithing hammer.', '(transferred sense) sledgehammer.']",Etymology needs research - no usable data found,check wikitext
կրիտիկական կետ,,['maths critical point a point where the derivative of a function is zero or undefined.'],Etymology needs research - no usable data found,check wikitext
հազար,noun,"['thousand.', 'lettuce, Lactuca.']",Etymology needs research - no usable data found,check wikitext
հանըմ,noun,"['lady.', 'miss (especially used to refer to a Turkish lady).']",Etymology needs research - no usable data found,check wikitext
հապալաս,noun,['blueberry.'],Etymology needs research - no usable data found,check wikitext
հավ,noun,"['hen, chicken.', '(slang) woman, chick.', '(colloquial, figurative) someone with a short memory.', '(archaic, poetic) progenitor, ancestor.', ""(archaic, poetic) father's grandfather.""]",Etymology needs research - no usable data found,check wikitext
հավես,adj,"['colloquial wish, inclination (to, for); disposition (to); enthusiasm, animation; interest; desire (for); longing (for).', '(colloquial) wish, inclination (to, for); disposition (to); enthusiasm, animation; interest; desire (for); longing (for).', '(colloquial, slang) good, pleasing.']",Etymology needs research - no usable data found,check wikitext
հարամի,noun,"['thief, bandit.']",Etymology needs research - no usable data found,check wikitext
հարել,verb,dialectal to beat severely.,Etymology needs research - no usable data found,check wikitext
հարկավոր,adj,"['needed, necessary.']",Etymology needs research - no usable data found,check wikitext
հարսանիթ,noun,['measles.'],Etymology needs research - no usable data found,check wikitext
հեչ,adv,['not at all; emphasizes a negative.'],Etymology needs research - no usable data found,check wikitext
հիլ,noun,['cardamom.'],Etymology needs research - no usable data found,check wikitext
հիմա,adv,"['now, at present, at this moment in time.', '(colloquial, dialectal) the present.']",Etymology needs research - no usable data found,check wikitext
հինդուստանի,noun,['Hindustani.'],Etymology needs research - no usable data found,check wikitext
հիփ-հոփ,noun,"['hip-hop.', '(music) hip-hop.']",Etymology needs research - no usable data found,check wikitext
