title,part_of_speech,definition,suggested_etymology,notes
անդուլ,adj,"['continuously, incessantly, endlessly.', 'tirelessly.', 'continuous, incessant, endless.', 'tireless.']",Etymology needs research,
անզգամ,adjective,"['Lacking a sense of goodness; inclined toward evil, foolish, wicked; Bold, insolent, impudent, shameless; Indecent, immoral, dissolute.']",Etymology needs research,
անթայր,noun,"['dated anthrax.', '(dated) anthrax.']",Etymology needs research,
անիծել,verb,"['transitive to curse, damn.', '(transitive) to curse, damn.']",Etymology needs research,
անիրավ,adj,"['unjust, unfair.', 'evil, ruthless, cruel.', 'unjustly, unfairly.', 'evilly, ruthlessly, cruelly.']",Etymology needs research,
անիրաւ,noun,"['Acting against law or justice; unjust, unfair; That which is done against justice or right; wrongful, inequitable; (Reproachfully or with surprise) Wicked, bad, mischievous.']",Etymology needs research,
անխախտ,adjective,"['unshaken, firm, steadfast, solid.']",Etymology needs research,
անխոյզ,adverb,"['not explorable, not researchable; unexplored; not exploring; without investigating.']",Etymology needs research,
անխոնջ,adjective,"['untiring, unwearied.']",Etymology needs research,
անհաղթ,adj,['invincible.'],Etymology needs research,
անհայտ,adj,"['unknown.', '(algebra) unknown.']",Etymology needs research,
անհնար,adj,['impossible.'],Etymology needs research,
անձ,noun,"['person.', '(law) entity.', 'personality.', '(colloquial) fellow.', '(ironic) bigwig.']",Etymology needs research,
անձինք,noun,['nominative plural of անձ (anj).'],Etymology needs research,
անձնեղ,adj,"['archaic, poetic personable, of good appearance, tall, well-made, fine-limbed.', '(archaic, poetic) personable, of good appearance, tall, well-made, fine-limbed.']",Etymology needs research,
անձնյա,adj,"['personable, of good appearance, tall, well-made, fine-limbed.']",Etymology needs research,
անձրեւ,noun,['rain.'],Etymology needs research,
աննվաճ,adj,"['unbowed, unbroken, unconquered, unvanquished.', 'unconquerable; inaccessible.']",Etymology needs research,
անշարժ,adj,"['immovable, motionless, still; fixed, stationary.', '(law, of property) immovable, real.', 'motionlessly.']",Etymology needs research,
անշուք,adj,"['plain, simple, bare (unadorned, undecorated).']",Etymology needs research,
անողոք,adjective,"['unable to be calmed, persuaded, appeased, softened, placated, implacable; inexorable, unrelenting, relentless, inflexible, hard, strict, severe.']",Etymology needs research,
անորակ,noun,"['of inferior quality, low-grade.']",Etymology needs research,
անորոշ,adj,"['indefinite, indistinct, vague.']",Etymology needs research,
անույշ,adj,"['dated alternative form of անուշ.', '(dated) alternative form of անուշ (anuš).']",Etymology needs research,
անջինջ,adjective,"['what cannot be erased, indelible, ineffacable; eternal, perpetual, permanent, lasting, durable.']",Etymology needs research,
անսանձ,adverb,['Unbridled; without a bridle; Figuratively: unrestrained; unchecked; unruly; uncontrolled.'],Etymology needs research,
անսխալ,adjective,"['without error; containing no mistakes, error-free; true, accurate, precise, infallible; incapable of making mistakes; flawlessly.']",Etymology needs research,
անսպառ,adj,"['inexhaustible, unlimited, boundless.', '(figuratively) abundant, plentiful, ample.']",Etymology needs research,
անսվաղ,adj,"['hungry, unfed.']",Etymology needs research,
անվճար,adj,['free of charge.'],Etymology needs research,
անվրէպ,adjective,"['unerring, not missing the target, accurate, infallible; unwavering, unchanging, straight; safe, secure; without error, directly, precisely.']",Etymology needs research,
անց,noun,"['after; past.', 'passage, pass, passageway.']",Etymology needs research,
անցեալ,noun,['last; past; the past.'],Etymology needs research,
անցյալ,adj,"['past, last.', 'the past.']",Etymology needs research,
անցնել,verb,"['intransitive to pass.', '(intransitive) to pass.']",Etymology needs research,
անցնող,verb,['subject participle of անցնել (ancʻnel).'],Etymology needs research,
աշխոյժ,noun,"['strong, intense, powerful, vigorous; cheerful, lively, full of energy and enthusiasm, active, energetic, spirited; liveliness, vitality, enthusiasm, energy.']",Etymology needs research,
աշխուժ,noun,"['strong, intense, powerful, vigorous; cheerful, lively, full of energy and enthusiasm, active, energetic, spirited; liveliness, vitality, enthusiasm, energy.']",Etymology needs research,
աշկերտ,noun,['apprentice.'],Etymology needs research,
աչք,noun,['eye.'],Etymology needs research,
ապ-,,"['a privative prefix; -less, in-, un.']",Etymology needs research,
ապագայ,noun,['future; the future.'],Etymology needs research,
ապիկար,adj,"['useless, inept, unskilful.', 'powerless, weak.', 'rude, crude.']",Etymology needs research,
ապուխտ,noun,"['salted and smoked meat cuts.', 'ham.', '(Western Armenian, formal) pastirma.']",Etymology needs research,
ապրանք,noun,"['goods, product.']",Etymology needs research,
առ-,,"['toward, to, on, ad.']",Etymology needs research,
առա,verb,['first-person singular past perfect indicative of առնել (aṙnel).'],Etymology needs research,
առայժմ,adv,"['for now, for the present, for the time being.', 'good bye!']",Etymology needs research,
առապար,adj,"['craggy place.', 'stony, rugged, craggy.']",Etymology needs research,
առավել,adv,"['more, much, far.', '(dialectal) the untilled land left at the edges of the field.', '(dialectal) alternative form of հորովել (horovel).']",Etymology needs research,
առավոտ,noun,"['morning.', '(figuratively) youth.']",Etymology needs research,
առարկա,noun,"['object; thing.', 'subject.']",Etymology needs research,
առաքել,verb,"['to send, to dispatch.', 'to deliver.']",Etymology needs research,
առկայծ,adj,"['fading, waning, dimming (of fire or light).']",Etymology needs research,
առյուծ,noun,['lion.'],Etymology needs research,
առնչել,verb,"['transitive to relate to.', '(transitive) to relate to.']",Etymology needs research,
առույգ,adj,"['lively, cheerful.']",Etymology needs research,
ասա,verb,['second-person singular imperative of ասել (asel).'],Etymology needs research,
աստված,noun,"['god.', '(often capitalized, singular only) God of Christianity.']",Etymology needs research,
ասք,noun,"['literature legend, saga, word, tale, song, lay.', '(literature) legend, saga, word, tale, song, lay.']",Etymology needs research,
ավազակ,noun,"['robber, brigand, thug, bandit.']",Etymology needs research,
ավանակ,noun,"['donkey, ass.', '(figuratively) ass, jackass; idiot, dumb-ass, fool, blockhead, clot, dimwit.']",Etymology needs research,
ավետիս,noun,"['good news.', 'promise of reward.']",Etymology needs research,
ավերել,verb,"['transitive to ruin, destroy, devastate.', '(transitive) to ruin, destroy, devastate.']",Etymology needs research,
ատենօք,adverb,['once upon a time.'],Etymology needs research,
արածել,verb,"['intransitive to graze, to pasture, to browse.', '(intransitive) to graze, to pasture, to browse.', '(transitive, dialectal) to pasture, to feed (to take animals out to graze).']",Etymology needs research,
արարած,noun,['creature.'],Etymology needs research,
արարել,verb,"['poetic to do.', '(poetic) to do.', '(poetic) to create.']",Etymology needs research,
արգանդ,noun,"['womb, uterus.']",Etymology needs research,
արդեօք,adverb,"['perhaps, is it? indeed?']",Etymology needs research,
արդյոք,particle,"['whether, really?, is it possible?']",Etymology needs research,
արեւոտ,noun,['Sunny; clear weather when the sun is shining.'],Etymology needs research,
արհեստ,noun,"['handicraft, trade; craft; technical/manual profession, occupation.']",Etymology needs research,
արորել,verb,['to plough.'],Etymology needs research,
արույր,noun,"['brass, alloy of copper and zinc.']",Etymology needs research,
արվեստ,noun,['art.'],Etymology needs research,
արտալա,noun,"[', glosses with.', 'beef shank.', 'a khash made from beef shank.', '(by extension) any lean and low-value cut of meat.', '(figuratively) an unwanted accompanying person brought by the guest.']",Etymology needs research,
արտոսր,noun,"['archaic, poetic tear.', '(archaic, poetic) tear.']",Etymology needs research,
արև,noun,"['the sun.', 'sunlight.', '(figuratively) life.']",Etymology needs research,
արևելք,noun,['east.'],Etymology needs research,
աւազակ,noun,"['brigand, thief, robber, bandit, highwayman.']",Etymology needs research,
աւետել,verb,['to announce good news.'],Etymology needs research,
աւետիս,noun,"['good tidings, good news.']",Etymology needs research,
աւերակ,adjective,"['ruin, demolition, devastation; ruined.']",Etymology needs research,
աւերել,verb,"['to ravage, to ruin, to destroy, to desolate, to lay waste, to waste.']",Etymology needs research,
աւերիչ,adjective,"['destructive, destroying, destroyer, ravager, spoiler.']",Etymology needs research,
աքաղաղ,noun,['rooster.'],Etymology needs research,
բազրիք,noun,"['railing, handrail.']",Etymology needs research,
բաժ,noun,"['historical a kind of indirect tax.', '(historical) a kind of indirect tax.']",Etymology needs research,
բակ,noun,"['court; yard, courtyard.']",Etymology needs research,
բաղխել,verb,"['dated alternative form of բախել.', '(dated) alternative form of բախել (baxel).']",Etymology needs research,
բաղձալ,verb,"['literary to desire, to wish, to long for, to want.', '(literary) to desire, to wish, to long for, to want.']",Etymology needs research,
բաղնիք,noun,"['bathhouse building containing baths for communal use.', 'bathhouse (building containing baths for communal use).', 'bathroom.', 'the act of bathing.']",Etymology needs research,
բամբիշ,noun,"['dated, rare queen.', '(dated, rare) queen.']",Etymology needs research,
բամպակ,noun,['cotton.'],Etymology needs research,
բայ,noun,"['grammar verb.', '(grammar) verb.', 'lair.']",Etymology needs research,
բաշ,adj,"['mane of animals.', 'mane (of animals).', 'crest, peak, top.', '(figuratively) mane (of human hair).', 'spot (white spot on an animal).', 'pied, piebald.']",Etymology needs research,
բաշխել,verb,"['to allocate.', 'to distribute, to allot.']",Etymology needs research,
բառ,noun,['word.'],Etymology needs research,
բառնալ,verb,"['archaic to load; to lade, to freight.', '(archaic) to load; to lade, to freight.', '(archaic) to lift, to raise; to heave.', '(archaic) to destroy, extinguish.']",Etymology needs research,
բարբառ,noun,"['linguistics dialect.', '(linguistics) dialect.', '(dated) language; speech; word.']",Etymology needs research,
բարևել,verb,['to greet.'],Etymology needs research,
բացակա,adj,['absent.'],Etymology needs research,
բացվել,verb,['passive voice of բացել (bacʻel).'],Etymology needs research,
բենզա-,,"['petrol, gas.']",Etymology needs research,
բեռ,noun,"['burden; load; freight; cargo, lading.', '(figuratively) burden.']",Etymology needs research,
բժշկել,verb,"['transitive, somewhat, formal to cure, heal.', '(transitive, somewhat formal) to cure, heal.']",Etymology needs research,
բիբ,noun,"['pupil of the eye.', 'pupil (of the eye).']",Etymology needs research,
բիթ,noun,"['computing bit binary digit.', '(computing) bit (binary digit).']",Etymology needs research,
բմբուլ,noun,['down feather.'],Etymology needs research,
բնագիր,noun,"['original (of a text).', 'epigraph.']",Etymology needs research,
բնակել,verb,"['intransitive to live, reside, dwell.', '(intransitive) to live, reside, dwell.', '(transitive) to settle.']",Etymology needs research,
բնակիլ,verb,"['to dwell, to live, to lodge, to inhabit, to reside, to stay.']",Etymology needs research,
բոզբաշ,noun,['bozbash.'],Etymology needs research,
բողջոց,noun,"['Tigranakert swelling, tumour, wound.', '(Diyarbakır) swelling, tumour, wound.']",Etymology needs research,
բորբոք,adj,"['inflammation, fire.', 'heat of a burning fire.', '(figuratively) fervour, rapture.', 'hot, inflamed (also figuratively).']",Etymology needs research,
բոց,adj,"['flames, blaze, fire.', '(figuratively) passion, ardor, fervor.', '(slang) amusing thing, joke.', 'hot, red-hot, burning.', 'fiery, ardent, fervent.', '(slang) rad, excellent.']",Etymology needs research,
բուժիչ,adjective,"['healing, curative, remedial; healer, curer.']",Etymology needs research,
բուրել,verb,"['to smell good, have a pleasant aroma.']",Etymology needs research,
բռնկիլ,verb,"['to catch fire, to ignite, to blaze up, to burst into flame; (figuratively) to get angry, to become fiery or passionate, to flare up.']",Etymology needs research,
բրեցել,noun,['pretzel.'],Etymology needs research,
գանգատ,noun,['complaint.'],Etymology needs research,
գանձել,verb,"['to amass treasure or wealth, to hoard; to accumulate (figuratively), to store up; to collect payments due to a treasury.']",Etymology needs research,
գառ,noun,"['<ref></ref><ref></ref><ref></ref><ref></ref>.', 'lamb.']",Etymology needs research,
գարշել,verb,"['to abhor, to detest.', 'to shrink from, to disdain.', 'to have an aversion, repugnance.', 'to loathe.']",Etymology needs research,
գգուել,verb,"['to caress or fondle lovingly; (figuratively) to show affection, respect, or care.']",Etymology needs research,
գգվանք,noun,"['caress, cuddle, embrace.']",Etymology needs research,
գել,adj,"['dialectal alternative form of գայլ.', '(dialectal) alternative form of գայլ (gayl).', 'tight, stiff; twisted.']",Etymology needs research,
գեղարդ,noun,"['lance, large spear.']",Etymology needs research,
գեշ,adj,"['corpse, carrion, dead body.', '(Western Armenian) bad.', '(colloquial, dialectal) ugly.']",Etymology needs research,
գեջ,adj,"['moist, humid.', 'dirty.', '(of plants) green, fresh.']",Etymology needs research,
գերակա,adj,"['having precedence, eminent, high.']",Etymology needs research,
գերծել,verb,"['archaic, transitive to shave.', '(archaic, transitive) to shave.']",Etymology needs research,
գէր,adjective,"['fat, obese, corpulent (for people or animals); thick, bulky, swollen, overweight (due to fat or bulk); fertile, rich (describing soil); oily, juicy, rich in fat (in food).']",Etymology needs research,
գժտվել,verb,"['inflection of գժտել.', 'mediopassive of գժտել (gžtel).', 'to quarrel, fall out with.']",Etymology needs research,
գիծ,noun,"['dialectal forms recorded in dialectological notation<ref></ref>.', 'line.']",Etymology needs research,
գիմ,noun,"['the name of the Armenian letter գ.', 'the name of the Armenian letter գ (g).']",Etymology needs research,
գլանիկ,noun,['cigarette.'],Etymology needs research,
գլխարկ,noun,['hat.'],Etymology needs research,
գծուիլ,verb,"['to be crossed out, ruled, regulated, drawn, penciled, drafted, designed.']",Etymology needs research,
գնա,verb,['second-person singular imperative of գնալ (gnal).'],Etymology needs research,
գնդաձև,adj,"['spherical, globular.']",Etymology needs research,
գնուիլ,verb,"['to be bought, to be purchased.']",Etymology needs research,
գոգ,noun,"['lap.', 'hollow, depression in the earth.', 'lap, hem (of clothes).']",Etymology needs research,
գոգնոց,noun,['apron.'],Etymology needs research,
գողնալ,verb,"['to steal, to rob, to plunder, to pilfer.']",Etymology needs research,
գովեստ,noun,"['praise, laudation.']",Etymology needs research,
գործել,verb,"['to function, work, operate; to act.', 'to knit.']",Etymology needs research,
գործիչ,noun,"['figure, personality.']",Etymology needs research,
գործող,verb,['subject participle of գործել (gorcel).'],Etymology needs research,
գուժել,verb,['to give sad news.'],Etymology needs research,
գուլպա,noun,"['sock.', 'stocking.']",Etymology needs research,
գումար,noun,"['sum.', '(euphemistic) money.']",Etymology needs research,
գուշակ,noun,"['soothsayer, diviner.', 'sign, portent, presage.']",Etymology needs research,
գուպար,noun,"['fight, struggle, battle.', '(archaic) fight, struggle, battle.']",Etymology needs research,
գրագետ,adj,"['literate.', '(of text) grammatical, correct, without mistakes.', 'competent, skilful.', 'literatus.']",Etymology needs research,
գրագէտ,adjective,"['literate; man of letters, lettered, literary man, writer.']",Etymology needs research,
գրառել,verb,"['to write, to write down, to record.']",Etymology needs research,
գրաւել,verb,"['to occupy, to seize, to confiscate, to appropriate, to invade.']",Etymology needs research,
գրաւիչ,adjective,"['attractive, striking, thrilling, enchanting, engaging.']",Etymology needs research,
գրգռել,verb,"['to excite, to stimulate.', 'to irritate, to annoy.', 'to intensify, to aggravate.', 'to arouse (sexually).', 'to incite, to goad.', 'to upset, to unnerve.', 'to anger, to inflame.']",Etymology needs research,
գրոհել,verb,"['to attack, assault, storm.']",Etymology needs research,
գրուիլ,verb,['to be written.'],Etymology needs research,
գրքոյկ,noun,"['booklet, small book, pamphlet, tract; memorandum.']",Etymology needs research,
գրքուկ,noun,"['booklet, small book, pamphlet, tract; memorandum.']",Etymology needs research,
դալուկ,adj,"['pallid.', '(figuratively) cheerless.', 'jaundice.']",Etymology needs research,
դառնալ,verb,"['to become; to turn into.', 'to return, to come back.', 'to turn, to change direction.']",Etymology needs research,
դատ,noun,"['legal trial, judicial proceedings.', '(law) trial, judicial proceedings.', 'justice.']",Etymology needs research,
դար,noun,"['century, 100 years.', 'age, epoch.', 'hill, hillock, knoll.']",Etymology needs research,
դեզ,noun,"['haystack, stack.', 'heap, pile.']",Etymology needs research,
դեղնիլ,verb,"['To turn yellow; to become yellow in color; To grow pale/yellow from illness, fear, etc.; to become sallow.']",Etymology needs research,
դեռ,adv,"['still, yet.']",Etymology needs research,
դետ,noun,"['patrol, watch.', 'scout, sentinel.', '(dated) lookout-place, peak, height.', 'spy.']",Etymology needs research,
դժ-,,"['a negative prefix, un-, dis-, mis.']",Etymology needs research,
դիեցիկ,adj,['suckling.'],Etymology needs research,
դիպուկ,adj,"['accurate, precise, on target.', '(figuratively) sharp, pointed (as of a remark or utterance).', '(dialectal) demonic, diabolical, wicked.']",Etymology needs research,
դիպչել,verb,"['somewhat, formal to touch.', '(somewhat formal) to touch.']",Etymology needs research,
դիպված,noun,"['chance, coincidence, accident, luck.', 'event, circumstance, incident, occurrence.']",Etymology needs research,
դիտվել,verb,['mediopassive of դիտել (ditel).'],Etymology needs research,
դիւրաւ,adverb,"['easily, readily, with facility, pliantly.']",Etymology needs research,
դմբրել,noun,['synonym of թմրել (tʻmrel).'],Etymology needs research,
դոխ,noun,"['mill hopper a funnel-shaped container, whence the grist is discharged into the mill.', 'mill hopper (a funnel-shaped container, whence the grist is discharged into the mill).', 'dove, pigeon.', 'chick of a dove, pigeon.', 'chick of a hen.', 'kitten.', '(term of endearment) a young child, chick.']",Etymology needs research,
դու,pron,"['personal you, thou.', '(personal) you, thou.']",Etymology needs research,
դրուագ,noun,"['sculpture, thin plate of metal, chapter, episode.']",Etymology needs research,
դրուիլ,verb,"['to be set, put, laid.']",Etymology needs research,
դրույք,noun,"['rate, wage, salary.']",Etymology needs research,
եբենոս,adj,"['ebony.', 'ebony (tree).', 'ebony (wood from this tree).', 'ebony (of ebony).']",Etymology needs research,
եզր,noun,"['bank; shore.', 'border, edge; brink; extremity.', 'skirt, flap, lap, hem.', 'border, boundary, limit.', 'rib.', 'conclusion, finding; deduction.', 'term (word or phrase from a specialized area of knowledge).']",Etymology needs research,
ելեւէջ,noun,"['ups and downs, vicissitudes; modulation.']",Etymology needs research,
ելունդ,noun,['small swelling; knob; tumor.'],Etymology needs research,
ելուստ,noun,"['projection, salience; protuberance; ledge.']",Etymology needs research,
եղա,verb,['first-person singular past perfect indicative of լինել (linel).'],Etymology needs research,
եղծ,adj,"['archaic refutation.', '(archaic) refutation.', '(archaic) deceitful, fraudulent.', '(archaic) spoilt, corrupted, misshapen, bad.']",Etymology needs research,
եղունգ,noun,"['nail.', 'nail (of finger or toe).']",Etymology needs research,
ենթակա,adj,"['grammar subject.', '(grammar) subject.', 'subordinate.', 'subject, subject to, subordinate.']",Etymology needs research,
երազող,verb,['subject participle of երազել (erazel).'],Etymology needs research,
երամակ,noun,"['drove, herd, flock.']",Etymology needs research,
երե,noun,['herbivorous game animal.'],Etymology needs research,
երեխայ,noun,['child; catechumen.'],Etymology needs research,
երեկոյ,noun,['evening.'],Etymology needs research,
երեւալ,verb,"['to appear, to be seen, to be visible, to be in sight; to seem.']",Etymology needs research,
երեւիլ,verb,"['to appear, to be seen, to be visible, to be in sight; to seem.']",Etymology needs research,
երիկամ,noun,['kidney.'],Etymology needs research,
երկինք,noun,"['sky.', 'heaven.']",Etymology needs research,
երկիցս,adv,"['archaic, literary twice.', '(archaic, literary) twice.', '(archaic, literary) for the second time, again.']",Etymology needs research,
երկիւղ,noun,"['fear, fright, terror, dread, awe, timidity, fearfulness, discouragement, phobia.']",Etymology needs research,
երկչոտ,adj,"['fearful, scared, frightened.', 'timorous, trembling, afraid.', 'alarmed, anxious, apprehensive.']",Etymology needs research,
երկսեռ,adjective,"['of or relating to both genders, both male and female, both genders inclusive.']",Etymology needs research,
երրորդ,adv,"['third.', 'the third part.', 'thirdly.']",Etymology needs research,
եւս,adverb,"['also, more, moreover, besides, still, as yet, anew.']",Etymology needs research,
եփուիլ,verb,"['to come to a boil; the process of raw food boiling in water and softening to become edible, to be cooked; to be subjected to heat in order to become edible, to be baked; (figuratively) to become experienced and skilled in a particular field through continuous work and effort.']",Etymology needs research,
զանգել,verb,"['to ring.', 'to call (by phone).']",Etymology needs research,
զավթել,verb,"['to conquer, to seize.', 'to steal.', 'to subjugate, to control.']",Etymology needs research,
զատ,adj,"['isolated, separate.', 'separately, apart.', '(with ablative) apart from.']",Etymology needs research,
զաւեշտ,noun,"['A word or action intended to amuse or make people laugh; a joke, prank, jest; A light theatrical piece written to provoke laughter or satire; a comedy / farce.']",Etymology needs research,
զգենալ,verb,"['archaic, transitive to put on (clothes).', '(archaic, transitive) to put on (clothes).']",Etymology needs research,
զեկոյց,noun,['Report; information about a matter communicated (usually orally) to a superior person or authority for management or direction.'],Etymology needs research,
զեղծել,verb,"['to squander, to waste.', 'to counterfeit, to falsify, to fake, to forge, to fabricate.']",Etymology needs research,
զեղչել,verb,"['transitive to discount, to grant a rebate to deduct a certain amount from (a bill, charge, etc.).', '(transitive) to discount, to grant a rebate (to deduct a certain amount from (a bill, charge, etc.)).', '(grammar) to omit of a word or phrase.']",Etymology needs research,
զեփիւռ,noun,"['breeze, a pleasant wind, zephyr.']",Etymology needs research,
զզուիլ,verb,"['To feel strong moral disgust or aversion toward a person or thing; to loathe, to abhor, to be unable to tolerate; to be disgusted by; To feel physical revulsion; to be nauseated; to be repelled; To grow tired of; to be fed up with; to no longer be able to stand something.']",Etymology needs research,
զզվանք,noun,"['disgust, repulsion.', 'disgusting person.']",Etymology needs research,
զինվոր,noun,"['soldier.', '(chess) pawn.', '(card games) jack.']",Etymology needs research,
զլանալ,verb,"['to refuse, to retract, to deny; not to accept, to deprive, to disown, to disregard; to retain.']",Etymology needs research,
զոռ,adj,"['colloquial, dialectal force, power, strength.', '(colloquial, dialectal) force, power, strength.', '(colloquial, dialectal) force, violence, compulsion.', '(colloquial, dialectal) hard, difficult.']",Etymology needs research,
զոր,adj,"['rare strength, vigour, force.', '(rare) strength, vigour, force.', 'rare form of զորք (zorkʻ).', '(poetic) mighty, powerful.']",Etymology needs research,
զուարթ,adjective,"['Expressing joy, cheerful, merry; Bringing joy, lively; Energetic, vibrant, spirited; Healthy-looking, fresh, vigorous in appearance, lush; Bright, radiant, vivid; Open-hearted, welcoming, pleasant.']",Etymology needs research,
զրկանք,noun,"['hardship, privation, injustice, wrong, harm, injury, destitution, bereavement.']",Etymology needs research,
զրույց,noun,"['conversation, discussion, talk.', 'story, tradition, fairy-tale (told orally).', 'short story or short poem.', 'essay.', 'news.', 'gossip, rumor.', '(archaic) saying, expression.']",Etymology needs research,
էակ,noun,"['being, creature living being.', 'being, creature (living being).', 'man (human being).', 'person, individual.', 'God.']",Etymology needs research,
էիր,verb,['second-person singular imperfect of եմ (em).'],Etymology needs research,
էիք,verb,['second-person plural imperfect of եմ (em).'],Etymology needs research,
էջք,noun,"['descent, descension, fall, pitch.']",Etymology needs research,
ընթացք,noun,"['movement, course, development.']",Etymology needs research,
ընկճել,verb,"['to discourage, to dishearten, to dispirit.', 'to crush, to quell, to humble.', 'to defeat, to vanquish, to conquer.', 'to subjugate, to subdue.', 'to squash, to put down, to humiliate.']",Etymology needs research,
ընկնել,verb,"['intransitive to fall.', '(intransitive) to fall.', '(intransitive) to fall, to, drop, to decrease.', '(intransitive) to be situated, to be; to lie.', '(intransitive) to fall on, to fall to.', '(intransitive) to fall, to be killed.', '(intransitive) to fall on.', '(intransitive) to find oneself, to get (somewhere); to wind up, to end up.', '(intransitive, colloquial) to get caught (in), to get (into).', '(intransitive) to lose, to fall from.', '(intransitive) be carried away (by).', '(intransitive) to perish, to die (of cattle).']",Etymology needs research,
ընտրել,verb,"['to choose.', 'to elect.']",Etymology needs research,
