title,part_of_speech,definition,suggested_etymology,source,notes
ամփոփել,verb,"['transitive to summarize, sum up, recapitulate.', '(transitive) to summarize, sum up, recapitulate.']",,,
այբ,noun,"['the name of the Armenian letter ա.', 'the name of the Armenian letter ա (a).']",,,
այծյամ,noun,"['roe deer.', 'buck, hart.', 'chamois.']",,,
այծքաղ,noun,['antelope.'],,,
այտ,noun,"['somewhat, formal cheek.', '(somewhat formal) cheek.']",,,
այտուց,noun,"['pathology swelling; edema.', '(pathology) swelling; edema.']",,,
այցելել,verb,['to visit.'],,,
անապեստ,noun,"['anapest.', '(poetry) anapest.']",,,
անգ,noun,"['dialectal handle of a pot.', '(dialectal) handle of a pot.', '(dialectal) ring on the edge of a sack for wheat.']",,,
անդեորդ,noun,"['archaic herdsman, shepherd.', '(archaic) herdsman, shepherd.', '(archaic, astronomy) Boötes.']",,,
անդրուար,noun,"['dated cart, wagon.', '(dated) cart, wagon.', '(dated) horse or mule yoked to a cart.']",,,
անել,verb,['to do.'],,,
աներձագ,noun,"['brother-in-law wife’s brother.', 'brother-in-law (wife’s brother).']",,,
անթայր,noun,"['dated anthrax.', '(dated) anthrax.']",,,
անիծ,noun,"['nit, louse egg.']",,,
անիծել,verb,"['transitive to curse, damn.', '(transitive) to curse, damn.']",,,
անկանել,verb,"['archaic, transitive to lay the groundwork of lace; to weave; to twine.', '(archaic, transitive) to lay the groundwork of lace; to weave; to twine.', '(archaic, intransitive) alternative form of ընկնել (ənknel).']",,,
անձ,noun,"['person.', '(law) entity.', 'personality.', '(colloquial) fellow.', '(ironic) bigwig.']",,,
անձավ,noun,['cave.'],,,
անձեռոց,noun,['napkin.'],,,
անձրև,noun,['rain.'],,,
անորակ,noun,"['of inferior quality, low-grade.']",,,
անութ,noun,['armpit.'],,,
անուր,noun,"['collar for animals.', 'collar (for animals).', '(figuratively) oppression, yoke.']",,,
անջատել,verb,"['transitive to separate, to part; to detach; to disconnect; to disunite.', '(transitive) to separate, to part; to detach; to disconnect; to disunite.', '(transitive) to turn off, to shut down, to disable (to put a device, system or mechanism out of operation).']",,,
անջրպետ,noun,"['bar, barrier, obstacle; partition.']",,,
անց,noun,"['after; past.', 'passage, pass, passageway.']",,,
անցնել,verb,"['intransitive to pass.', '(intransitive) to pass.']",,,
աշակերտ,noun,"['schoolchild, pupil; apprentice.', 'disciple.']",,,
աշխատել,verb,"['to work; to work (on, at); to toil, to labour.', 'to work, to be employed at.', 'to work, to run; to operate, to function (of an appliance).', 'to earn.', 'to try, to seek.']",,,
աշտանակ,noun,['candlestick.'],,,
աչք,noun,['eye.'],,,
ապաթարց,noun,"['grammar apostrophe.', '(grammar) apostrophe.']",,,
ապահովել,verb,"['transitive to protect, to keep safe, to secure.', '(transitive) to protect, to keep safe, to secure.']",,,
ապավինել,verb,"['to rely on, place reliance in.']",,,
ապարանք,noun,['palace.'],,,
ապուխտ,noun,"['salted and smoked meat cuts.', 'ham.', '(Western Armenian, formal) pastirma.']",,,
ապուր,noun,['soup.'],,,
ապտակ,noun,['slap in the face.'],,,
ապտակել,verb,"['transitive to slap.', '(transitive) to slap.']",,,
ապրանք,noun,"['goods, product.']",,,
աջակցել,verb,"['to aid, to assist, to succour.']",,,
առաջարկ,noun,"['offer, suggestion, proposal.', '(economics) supply.']",,,
առաջնորդ,noun,"['leader, chief.']",,,
առասպել,noun,"['myth.', 'legend.']",,,
առավոտ,noun,"['morning.', '(figuratively) youth.']",,,
առարկա,noun,"['object; thing.', 'subject.']",,,
առաքել,verb,"['to send, to dispatch.', 'to deliver.']",,,
առաքյալ,noun,['apostle.'],,,
առեղծված,noun,"['mystery, enigma, riddle, conundrum.']",,,
առերեսել,verb,"['to confront, to come face to face.']",,,
առիք,noun,"['dialectal forms recorded in dialectological notation.', '(dialectal) ceiling.']",,,
առկախել,verb,"['to hang, to dangle.', '(transitive, rare) to hang, to dangle.']",,,
առկայծել,verb,"['to fade, to wane, to dim.', '(figuratively) to shine, to sparkle, to glimmer.', '(figuratively) to feel enveloped by a strong inner sensation, especially as a result of a new idea.']",,,
առյուծ,noun,['lion.'],,,
առնետ,noun,['rat.'],,,
առնչել,verb,"['transitive to relate to.', '(transitive) to relate to.']",,,
առվույտ,noun,"['alfalfa, lucerne.', 'alfalfa, lucerne, Medicago sativa.']",,,
առևանգել,verb,['to kidnap.'],,,
ասացվածք,noun,"['proverb, saying.']",,,
ասեղ,noun,['needle.'],,,
ասպանդակ,noun,['stirrup.'],,,
ասպատակ,noun,"['raider, plunderer.', 'raid, inroad, incursion.']",,,
ասպարեզ,noun,"['sphere; area, domain, field, realm.', 'racecourse, hippodrome.', 'arena.', '(dated) stadion (a unit of distance).']",,,
աստղ,noun,"['star.', 'celebrity, star.']",,,
աստված,noun,"['god.', '(often capitalized, singular only) God of Christianity.']",,,
ասք,noun,"['literature legend, saga, word, tale, song, lay.', '(literature) legend, saga, word, tale, song, lay.']",,,
ավազ,noun,['sand.'],,,
ավազակ,noun,"['robber, brigand, thug, bandit.']",,,
ավանակ,noun,"['donkey, ass.', '(figuratively) ass, jackass; idiot, dumb-ass, fool, blockhead, clot, dimwit.']",,,
ավել,noun,"['broom, besom.']",,,
ավելյաց,noun,"['historical, often, capitalized the five epagomenal days of the ancient Armenian calendar (inserted at the end of the year).', '(historical, often capitalized) the five epagomenal days of the ancient Armenian calendar (inserted at the end of the year).']",,,
ավետիս,noun,"['good news.', 'promise of reward.']",,,
ավերանք,noun,"['ruin, devastation.']",,,
ավերել,verb,"['transitive to ruin, destroy, devastate.', '(transitive) to ruin, destroy, devastate.']",,,
ավլել,verb,"['transitive to sweep.', '(transitive) to sweep (with a broom).']",,,
ավտոտնակ,noun,['garage.'],,,
ատամ,noun,"['tooth.', '(technology) cog.', 'prong.', 'merlon.']",,,
ատել,verb,['to hate.'],,,
արածել,verb,"['intransitive to graze, to pasture, to browse.', '(intransitive) to graze, to pasture, to browse.', '(transitive, dialectal) to pasture, to feed (to take animals out to graze).']",,,
արարած,noun,['creature.'],,,
արարել,verb,"['poetic to do.', '(poetic) to do.', '(poetic) to create.']",,,
արաց,noun,"['historical, sometimes, capitalized the sixth month of the.', '(historical, sometimes capitalized) the sixth month of the Armenian calendar.']",,,
արգանդ,noun,"['womb, uterus.']",,,
արգելել,verb,"['transitive to forbid, to prohibit.', '(transitive) to forbid, to prohibit.']",,,
արդյունք,noun,['result; outcome; product.'],,,
արդուկել,verb,"['to press, to iron, to pass an iron over.']",,,
արթնանալ,verb,"['intransitive to wake up, awake.', '(intransitive) to wake up, awake.']",,,
արժույթ,noun,['currency.'],,,
արծիվ,noun,['eagle.'],,,
արհեստ,noun,"['handicraft, trade; craft; technical/manual profession, occupation.']",,,
արձագանք,noun,"['echo.', '(figuratively) repercussion.', 'response.']",,,
արձակել,verb,"['to release, to set free, to liberate.', 'to open, to open up, to unbutton.', 'to send on vacation, to recess.', '(figuratively) to break (a bond).', 'to shoot, to fire.', 'to scatter, to spread, to emit.', 'to discharge, to dismiss (from office or employment).', 'to untie, to unbind, to unleash.', 'to dissolve (a parliament, etc.).', 'to break up (a gathering).', '(archaic) to finish, to end.', '(archaic) (ecclesiastical) to absolve.']",,,
արմո,noun,"['Internet slang, derogatory a diasporoid Armenian usually from a Western country.', '(Internet slang, derogatory) a diasporoid Armenian (usually from a Western country).']",,,
արմունկ,noun,['elbow.'],,,
արշավանք,noun,"['invasion, incursion, raid.', '(military) campaign.']",,,
արշավել,verb,"['to run with an intention to attack; to raid, invade.']",,,
արոս,noun,['field that is left uncultivated for 5-6 years for strengthening.'],,,
արոր,noun,['plough.'],,,
արորել,verb,['to plough.'],,,
արույր,noun,"['brass, alloy of copper and zinc.']",,,
արվեստ,noun,['art.'],,,
արտագաղթ,noun,['emigration.'],,,
արտադրել,verb,"['to produce, make.']",,,
արտալա,noun,"[', glosses with.', 'beef shank.', 'a khash made from beef shank.', '(by extension) any lean and low-value cut of meat.', '(figuratively) an unwanted accompanying person brought by the guest.']",,,
արտասվել,verb,"['to cry, to weep, to shed tears.', '(figuratively) to sap (of plants and trees).', '(figuratively) to flow out, to pour out.']",,,
արտավար,noun,"['tilled and sown land.', 'the surface area of one field.', '(archaic) husbandman, tiller.']",,,
արտաքսել,verb,"['to deport, to expel.', 'to discharge, to depose (from office or employment).', 'to exile, to banish.']",,,
արտոսր,noun,"['archaic, poetic tear.', '(archaic, poetic) tear.']",,,
արտորալ,verb,"['dialectal forms recorded in dialectological notation.', '(intransitive) to hurry, to make haste.']",,,
արտորայք,noun,"['collective noun fields, tilled lands.', '(collective noun) fields, tilled lands.']",,,
արքա,noun,"['king, monarch.', '(chess) king.']",,,
արև,noun,"['the sun.', 'sunlight.', '(figuratively) life.']",,,
արևելք,noun,['east.'],,,
արևմուտք,noun,['west.'],,,
ափսե,noun,"['Eastern Armenian plate.', '(Eastern Armenian) plate.', '(Western Armenian) tray.']",,,
ափսոսանք,noun,['regret.'],,,
աքաղաղ,noun,['rooster.'],,,
աքիս,noun,"['weasel, least weasel <ref></ref>.', 'weasel, least weasel (Mustela nivalis).']",,,
աքսորանք,noun,['synonym of աքսոր (akʻsor).'],,,
աքսորել,verb,"['to exile, to banish.', '(figuratively) to expel, to kick out.']",,,
բազմանալ,verb,"['intransitive to multiply, increase.', '(intransitive) to multiply, increase.', '(intransitive) to breed, reproduce.']",,,
բազրիք,noun,"['railing, handrail.']",,,
բաժ,noun,"['historical a kind of indirect tax.', '(historical) a kind of indirect tax.']",,,
բաժանորդ,noun,['subscriber.'],,,
բալատուր,noun,"['cashew nut.', 'marking-nut tree, Semecarpus anacardium.']",,,
բակ,noun,"['court; yard, courtyard.']",,,
բակլա,noun,"['broad bean, <ref></ref>.', 'broad bean, Vicia faba.']",,,
բաղխել,verb,"['dated alternative form of բախել.', '(dated) alternative form of բախել (baxel).']",,,
բաղկանալ,verb,['to consist of; to be comprised of.'],,,
բաղձալ,verb,"['literary to desire, to wish, to long for, to want.', '(literary) to desire, to wish, to long for, to want.']",,,
բաղձանք,noun,"['strong desire, longing, craving.']",,,
բաղնիք,noun,"['bathhouse building containing baths for communal use.', 'bathhouse (building containing baths for communal use).', 'bathroom.', 'the act of bathing.']",,,
բամբիշ,noun,"['dated, rare queen.', '(dated, rare) queen.']",,,
բայ,noun,"['grammar verb.', '(grammar) verb.', 'lair.']",,,
բանել,verb,"['intransitive to work, operate, function.', '(intransitive) to work, operate, function.']",,,
բաննա,noun,['bricklayer.'],,,
բաշխել,verb,"['to allocate.', 'to distribute, to allot.']",,,
բառ,noun,['word.'],,,
բառգիրք,noun,"['rare dictionary.', '(rare) dictionary.']",,,
բառնալ,verb,"['archaic to load; to lade, to freight.', '(archaic) to load; to lade, to freight.', '(archaic) to lift, to raise; to heave.', '(archaic) to destroy, extinguish.']",,,
բավիղ,noun,['labyrinth.'],,,
բարբառ,noun,"['linguistics dialect.', '(linguistics) dialect.', '(dated) language; speech; word.']",,,
բարեկամ,noun,"['relative.', 'friend, pal.', '(form of address) buddy.']",,,
բարևել,verb,['to greet.'],,,
բացառել,verb,"['to make an exception.', 'to reject, to decline, to turn down.', 'to disallow, to preclude, to prohibit.']",,,
բացել,verb,['to open.'],,,
բեկանել,verb,"['legal to annul, to reverse a decision.', '(law) to annul, to reverse (a decision).', 'alternative form of բեկել (bekel).']",,,
բեհեզ,noun,"['byssus, fine linen.']",,,
բեյթ,noun,"['couplet, a verse of poetry consisting of two lines.']",,,
բեռ,noun,"['burden; load; freight; cargo, lading.', '(figuratively) burden.']",,,
բերել,verb,"['to bring, to fetch.']",,,
բժշկել,verb,"['transitive, somewhat, formal to cure, heal.', '(transitive, somewhat formal) to cure, heal.']",,,
բիբ,noun,"['pupil of the eye.', 'pupil (of the eye).']",,,
բիթ,noun,"['computing bit binary digit.', '(computing) bit (binary digit).']",,,
բլոգ,noun,['blog.'],,,
բլուր,noun,['hill.'],,,
բղուղ,noun,"['an earthenware jar for holding pickles, oil, milk, matzoon, etc.']",,,
բմբուլ,noun,['down feather.'],,,
բյուրեղ,noun,"['crystal.', '(mineralogy) beryl.', 'cut glass, crystal (glassware).']",,,
բնագիր,noun,"['original (of a text).', 'epigraph.']",,,
բնադրել,verb,"['of birds to nest.', '(of birds) to nest.']",,,
բնակել,verb,"['intransitive to live, reside, dwell.', '(intransitive) to live, reside, dwell.', '(transitive) to settle.']",,,
բնորոշել,verb,"['to describe, to characterize, to call.', 'to determine, to establish, to ascertain.']",,,
բոզբաշ,noun,['bozbash.'],,,
բողբոջել,verb,"['to blossom, to bud, to sprout.', '(figuratively) to grow, to thrive, to burgeon.', '(figuratively) to mature, to develop, to flourish.']",,,
բողկ,noun,['radish.'],,,
բողկուկ,noun,"['newly grown horn of animals.', '(anatomy) feeler, antenna.']",,,
բողոքել,verb,"['to complain.', 'to protest.']",,,
բողջոց,noun,"['Tigranakert swelling, tumour, wound.', '(Diyarbakır) swelling, tumour, wound.']",,,
բովել,verb,"['transitive to roast.', '(transitive) to roast.']",,,
բորոտել,verb,"['to have leprosy.', '(dialectal) to have scabies.']",,,
բուժկետ,noun,"['first aid post, aid station; infirmary.']",,,
բուծանել,verb,"['dated alternative form of բուծել.', '(dated) alternative form of բուծել (bucel).']",,,
բունկալ,noun,"['nest egg, an egg placed in a henhouse that induces the hens to lay eggs.']",,,
բուսնել,verb,"['to grow, to germinate.', '(figuratively) to appear suddenly.']",,,
բուրգ,noun,['pyramid.'],,,
բուրել,verb,"['to smell good, have a pleasant aroma.']",,,
բուրվառ,noun,['censer.'],,,
բռնել,verb,"['to hold.', 'to catch.', 'to arrest.', 'to occupy.', 'to cover, to embrace.']",,,
բռունցք,noun,"['fist.', '(figuratively) violence.']",,,
բրեցել,noun,['pretzel.'],,,
բևեռ,noun,"['geography pole.', '(geography) pole.', '(physics, electricity) pole.', '(archaic) nail.']",,,
գագաթ,noun,"['top, apex, summit, crest, peak.', 'culmination point, height, summit, climax, peak.', '(geometry) apex; vertex.']",,,
գաթա,noun,"['dialectal forms recorded in dialectological notation.', 'gata.']",,,
գալարել,verb,"['transitive to coil, twist, bend, curl.', '(transitive) to coil, twist, bend, curl.']",,,
գալուստ,noun,"['coming, arrival; advent.']",,,
գայռ,noun,"['archaic foul-smelling mud, scum, mire, filth.', '(archaic) foul-smelling mud, scum, mire, filth.']",,,
գանգ,noun,"['considers this an inheritance from , the zero-grade of , whence , , , and possibly.', 'skull, cranium.']",,,
գանգատ,noun,['complaint.'],,,
գանգրել,verb,"['to frizzle, curl hair.', 'to frizzle, curl (hair).']",,,
գանձ,noun,"['treasure, riches.']",,,
գանձապահ,noun,"['cashier, teller.', 'treasurer.']",,,
գանձավոր,noun,"['rare treasurer.', '(rare) treasurer.']",,,
գառ,noun,"['<ref></ref><ref></ref><ref></ref><ref></ref>.', 'lamb.']",,,
գառնանգղ,noun,"['lammergeier, bearded vulture.', 'lammergeier, bearded vulture, Gypaetus barbatus.']",,,
գավակ,noun,"['rump, croup of a horse.', 'rump, croup (of a horse).']",,,
գարշապար,noun,"['archaic heel.', '(archaic) heel.']",,,
գարշել,verb,"['to abhor, to detest.', 'to shrink from, to disdain.', 'to have an aversion, repugnance.', 'to loathe.']",,,
գգվանք,noun,"['caress, cuddle, embrace.']",,,
գեղարդ,noun,"['lance, large spear.']",,,
գեղմ,noun,"['archaic fleece, wool.', '(archaic) fleece, wool.']",,,
գերխնդիր,noun,"['top priority, prime concern (something of great importance).']",,,
գերծել,verb,"['archaic, transitive to shave.', '(archaic, transitive) to shave.']",,,
գերշուկա,noun,"['rare supermarket.', '(rare) supermarket.', '(rare) hypermarket.']",,,
գժտվել,verb,"['inflection of գժտել.', 'mediopassive of գժտել (gžtel).', 'to quarrel, fall out with.']",,,
գիծ,noun,"['dialectal forms recorded in dialectological notation<ref></ref>.', 'line.']",,,
գիմ,noun,"['the name of the Armenian letter գ.', 'the name of the Armenian letter գ (g).']",,,
գինեմոլ,noun,"['drunkard, toper, tippler.']",,,
գիշատել,verb,"['to tear to pieces, to devour.']",,,
գիտակցել,verb,"['to realize, to become aware of (to fully comprehend).', 'to feel, to be aware, to be conscious of.']",,,
գիտելիք,noun,['knowledge.'],,,
գիտենալ,verb,['to know.'],,,
գիրկ,noun,"['arms, lap, bosom.']",,,
գլանիկ,noun,['cigarette.'],,,
գլխատել,verb,"['transitive to behead, decapitate.', '(transitive) to behead, decapitate.']",,,
գլխարկ,noun,['hat.'],,,
գլխացավ,noun,['headache.'],,,
գյոռ,noun,"['Muslim grave.', '(derogatory, offensive) any grave.']",,,
գնահատել,verb,"['to value, evaluate appreciate, estimate.', 'to give a mark.']",,,
գնդացիր,noun,['machine gun.'],,,
գոգ,noun,"['lap.', 'hollow, depression in the earth.', 'lap, hem (of clothes).']",,,
գոգնոց,noun,['apron.'],,,
գողանալ,verb,"['transitive to steal.', '(transitive) to steal.']",,,
գողտրիկ,noun,"['lovely, delicate, pleasant.']",,,
գոմեշ,noun,['buffalo.'],,,
գոյանալ,verb,"['intransitive to come into existence, to come into being, to appear.', '(intransitive) to come into existence, to come into being, to appear.', '(intransitive) to be formed, produced, shaped.']",,,
գովեստ,noun,"['praise, laudation.']",,,
գործածել,verb,"['transitive to utilize, employ, make use of, use.', '(transitive) to utilize, employ, make use of, use.', '(transitive) to apply, put into practice.']",,,
գործել,verb,"['to function, work, operate; to act.', 'to knit.']",,,
գործիչ,noun,"['figure, personality.']",,,
գորովել,verb,"['to feel affection for, to adore, to love.', 'to be fond of, to hold dear.', '(rare) to feel sorry for, to pity.']",,,
գութ,noun,"['<ref name=""HAB""></ref>.', 'pity, compassion.']",,,
գուլպա,noun,"['sock.', 'stocking.']",,,
գումար,noun,"['sum.', '(euphemistic) money.']",,,
գումարել,verb,"['to add up, sum up.']",,,
գուշակ,noun,"['soothsayer, diviner.', 'sign, portent, presage.']",,,
գուշակել,verb,"['to foretell, to predict.', 'to understand, to get.', 'to anticipate.', ""to tell fortunes, to tell somebody's fortune."", 'to guess.', '(archaic) to use magic to divine or make predictions.']",,,
գուպար,noun,"['fight, struggle, battle.', '(archaic) fight, struggle, battle.']",,,
գուռ,noun,"['abreuvoir, watering trough for people or animals.', 'abreuvoir, watering trough (for people or animals).', 'basin in a bath, قرنه (kurna).', 'kneading trough.', 'a vessel for raising silkworm made of cow dung.', 'dog bowl.', 'winepress basin.', 'beehive.', 'drainpipe.', 'slack tub.']",,,
գրառել,verb,"['to write, to write down, to record.']",,,
գրավ,noun,"['pledge, security, surety.', 'deposit, prepayment.', '(archaic) wager.']",,,
գրգռել,verb,"['to excite, to stimulate.', 'to irritate, to annoy.', 'to intensify, to aggravate.', 'to arouse (sexually).', 'to incite, to goad.', 'to upset, to unnerve.', 'to anger, to inflame.']",,,
գրել,verb,['to write.'],,,
գրկել,verb,"['to embrace, hug.']",,,
գրոհել,verb,"['to attack, assault, storm.']",,,
դադարել,verb,"['to end, to stop.', 'to pause, to interrupt.', 'to halt, to stop, to reject.', '(rare) to rest.']",,,
դահճապետ,noun,['chief-executioner.'],,,
դանակ,noun,['knife.'],,,
դաշտ,noun,"['field.', '(sports) playing field, sports ground.', '(physics) field.', 'field, sphere.']",,,
դառնալ,verb,"['to become; to turn into.', 'to return, to come back.', 'to turn, to change direction.']",,,
դասալիք,noun,['deserter.'],,,
դասակարգ,noun,"['class social grouping.', 'class (social grouping).']",,,
դավադրել,verb,['to conspire.'],,,
դատ,noun,"['legal trial, judicial proceedings.', '(law) trial, judicial proceedings.', 'justice.']",,,
դատարկել,verb,['to empty.'],,,
դատել,verb,"['to judge, to try, to adjudicate.', 'to judge (to form an opinion on), to draw a conclusion, to appraise.', 'to convict, to condemn.', 'to preside over a court case, to act as a judge.', '(sports) to referee.', 'to blame, to condemn.', '(Western Armenian) to think, to consider, to have the opinion that.', '(dialectal) to work, to labor.', '(dialectal) to earn.']",,,
դար,noun,"['century, 100 years.', 'age, epoch.', 'hill, hillock, knoll.']",,,
դարձգիր,noun,"['neologism palindrome.', '(neologism) palindrome.']",,,
դարվազա,noun,['gate.'],,,
դեզ,noun,"['haystack, stack.', 'heap, pile.']",,,
դեղնուց,noun,"['yolk, egg yolk.']",,,
դեղորայք,noun,"['collectively medicines, medication, drugs.', '(collectively) medicines, medication, drugs.']",,,
դեպք,noun,"['incident, event, occurrence.', 'condition, circumstance.', '(archaic) occasion.']",,,
դետ,noun,"['patrol, watch.', 'scout, sentinel.', '(dated) lookout-place, peak, height.', 'spy.']",,,
դզել,verb,"['colloquial to straighten, to correct.', '(colloquial) to straighten, to correct.', '(colloquial) to flatten, to smooth.', '(colloquial) to fix, to put into order.', ""(colloquial, slang) to be pleasing to, to be to one's liking.""]",,,
դիել,verb,"['intransitive to suck, to drink mother’s milk.', '(intransitive) to suck, to drink mother’s milk.', '(transitive) to suckle, to nourish with milk, to give suck.', '(figuratively) to nourish, to sustain.']",,,
դիմանալ,verb,"['to endure, to withstand, to persist, to bear.']",,,
դիպչել,verb,"['somewhat, formal to touch.', '(somewhat formal) to touch.']",,,
դիպված,noun,"['chance, coincidence, accident, luck.', 'event, circumstance, incident, occurrence.']",,,
դիտակ,noun,"['the generic name of various optical instruments used for viewing distant objects.', '(dated) watcher, observer, guard.']",,,
դիտանոց,noun,"['watchtower, observation post.']",,,
դմբրել,noun,['synonym of թմրել (tʻmrel).'],,,
դնել,verb,"['to put, to lay.', 'to impose, to inflict.', 'to insert, to put in.', 'to put on (hat, glasses, etc.).']",,,
դոխ,noun,"['mill hopper a funnel-shaped container, whence the grist is discharged into the mill.', 'mill hopper (a funnel-shaped container, whence the grist is discharged into the mill).', 'dove, pigeon.', 'chick of a dove, pigeon.', 'chick of a hen.', 'kitten.', '(term of endearment) a young child, chick.']",,,
դույլ,noun,"['bucket, pail.']",,,
դուրգ,noun,"[""potter's wheel.""]",,,
դրժել,verb,"[""transitive to break one's word, to violate an oath."", ""(transitive) to break one's word, to violate an oath.""]",,,
դրույք,noun,"['rate, wage, salary.']",,,
դրվագ,noun,"['ornament, adornment, decoration.', 'embroidery, trimming, needlework.', 'incrustation, encrustation, inlay.', 'engraving.', 'passage, excerpt, segment, chapter.', '(figuratively) event, episode, incident.', 'paragraph.']",,,
դրվատել,verb,"['literary to praise.', '(literary) to praise.']",,,
եզր,noun,"['bank; shore.', 'border, edge; brink; extremity.', 'skirt, flap, lap, hem.', 'border, boundary, limit.', 'rib.', 'conclusion, finding; deduction.', 'term (word or phrase from a specialized area of knowledge).']",,,
ելմակ,noun,"['Western Armenian, rare email.', '(Western Armenian, rare) email.']",,,
ելուզակ,noun,['robber.'],,,
ելունդ,noun,['small swelling; knob; tumor.'],,,
ելուստ,noun,"['projection, salience; protuberance; ledge.']",,,
եկամուտ,noun,"['income, revenue; profit, return, gainings.']",,,
եղերդակ,noun,"['chicory, <ref></ref>.', 'chicory, Cichorium.']",,,
եղինջ,noun,['nettle.'],,,
եղյամ,noun,"['frost, hoarfrost, rime.', '(figuratively) white hair on the head, hoar.']",,,
եղունգ,noun,"['nail.', 'nail (of finger or toe).']",,,
եղջերու,noun,"['In the Physiologus, translates .', 'male deer, stag, hart.']",,,
եղտյուր,noun,"['an abundantly irrigated, watery place.']",,,
