title,inflected_base,part_of_speech,priority,reason,has_meaningful_etymology,has_weak_only_etymology,inferred_confidences,current_sources,query_terms,target_adapters
անձիք,,noun,110,missing-etymology,False,False,,,անձիք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
անվան,,noun,110,missing-etymology,False,False,,,անվան,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
անվտանգության,,noun,110,missing-etymology,False,False,,,անվտանգության,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
անցել,,verb,110,missing-etymology,False,False,,,անցել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
անցնող,,verb,110,missing-etymology,False,False,,,անցնող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
անցող,,verb,110,missing-etymology,False,False,,,անցող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
աչքեր,,noun,110,missing-etymology,False,False,,,աչքեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ապամոնտաժվել,,verb,110,missing-etymology,False,False,,,ապամոնտաժվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ապացուցող,,verb,110,missing-etymology,False,False,,,ապացուցող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
առա,,verb,110,missing-etymology,False,False,,,առա,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
առատության,,noun,110,missing-etymology,False,False,,,առատության,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
առկախվել,,verb,110,missing-etymology,False,False,,,առկախվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
առևտրի,,noun,110,missing-etymology,False,False,,,առևտրի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ասա,,verb,110,missing-etymology,False,False,,,ասա,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ասած,,verb,110,missing-etymology,False,False,,,ասած,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ասեց,,verb,110,missing-etymology,False,False,,,ասեց,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
աստղեր,,noun,110,missing-etymology,False,False,,,աստղեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ավագանու,,noun,110,missing-etymology,False,False,,,ավագանու,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ավելացված,,verb,110,missing-etymology,False,False,,,ավելացված,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ավելացվել,,verb,110,missing-etymology,False,False,,,ավելացվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ատամի,,noun,110,missing-etymology,False,False,,,ատամի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
արած,,verb,110,missing-etymology,False,False,,,արած,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
արգանդի,,noun,110,missing-etymology,False,False,,,արգանդի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
արեք,,verb,110,missing-etymology,False,False,,,արեք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
արժեմ,,verb,110,missing-etymology,False,False,,,արժեմ,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
արժեքի,,noun,110,missing-etymology,False,False,,,արժեքի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
արկղեր,,noun,110,missing-etymology,False,False,,,արկղեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
արյան,,noun,110,missing-etymology,False,False,,,արյան,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
արջեր,,noun,110,missing-etymology,False,False,,,արջեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
արտագաղթող,,verb,110,missing-etymology,False,False,,,արտագաղթող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
արտամղվել,,verb,110,missing-etymology,False,False,,,արտամղվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
արտեր,,noun,110,missing-etymology,False,False,,,արտեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բահեր,,noun,110,missing-etymology,False,False,,,բահեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բահերի,,noun,110,missing-etymology,False,False,,,բահերի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բահի,,noun,110,missing-etymology,False,False,,,բահի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բանդ,,noun,110,missing-etymology,False,False,,,բանդ,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բաներում,,noun,110,missing-etymology,False,False,,,բաներում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բանի,,noun,110,missing-etymology,False,False,,,բանի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բանկեք,,noun,110,missing-etymology,False,False,,,բանկեք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բանում,,noun,110,missing-etymology,False,False,,,բանում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բանս,,noun,110,missing-etymology,False,False,,,բանս,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բարկացած,,verb,110,missing-etymology,False,False,,,բարկացած,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բացառվել,,verb,110,missing-etymology,False,False,,,բացառվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բացվել,,verb,110,missing-etymology,False,False,,,բացվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բեղեր,,noun,110,missing-etymology,False,False,,,բեղեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բեր,,verb,110,missing-etymology,False,False,,,բեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բերանի,,noun,110,missing-etymology,False,False,,,բերանի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բերման,,noun,110,missing-etymology,False,False,,,բերման,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բիլիարդի,,noun,110,missing-etymology,False,False,,,բիլիարդի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բոզի,,noun,110,missing-etymology,False,False,,,բոզի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բոցեր,,noun,110,missing-etymology,False,False,,,բոցեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բռնաբարող,,verb,110,missing-etymology,False,False,,,բռնաբարող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
բրոնզի,,noun,110,missing-etymology,False,False,,,բրոնզի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գալիս,,verb,110,missing-etymology,False,False,,,գալիս,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գաղութացվել,,verb,110,missing-etymology,False,False,,,գաղութացվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գայլեր,,noun,110,missing-etymology,False,False,,,գայլեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գանգեր,,noun,110,missing-etymology,False,False,,,գանգեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գանգրացվել,,verb,110,missing-etymology,False,False,,,գանգրացվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գանք,,verb,110,missing-etymology,False,False,,,գանք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գետեր,,noun,110,missing-etymology,False,False,,,գետեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գետնից,,noun,110,missing-etymology,False,False,,,գետնից,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գիրքդ,,noun,110,missing-etymology,False,False,,,գիրքդ,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գիրքս,,noun,110,missing-etymology,False,False,,,գիրքս,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գլխուղեղի,,noun,110,missing-etymology,False,False,,,գլխուղեղի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գծեր,,noun,110,missing-etymology,False,False,,,գծեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գյուղացիք,,noun,110,missing-etymology,False,False,,,գյուղացիք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գնա,,verb,110,missing-etymology,False,False,,,գնա,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գնող,,verb,110,missing-etymology,False,False,,,գնող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գոտկատեղի,,noun,110,missing-etymology,False,False,,,գոտկատեղի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գործեր,,noun,110,missing-etymology,False,False,,,գործեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գործերի,,noun,110,missing-etymology,False,False,,,գործերի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գործի,,noun,110,missing-etymology,False,False,,,գործի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գործող,,verb,110,missing-etymology,False,False,,,գործող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գործում,,verb,110,missing-etymology,False,False,,,գործում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գույներ,,noun,110,missing-etymology,False,False,,,գույներ,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գրեցի,,verb,110,missing-etymology,False,False,,,գրեցի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գրպանի,,noun,110,missing-etymology,False,False,,,գրպանի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գրքեր,,noun,110,missing-etymology,False,False,,,գրքեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գրքերի,,noun,110,missing-etymology,False,False,,,գրքերի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գրքերում,,noun,110,missing-etymology,False,False,,,գրքերում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գրքի,,noun,110,missing-etymology,False,False,,,գրքի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գրքից,,noun,110,missing-etymology,False,False,,,գրքից,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գրքով,,noun,110,missing-etymology,False,False,,,գրքով,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
գրքում,,noun,110,missing-etymology,False,False,,,գրքում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դաշտեր,,noun,110,missing-etymology,False,False,,,դաշտեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դաշտերի,,noun,110,missing-etymology,False,False,,,դաշտերի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դաշտերում,,noun,110,missing-etymology,False,False,,,դաշտերում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դաշտի,,noun,110,missing-etymology,False,False,,,դաշտի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դաշտում,,noun,110,missing-etymology,False,False,,,դաշտում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դավադրության,,noun,110,missing-etymology,False,False,,,դավադրության,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դարեր,,noun,110,missing-etymology,False,False,,,դարեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դարթսի,,noun,110,missing-etymology,False,False,,,դարթսի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դարձա,,verb,110,missing-etymology,False,False,,,դարձա,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դեղերու,,noun,110,missing-etymology,False,False,,,դեղերու,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դեպքում,,noun,110,missing-etymology,False,False,,,դեպքում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դեցիմետրեր,,noun,110,missing-etymology,False,False,,,դեցիմետրեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դիտվել,,verb,110,missing-etymology,False,False,,,դիտվել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դնչեր,,noun,110,missing-etymology,False,False,,,դնչեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դռներ,,noun,110,missing-etymology,False,False,,,դռներ,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դրած,,verb,110,missing-etymology,False,False,,,դրած,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դրսի,,noun,110,missing-etymology,False,False,,,դրսի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դրսից,,noun,110,missing-etymology,False,False,,,դրսից,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
դրսում,,noun,110,missing-etymology,False,False,,,դրսում,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եզան,,noun,110,missing-etymology,False,False,,,եզան,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եզն,,noun,110,missing-etymology,False,False,,,եզն,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ելնող,,verb,110,missing-etymology,False,False,,,ելնող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ելքեր,,noun,110,missing-etymology,False,False,,,ելքեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եկած,,verb,110,missing-etymology,False,False,,,եկած,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եկող,,verb,110,missing-etymology,False,False,,,եկող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եղա,,verb,110,missing-etymology,False,False,,,եղա,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եղած,,verb,110,missing-etymology,False,False,,,եղած,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եղանք,,verb,110,missing-etymology,False,False,,,եղանք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եղար,,verb,110,missing-etymology,False,False,,,եղար,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եղաք,,verb,110,missing-etymology,False,False,,,եղաք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եղբոր,,noun,110,missing-etymology,False,False,,,եղբոր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եղել,,verb,110,missing-etymology,False,False,,,եղել,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եղեք,,verb,110,missing-etymology,False,False,,,եղեք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եղիր,,verb,110,missing-etymology,False,False,,,եղիր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եղող,,verb,110,missing-etymology,False,False,,,եղող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
են,,verb,110,missing-etymology,False,False,,,են,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
ենք,,verb,110,missing-etymology,False,False,,,ենք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
երազող,,verb,110,missing-etymology,False,False,,,երազող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
երգի,,noun,110,missing-etymology,False,False,,,երգի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
երեխեք,,noun,110,missing-etymology,False,False,,,երեխեք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
երթևեկության,,noun,110,missing-etymology,False,False,,,երթևեկության,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
երկաթի,,noun,110,missing-etymology,False,False,,,երկաթի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
երկնքի,,noun,110,missing-etymology,False,False,,,երկնքի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
երկրաշարժեր,,noun,110,missing-etymology,False,False,,,երկրաշարժեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
երկրների,,noun,110,missing-etymology,False,False,,,երկրների,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
եք,,verb,110,missing-etymology,False,False,,,եք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
զանգեր,,noun,110,missing-etymology,False,False,,,զանգեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
զառեր,,noun,110,missing-etymology,False,False,,,զառեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
զարհուրեցնող,,verb,110,missing-etymology,False,False,,,զարհուրեցնող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
զարմացած,,verb,110,missing-etymology,False,False,,,զարմացած,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
զիբիլի,,noun,110,missing-etymology,False,False,,,զիբիլի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
զննող,,verb,110,missing-etymology,False,False,,,զննող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
զուգարանի,,noun,110,missing-etymology,False,False,,,զուգարանի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
զույգեր,,noun,110,missing-etymology,False,False,,,զույգեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
էի,,verb,110,missing-etymology,False,False,,,էի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
էին,,verb,110,missing-etymology,False,False,,,էին,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
էիր,,verb,110,missing-etymology,False,False,,,էիր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
էիք,,verb,110,missing-etymology,False,False,,,էիք,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
էկող,,verb,110,missing-etymology,False,False,,,էկող,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
էղի,,verb,110,missing-etymology,False,False,,,էղի,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
էղիր,,verb,110,missing-etymology,False,False,,,էղիր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
էշեր,,noun,110,missing-etymology,False,False,,,էշեր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
էության,,noun,110,missing-etymology,False,False,,,էության,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
էր,,verb,110,missing-etymology,False,False,,,էր,nayiri_imaged_dictionary;nisanyan_sozluk;martirosyan_studies_2011_pdf;open_manual_curation
