title,part_of_speech,definition,current_etymology,priority
աուդիտոր,noun,['auditor.'],,2
աութսորսինգ,noun,['outsourcing.'],,3
աչք,noun,['eye.'],,1
ապամոնտաժել,verb,"['transitive to disassemble, dismantle.', '(transitive) to disassemble, dismantle.']",,3
ապաշրջափակում,noun,"['lifting of a blockade, unblocking.']",,3
ապատեղեկատվություն,noun,['disinformation.'],,3
ապարանք,noun,['palace.'],,2
ապացուցել,verb,['to prove.'],,3
ապացուցողական,adj,"['evidential, evidentiary, probative.', 'evidence-based.']",,3
ապենդիցիտ,noun,"['pathology appendicitis.', '(pathology) appendicitis.']",,3
ապիկի,noun,"['glass vessel.', 'cupping glass.', 'varnish.', 'glass, made of glass.', 'Alternative of ապակի.', 'r",,1
ապուր,noun,['soup.'],,1
ապտակ,noun,['slap in the face.'],,1
ապտակել,verb,"['transitive to slap.', '(transitive) to slap.']",,2
ապրանք,noun,"['goods, product.']",,2
աջաբսանդալ,noun,"['ajapsandali.', '(figuratively) hodgepodge, medley, jumble.']",,3
աջակցել,verb,"['to aid, to assist, to succour.']",,2
առայժմ,adv,"['for now, for the present, for the time being.', 'good bye!']",,2
առանձնյակ,noun,"['biology individual, person.', '(biology) individual, person.']",,3
առապար,adj,"['craggy place.', 'stony, rugged, craggy.']",,2
առաջադիմել,verb,"['to progress, to advance, to move forward.', 'to improve, to progress (to begin to learn well).']",,3
առաջարկ,noun,"['offer, suggestion, proposal.', '(economics) supply.']",,2
առավոտ,noun,"['morning.', '(figuratively) youth.']",,2
առավոտականչ,noun,"['cockcrow, dawn.']",,3
առերեսել,verb,"['to confront, to come face to face.']",,2
առերևույթ,adj,"['seeming.', 'alleged.', 'seemingly, outwardly, in appearance.', 'allegedly.']",,3
առիք,noun,"['dialectal forms recorded in dialectological notation.', '(dialectal) ceiling.']",,1
առհասարակ,adv,"['in general, generally, commonly.']",,3
առյուծ,noun,['lion.'],,2
առնետ,noun,['rat.'],,1
առնչել,verb,"['transitive to relate to.', '(transitive) to relate to.']",,2
առտու,adv,"['Western Armenian in the morning.', '(Western Armenian) in the morning.', '(Western Armenian) morni",,1
առևտրի կենտրոն,,['shopping centre.'],,3
ասեղ,noun,['needle.'],,1
ասոցիացիա,noun,"['association group of persons associated for a common purpose.', 'association (group of persons ass",,3
ասպարեզ,noun,"['sphere; area, domain, field, realm.', 'racecourse, hippodrome.', 'arena.', '(dated) stadion (a uni",,2
ասպեկտ,noun,['aspect.'],,2
ասպիրանտ,noun,"['postgraduate, graduate student a person continuing to study after completing a degree.', 'postgrad",,2
ասպնջական,adj,"['dated hospitable.', '(dated) hospitable.', '(dated) host.']",,3
աստղ,noun,"['star.', 'celebrity, star.']",,1
աստղագնաց,noun,['astronaut.'],,3
աստված,noun,"['god.', '(often capitalized, singular only) God of Christianity.']",,2
ասֆալտ,noun,"['asphalt sticky, black and highly viscous liquid or semi-solid.', 'asphalt (sticky, black and highl",,2
ավագանի,noun,"['collective, historical nobility, grandees.', '(collective, historical) nobility, grandees.', '(col",,2
ավազ,noun,['sand.'],,1
ավազակ,noun,"['robber, brigand, thug, bandit.']",,2
ավաղ,intj,"['alas!', 'alas! (used to express sorrow, regret, or grief).']",,1
ավան,noun,['small town.'],,1
ավանակ,noun,"['donkey, ass.', '(figuratively) ass, jackass; idiot, dumb-ass, fool, blockhead, clot, dimwit.']",,2
ավել,noun,"['broom, besom.']",,1
ավելյաց,noun,"['historical, often, capitalized the five epagomenal days of the ancient Armenian calendar (inserted",,2
ավերանք,noun,"['ruin, devastation.']",,2
ավերել,verb,"['transitive to ruin, destroy, devastate.', '(transitive) to ruin, destroy, devastate.']",,2
ավիահաղորդակցություն,noun,"['air connectivity, air communication.']",,3
ավլել,verb,"['transitive to sweep.', '(transitive) to sweep (with a broom).']",,1
ավտոբուս,noun,['bus.'],,2
ավտոմեքենա,noun,['automobile.'],,3
ավտոտնակ,noun,['garage.'],,2
ատամ,noun,"['tooth.', '(technology) cog.', 'prong.', 'merlon.']",,1
ատել,verb,['to hate.'],,1
ատկատ,noun,"['informal kickback clandestine payment in return for a favor.', '(informal) kickback (clandestine p",,1
ատյան,noun,"['place of assembly hall, square.', 'place of assembly (hall, square).', 'meeting of an assembly.', ",,1
ատրագույն,adj,"['dated of fiery colour.', '(dated) of fiery colour.']",,3
արածել,verb,"['intransitive to graze, to pasture, to browse.', '(intransitive) to graze, to pasture, to browse.',",,2
արատավոր,adj,"['vicious, faulty, defective, flawed.']",,2
արարել,verb,"['poetic to do.', '(poetic) to do.', '(poetic) to create.']",,2
արաց,noun,"['historical, sometimes, capitalized the sixth month of the.', '(historical, sometimes capitalized) ",,1
արգումենտ,noun,"['argument fact or statement used to support a proposition; a reason.', 'argument (fact or statement",,3
արդուկել,verb,"['to press, to iron, to pass an iron over.']",,2
արժեքավորել,verb,"['to make valuable.', 'to appreciate, to value.']",,3
արժույթ,noun,['currency.'],,2
արխալուղ,noun,['arkhalig.'],,2
արծաթասիրություն,noun,"['love of money, avarice.']",,3
արծիվ,noun,['eagle.'],,1
արծվի,noun,"['alternative form of արծիվ.', 'archaic form of արծիվ (arciv).']",,1
արհամարհել,verb,"['to despise, to hold in contempt.', 'to disdain.']",,3
արձագանք,noun,"['echo.', '(figuratively) repercussion.', 'response.']",,2
արձագանքել,verb,"['to echo.', 'to respond, to answer.']",,3
արմո,noun,"['Internet slang, derogatory a diasporoid Armenian usually from a Western country.', '(Internet slan",,1
արմունկ,noun,['elbow.'],,2
արյուն,noun,"['blood.', '(figuratively) slaughter.']",,2
արյունահոսել,verb,['to bleed.'],,3
արյունատար անոթ,,['anatomy blood vessel.'],,3
արշալույս,noun,['dawn.'],,3
արշավանք,noun,"['invasion, incursion, raid.', '(military) campaign.']",,2
արշավել,verb,"['to run with an intention to attack; to raid, invade.']",,2
արշիպելագ,noun,['archipelago.'],,3
արոս,noun,['field that is left uncultivated for 5-6 years for strengthening.'],,1
արոր,noun,['plough.'],,1
արջի ծառայություն մատուցել,,['idiomatic to render someone a disservice while ostensibly attempting to help them.'],,3
արտագաղթ,noun,['emigration.'],,2
արտալա,noun,"[', glosses with.', 'beef shank.', 'a khash made from beef shank.', '(by extension) any lean and low",,2
արտահերթ,adj,"['out-of-turn, extra, extraordinary, special.']",,2
արտասանել,verb,"['transitive to pronounce to sound out a word or phrase; to articulate.', '(transitive) to pronounce",,3
արտացոլում,noun,"['reflection act of reflecting; the state of being reflected.', 'reflection (act of reflecting; the ",,3
արտոսր,noun,"['archaic, poetic tear.', '(archaic, poetic) tear.']",,2
արտևան,noun,"['dated eyelash.', '(dated) eyelash.', '(dated, figuratively, poetic) top, summit.']",,2
արցունքաբեր գազ,,['tear gas.'],,3
արքա,noun,"['king, monarch.', '(chess) king.']",,1
արքայազն,noun,"['prince, son of a king.']",,2
արքունի,adj,"['archaic royal; regal.', '(archaic) royal; regal.', '(archaic) of or pertaining to the royal court.",,2
արև,noun,"['the sun.', 'sunlight.', '(figuratively) life.']",,1
արևապաշտպան,adj,"['sunscreening.', 'sunscreen.']",,3
արևելք,noun,['east.'],,2
արևմուտք,noun,['west.'],,2
ափսե,noun,"['Eastern Armenian plate.', '(Eastern Armenian) plate.', '(Western Armenian) tray.']",,1
ափսոսանք,noun,['regret.'],,2
աքաղաղ,noun,['rooster.'],,2
աքիս,noun,"['weasel, least weasel <ref></ref>.', 'weasel, least weasel (Mustela nivalis).']",,1
աքլորականչ,noun,"['crow (of a cock).', 'cockcrow, dawn.']",,3
աքսեսուար,noun,"['accessory that which belongs to something else deemed the principal.', 'accessory (that which belo",,3
բագին,noun,"['altar pagan.', 'altar (pagan).', 'pagan shrine, pagan temple.']",,1
բադակտուց,noun,['platypus.'],,3
բազի,adj,"['certain, some, a kind of.', 'sometimes, from time to time, occasionally.']",,1
բազմաթիվ,adj,"['numerous, many.', '(modifying a noun in the plural) numerous, many.', '(modifying a collective nou",,2
բազմաստվածություն,noun,['polytheism.'],,3
բազմություն,noun,"['public, crowd, multitude, throng.', 'great number, large quantity, multitude, host, swarm.', '(mat",,3
բազրիք,noun,"['railing, handrail.']",,2
բաժանմունք,noun,"['department, division, branch.']",,3
բաժանում,noun,"['parting, dividing, division.', 'division, part.', 'point (on a scale).', '(arithmetic) division.',",,2
բալանս,noun,"['accounting balance list of credits and debits.', '(accounting) balance (list of credits and debits",,2
բալատուր,noun,"['cashew nut.', 'marking-nut tree, Semecarpus anacardium.']",,2
բալկոն,noun,['balcony.'],,2
բախտավոր,adj,['lucky.'],,2
բակլա,noun,"['broad bean, <ref></ref>.', 'broad bean, Vicia faba.']",,1
բաղկանալ,verb,['to consist of; to be comprised of.'],,2
բաղնիք,noun,"['bathhouse building containing baths for communal use.', 'bathhouse (building containing baths for ",,2
բաճկոն,noun,"['|lbor=1}} / [Non-English or unclear definition removed.].', 'jacket (a short coat).', '(dated) ves",,2
բամբիշ,noun,"['dated, rare queen.', '(dated, rare) queen.']",,2
բանալի,noun,['key.'],,2
բանան,noun,"['banana fruit.', 'banana (fruit).']",,1
բանասեր,adj,"['philologist.', '(archaic) loving of literature, learning, etc.']",,2
բանել,verb,"['intransitive to work, operate, function.', '(intransitive) to work, operate, function.']",,1
բանկա,noun,"['glass jar.', 'cupping jar.']",,1
բաննա,noun,['bricklayer.'],,1
բանջարեղեն,noun,['vegetable.'],,3
բաջանաղ,noun,"['dialectal brother-in-law wife’s sister’s husband.', '(dialectal) brother-in-law (wife’s sister’s h",,2
բառ,noun,['word.'],,1
բառակապակցություն,noun,"['linguistics collocation, word combination, phrase.', '(linguistics) collocation, word combination,",,3
բառապաշար,noun,"['vocabulary totality of words of a language.', 'vocabulary (totality of words of a language).', 'vo",,3
բառիգ,noun,['drug dealer.'],,1
բասկետբոլիստ,noun,"['basketball player, basketballer.']",,3
բավարարել,verb,"['to satisfy, to meet needs, to fulfill.', 'to suffice, to last enough.']",,3
բավիղ,noun,['labyrinth.'],,1
բարբառ,noun,"['linguistics dialect.', '(linguistics) dialect.', '(dated) language; speech; word.']",,2
բարելավել,verb,['to improve.'],,3
բարեկամական,adj,"['friendly.', 'kindred (of the same kin; related by family).']",,3
բարեկիրթ,adj,"['cultured, educated, polite.']",,2
բարեմասնություն,noun,"['quality, advantage, merit of a person.', 'quality, advantage, merit (of a person).', '(humorous) a",,3
բարի,adj,"['kind, kind-hearted, good-natured, good.', 'good.', 'all right!, very well!, agreed!, OK.']",,1
բարիդրացիական,adj,"['neighbourly, good-neighbourly, friendly (especially about relations between countries).']",,3
բարկ,adj,"['scorching, burning hot.', '(of alcohol) strong.', 'bitter.']",,1
բարձվենյակ,noun,['Artemisia gen.'],,3
բարձրագույն ուսումնական հաստատություն,,['institute of higher education; college or university.'],,3
բարոն,noun,['baron.'],,1
բարորակ,adj,"['medicine benign.', '(medicine) benign.']",,2
բարտի,adj,"[', considers the origin unknown and derives the descendants of from Armenian.', '(Western Armenian)",,1
բարևել,verb,['to greet.'],,2
բացատրություն,noun,['explanation.'],,3
բացել,verb,['to open.'],,1
բեգեմոտ,noun,"['hippopotamus.', '(figuratively, derogatory) fat person.']",,2
բեզմեն,noun,['stilyard.'],,2
բեխաբար,adj,"['colloquial uninformed, unaware (of), ignorant.', '(colloquial) uninformed, unaware (of), ignorant.",,2
բեկանել,verb,"['legal to annul, to reverse a decision.', '(law) to annul, to reverse (a decision).', 'alternative ",,2
բեհեզ,noun,"['byssus, fine linen.']",,1
բեյթ,noun,"['couplet, a verse of poetry consisting of two lines.']",,1
բենգալի,noun,['Bengali.'],,2
բենզալցակայան,noun,"['gas station, petrol station.']",,3
բենզասղոց,noun,['chainsaw.'],,3
բեռ,noun,"['burden; load; freight; cargo, lading.', '(figuratively) burden.']",,1
բեսթսելեր,noun,['bestseller.'],,3
բերան,noun,"['mouth.', '(figuratively) opening, entrance, aperture, outlet.', '(figuratively) mouth (of a river)",,1
բերել,verb,"['to bring, to fetch.']",,1
բերման ենթարկել,,"['law, transitive to detain and forcibly bring to the police or court.']",,3
բժշկական դիմակ,,"['surgical mask, facemask.']",,3
բիբ,noun,"['pupil of the eye.', 'pupil (of the eye).']",,1
բիբար,noun,"['pepper plant of the family.', 'pepper (plant of the family Piperaceae).', 'pepper (plant of the ge",,1
բիզ,adj,"['awl.', 'pointed, sharp.']",,1
բիզնես,noun,['business.'],,2
բիզնեսմեն,noun,['businessman.'],,3
բիթուն,det,"['all, whole, entire, everything.']",,2
բիլակ,noun,"['dialectal wrist.', '(dialectal) wrist.', '(dialectal, figuratively) strength, power.']",,1
բիհարի,noun,['Bihari.'],,2
բիոլոգիա,noun,"['dated.', '(dated) synonym of կենսաբանություն (kensabanutʻyun).']",,2
բիսմութ,noun,['bismuth.'],,2
բլյատ,intj,"['vulgar, slang, Eastern Armenian fuck, fucking hell, bloody hell .', '(vulgar, slang, Eastern Armen",,1
բլոգ,noun,['blog.'],,1
բլոգեր,noun,['blogger.'],,2
բլուր,noun,['hill.'],,1
բղուղ,noun,"['an earthenware jar for holding pickles, oil, milk, matzoon, etc.']",,1
բմբուլ,noun,['down feather.'],,2
բյուջե,noun,['budget.'],,2
բյուրեղ,noun,"['crystal.', '(mineralogy) beryl.', 'cut glass, crystal (glassware).']",,2
բնադրել,verb,"['of birds to nest.', '(of birds) to nest.']",,2
բնակել,verb,"['intransitive to live, reside, dwell.', '(intransitive) to live, reside, dwell.', '(transitive) to ",,2
բնորոշել,verb,"['to describe, to characterize, to call.', 'to determine, to establish, to ascertain.']",,2
բնութագրել,verb,"['to depict, to represent, to characterize.']",,3
բոզբաշ,noun,['bozbash.'],,2
բոկոտն,adj,"['rare, literary barefoot, barefooted.', '(rare, literary) barefoot, barefooted.']",,2
բողկ,noun,['radish.'],,1
բողոքել,verb,"['to complain.', 'to protest.']",,2
բողջոց,noun,"['Tigranakert swelling, tumour, wound.', '(Diyarbakır) swelling, tumour, wound.']",Etymology needs research - no usable data found,2
բոմժ,noun,"['tramp, bum, hobo, slacker, homeless person.', '(figuratively) poorly dressed person.']",,1
բովանդակ,adj,"['literary whole, all, entire.', '(literary) whole, all, entire.']",,2
բովել,verb,"['transitive to roast.', '(transitive) to roast.']",,1
բորդել,noun,['brothel.'],,2
բորշ,noun,['borscht.'],,1
բորոտ,adj,"['leprous.', 'scabby, itchy.']",,1
բորոտել,verb,"['to have leprosy.', '(dialectal) to have scabies.']",,2
բորտուղեկցորդ,noun,['flight attendant.'],,3
բոց,adj,"['flames, blaze, fire.', '(figuratively) passion, ardor, fervor.', '(slang) amusing thing, joke.', '",,1
բուժկետ,noun,"['first aid post, aid station; infirmary.']",,2
բուժքույր,noun,"['nurse person trained to provide care for the sick.', 'nurse (person trained to provide care for th",,3
բուծանել,verb,"['dated alternative form of բուծել.', '(dated) alternative form of բուծել (bucel).']",,2
բունկալ,noun,"['nest egg, an egg placed in a henhouse that induces the hens to lay eggs.']",,2
բուսնել,verb,"['to grow, to germinate.', '(figuratively) to appear suddenly.']",,2
բուրգ,noun,['pyramid.'],,1
բուրել,verb,"['to smell good, have a pleasant aroma.']",,2
բուրվառ,noun,['censer.'],,2
բռնակալություն,noun,"['tyranny, despotism.']",,3
բռնել,verb,"['to hold.', 'to catch.', 'to arrest.', 'to occupy.', 'to cover, to embrace.']",,1
բռունցք,noun,"['fist.', '(figuratively) violence.']",,2
բրոկկոլի,noun,['broccoli.'],,2
բրոմ,noun,['bromine.'],,1
բրոշ,noun,['brooch.'],,1
բևեռ,noun,"['geography pole.', '(geography) pole.', '(physics, electricity) pole.', '(archaic) nail.']",,1
գագաթ,noun,"['top, apex, summit, crest, peak.', 'culmination point, height, summit, climax, peak.', '(geometry) ",,1
գագաթնաժողով,noun,"['summit gathering of leaders.', 'summit (gathering of leaders).']",,3
գազարագույն,adj,"['colloquial orange color.', '(colloquial) orange (color).']",,3
գազոն,noun,['lawn.'],,1
գազոնահնձիչ,noun,['lawn mower.'],,3
գաթա,noun,"['dialectal forms recorded in dialectological notation.', 'gata.']",,1
գալուբոյ,adj,"['light blue, sky blue, azure.', 'male gay.']",,2
գաղափարախոս,noun,['ideologue.'],,3
գաղութարար,adj,"['colonizing, turning other countries into colonies.', 'colonizer.']",,3
գայկա,noun,"['nut fastener.', 'nut (fastener).']",,1
գայռ,noun,"['archaic foul-smelling mud, scum, mire, filth.', '(archaic) foul-smelling mud, scum, mire, filth.']",,1
գանգ,noun,"['considers this an inheritance from , the zero-grade of , whence , , , and possibly.', 'skull, cran",,1
գանգատ,noun,['complaint.'],,2
գանգրել,verb,"['to frizzle, curl hair.', 'to frizzle, curl (hair).']",,2
գանձ,noun,"['treasure, riches.']",,1
գանձապահ,noun,"['cashier, teller.', 'treasurer.']",,2
գանձավոր,noun,"['rare treasurer.', '(rare) treasurer.']",,2
գառ,noun,"['<ref></ref><ref></ref><ref></ref><ref></ref>.', 'lamb.']",,1
գառնանգղ,noun,"['lammergeier, bearded vulture.', 'lammergeier, bearded vulture, Gypaetus barbatus.']",,2
գավակ,noun,"['rump, croup of a horse.', 'rump, croup (of a horse).']",,1
գարշապար,noun,"['archaic heel.', '(archaic) heel.']",,2
գել,adj,"['dialectal alternative form of գայլ.', '(dialectal) alternative form of գայլ (gayl).', 'tight, stif",,1
գեղեցիկ,adj,"['beautiful; handsome.', 'beautifully.']",,2
գեղեցկահարմար,adj,"['literary beautifully shaped.', '(literary) beautifully shaped.']",,3
գեղմ,noun,"['archaic fleece, wool.', '(archaic) fleece, wool.']",,1
գեյզեր,noun,['geyser.'],,2
գեոլոգիա,noun,"['dated.', '(dated) synonym of երկրաբանություն (erkrabanutʻyun).']",,2
գեջ,adj,"['moist, humid.', 'dirty.', '(of plants) green, fresh.']",,1
գետաձի,noun,['hippopotamus.'],,2
գետին,noun,"['ground, earth, soil.']",,1
գետնանուշ,noun,['peanut.'],,3
