Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6	POS_7	Definition_7	POS_8	Definition_8	POS_9	Definition_9	POS_10	Definition_10	POS_11	Definition_11	POS_12	Definition_12	POS_13	Definition_13	POS_14	Definition_14	POS_15	Definition_15	POS_16	Definition_16
ԱԶԴԵՄ			"<a href=""./?s=ԱԶԴ"">Ազդ առնեմ</a>"		Ներգործեմ		Դրդեմ; Թելադրեմ; Սադրեմ		Շարժեմ																								
ԱԶԴԵԼԻ			Զգալի		Զգայուն																												
ԱԶԴԵՑԱԿԱՆ			cf. ԱԶԴԱԿԱՆ																														
ԱԶԴԵՑԻԿ			cf. ԱԶԴԱԿԱՆ																														
ԱԶԴԵՑՈՒԹԻՒՆ			Ազդարարութիւն		Ազդումն; Ներգործութիւն		Դրդումն; Սադրանք																										
ԱԶԴԵՑՈՒՄՆ			Ազդարարութիւն		Ազդումն; Ներգործութիւն		Դրդումն; Սադրանք																										
ԱԶԴԵՑՈՒՑԱՆԵՄ			cf. ԱԶԴ ԱՌՆԵՄ		Ներգործեմ																												
ԱԶԴՈՂԱԿԱՆ			cf. ԱԶԴԱԿԱՆ																														
ԱԶԴՈՂՈՒԹԻՒՆ			cf. ԱԶԴԵՑՈՒԹԻՒՆ																														
ԱԶԴՈՅ			cf. ԱԶԴԱԿԱՆ		Ուժգին; Սաստիկ																												
ԱԶԴՈՒԹԻՒՆ			Տեղեկութիւն; Ծանօթութիւն																														
ԱԶԴՈՒՄՆ			Ազդեցութիւն; Ներգործութիւն		Դրդումն; Թելադրութիւն		Զգացումն		Ազդարարութիւն; Յայտարարութիւն		Ձայն; Խօսք																						
ԱԶԴՐ			Զիստ; Բարձ																														
ԱԶՆ			Ազգ; Ժողովուրդ		Ցեղ; Սերունդ																												
ԱԶՆԻՒ			Ազնուատոհմ; Տոհմիկ		Ընտիր; Լաւ; Պատուական		Սրբազան; Նուիրական																										
ԱԶՆՈՒԱԳՈՐԾ			Ազնուաբար																														
ԱԶՆՈՒԱԳՈՒԹ			Բարեգութ																														
ԱԶՆՈՒԱԶԳՈՒԹԻՒՆ			Ազնուականութիւն; Ազնուութիւն																														
ԱԶՆՈՒԱԿԱՆ			Քաջատոհմիկ		Ընտիր; Լաւ; Պատուական; Ազնիւ; Գեղեցիկ		Սրբազան; Սուրբ																										
ԱԶՆՈՒԱԿԱՆՈՒԹԻՒՆ			Ազնուազգութիւն; Ազնուութիւն		Առատաձեռնութիւն; Մարդասիրութիւն; Բարութիւն		Լաւութիւն																										
ԱԶՆՈՒԱԿԵՐՊ			Բարետեսակ; Գեղեցիկ																														
ԱԶՆՈՒԱՊԱՇՏՕՆ			Բարեպաչտ																														
ԱԶՆՈՒԱՏՈՀՄ			cf. ԱԶՆԻՒ																														
ԱԶՆՈՒԱՐԱՐ			cf. ԱԶՆՈՒԱԳՈՐԾ																														
ԱԶՆՈՒՈՒԹԻՒՆ			cf. ԱԶՆՈՒԱԿԱՆՈՒԹԻՒՆ																														
ԱԶՈՒԵԱՏ			cf. ԿԻՐ																														
ԱԹՂԵՍՏԱՅՔ			cf. ԱԳՈՆԻՍՏԱՅՔ																														
ԱԹՈՌ			Գահ																														
ԱԹՈՌԱԿԱԼ			Աթոռակից																														
ԱԹՈՌԱԿԱԼՈՒԹԻՒՆ			Գահակալութիւն; Գահակայութիւն																														
ԱԹՈՌԱԿԻՑ			Գահակից		cf. ԱԹՈՌԱԿԱԼ		Էակից; Փառակից; Հաւասարապատիւ																										
ԱԹՈՌԱԿՑՈՒԹԻՒՆ			Գահակցութիւն																														
ԱԹՈՌԱՆԱՄ			cf. ԳԱՀԱԿԱԼԵՄ																														
ԱԹՈՌԱՆԻ			Աթոռք																														
ԱԼԵՒՈՅԹ			cf. ԾԵՐՈՅԹ																														
ԱԼԵՒՈՐ			Ծեր; Ծերունի; Զառամ; Յետնածեր; Հինաւուրց																														
ԱԼԵՒՈՐԻՄ			Ծերանամ; Զառամանամ		Սպիտակիմ																												
ԱԼԷԼՈՒ			cf. ԱԼԷԼՈՒԻԱ																														
ԱԼԷԼՈՒԵՄ			Օրհնաբանեմ																														
ԱԼԷԼՈՒԻԱ			Ալէլու; Օրհներգութիւն																														
ԱԼԷԿՈԾԵՄ			"<a href=""./?s=Ալէկոծ"">Ալէկոծ առնեմ</a>; Ծփեմ; Յուզեմ; Խռովեմ"																														
ԱԼԷԿՈԾԻՄ			"<a href=""./?s=Ալէկոծ"">Ալէկոծ լինիմ</a>; Ծփիմ; Խռովիմ"																														
ԱԼԷԿՈԾՈՒԹԻՒՆ			Ծփանք		Խռովութիւն																												
ԱԼԻ			cf. ԱԼԻՔ																														
ԱԼԻՔ			Կոհակ																														
ԱԼՈՋ			cf. ՈՒԼ																														
ԱԼՈՒՑ			Խորք																														
ԱԼՔ			Խորք; Ստորմիք																														
ԱԽ			Աւա՜ղ																														
ԱԽԱՏՐՈՅԶ			Բարբարոս; Վայրենի; Բիրտ		Յելուզակ																												
ԱԽԱՒԵՂԱԳԷՍ			ԹԱԿԱՂԱՂ																														
ԱԽԵՐԱԿ			Յիմար; Ապուշ; Անմիտ																														
ՅԱԽԵՐԱԿԱՆ			Յիմարաբար; Անմտարար																														
ՅԱԽԵՐԿԱՆ			Յիմարաբար; Անմտարար																														
ԱԽՄԱՐ			Տխմար; Յիմար; Անմիտ		Տգէտ; անգէտ																												
ԱԽՄԱՐՈՒԹԻՒՆ			Տխմարութիւն; տգիտութիւն; անմտութիւն																														
ԱԽՈՅԵԱՆ			Նախամարտիկ		Մրցակից; հակառակորդ; թչնամի																												
ԱԽՈՌ			Գոմ																														
ԱԽՈՌԱՊԵՏ			Սորակալ																														
ԱԽՈՐԺ			Հաճելի; ախորժելի; Հաճոյական																														
ԱԽՈՐԺՔ			Ախորժումն; ախորժանք; Հաճութիւն; յօժարութիւն; կամք																														
ԱԽՈՐԺԱԲԱՐ			Ախորժանօք; յօժարաբար																														
ԱԽՈՐԺԱԼՈՒՐ			Քաղցրալուր																														
ԱԽՈՐԺԱԿ			Ախորժելի; Հաճելի		Յօժարամիտ; մտադիւր		Ցանկութիւն; փափագ; բաղձանք																										
ԱԽՈՐԺԱԿԱՆ			cf. ԱԽՈՐԺ		Յօժարական; ինքնակամ; կամաւոր																												
ԱԽՈՐԺԱԿԻՑ			Կամակից; Համակամ																														
ԱԽՈՐԺԱԿՈՒԹԻՒՆ			Ախորժանք; հաճոյք; բաւականութիւն; յօժարութիւն; ցանկութիւն																														
ԱԽՈՐԺԱՀԱՄ			Համեղ		Հաճելի; ախորժելի																												
ԱԽՈՐԺԱՃԱՇԱԿ			Համեղ		Հաճելի; ախորժելի																												
ԱԽՈՐԺԱՆՔ			cf. ԱԽՈՐԺԱԿՈՒԹԻՒՆ																														
ԱԽՈՐԺԱՆՕՔ			ԱԽՈՐԺԱԲԱՐ																														
ԱԽՈՐԺԵՄ			"Հաճեմ; սիրեմ; Հաւանեմ; կամենամ; <a href=""./?s=սիրտ"">սիրտ առնում</a>"																														
ԱԽՈՐԺԵԼԻ			Հաճելի; բաղձալի; ցանկալի; սիրելի																														
ԱԽՈՐԺՈՒԹԻՒՆ			cf. ԱԽՈՐԺԱԿՈՒԹԻՒՆ																														
ԱԽՈՐԺՈՒՄՆ			cf. ԱԽՈՐԺԱԿՈՒԹԻՒՆ																														
ԱԽՏ			Հիւանդութիւն; ցաւ		Կիրք; մոլութիւն		Պակասութիւն; արատ																										
ԱԽՏԱԲԵԿ			Հիւանդոտ; ցաւագար																														
ԱԽՏԱԲԵՐ			Ցաւաբեր																														
ԱԽՏԱԳՈՐԾ			Հիւանդագործ																														
ԱԽՏԱԺԵՏ			Հիւանդ; Հիւանդոտ; ախտաւոր; ակտակիր; ցաւագար		Վնասակար																												
ԱԽՏԱԺԷՏ			Հիւանդ; Հիւանդոտ; ախտաւոր; ակտակիր; ցաւագար		Վնասակար																												
ԱԽՏԱԺԵՏԻՄ			Հիւանդանամ																														
ԱԽՏԱԺԵՏՈՒԹԻՒՆ			Հիւանդութիւն; ցաւ; ախտ																														
ԱԽՏԱԺԷՏՈՒԹԻՒՆ			Հիւանդութիւն; ցաւ; ախտ																														
ԱԽՏԱԼԻՑ			Ցաւագին; ցաւալից																														
ԱԽՏԱԿԱՆ			Ախտաւոր; ախտաւորական; ախտային																														
ԱԽՏԱԿԻՐ			Ախտաժէտ; ախտաւոր																														
ԱԽՏԱԿԻՑ			Ցաւակից; վշտակից; կարեկից; չարչարակից																														
ԱԽՏԱԿՐԵՄ			Ցաւագնեմ		ախտակցեմ; ցաւակցիմ; կարեկցիմ; վշտակցիմ																												
ԱԽՏԱԿՐՈՒԹԻՒՆ			Ախտաւորութիւն																														
ԱԽՏԱԿՑԱԲԱՐ			Ցաւակցաբար; կարեկցաբար																														
ԱԽՏԱԿՑԵՄ			Ցաւակցիմ; կարեկցիմ; վշտակցիմ																														
ԱԽՏԱԿՑՈՒԹԻՒՆ			Ցաւակցութիւն; կարեկցութիւն; վշտակցութիւն; չարչարակցութիւն																														
ԱԽՏԱՀԱԼԱԾ			Ցաւահալած																														
ԱԽՏԱՄՈԼՈՒԹԻՒՆ			Ցանկասիրութիւն; Հեշտախտութիւն																														
ԱԽՏԱՅԻՆ			cf. ԱԽՏԱԿԱՆ																														
ԱԽՏԱՆԱՄ			Հիւանդանամ; ցաւագնեմ		Վշտանամ; տխրեմ; տրտմեմ		Զայրանամ; չարանամ		Մոլեմ																								
ԱԽՏԱՑԵԱԼ			Հիւանդ		Դիւահար																												
ԱԽՏԱՍԷՐ			Հեշտասէր; ցանկասէր; վաւաշոտ																														
ԱԽՏԱՍԻՐՈՒԹԻՒՆ			Հեշտասիրութիւն; ցանկասիրութիւն; վաւաշոտութիւն																														
ԱԽՏԱՒՈՐ			Ախտական																														
ԱԽՏԱՒՈՐԱԿԱՆ			cf. ԱԽՏԱԿԱՆ																														
ԱԽՏԱՒՈՐԻՄ			cf. ԱԽՏԱՆԱՄ																														
ԱԽՏԱՒՈՐՈՒԹԻՒՆ			Հիւանդութիւն																														
ԱԾ			cf. ԱԾՔ																														
ԱԾԱՆԻՄ			Սփածանիմ																														
ԱԾԵՄ			Բերեմ		Տեղափոխեմ; փոխադրեմ; տանիմ		Շարժեմ; յարուցանեմ		Հասուցանեմ		Վերածեմ		Շրջապատեմ; բոլորեմ; կապեմ		Արկանեմ		Լնում; թափեմ; կաթեցուցանեմ		Հարուածեմ; Հարկանեմ		Առնեմ		Յաւելում		Ունիմ; ձերբակալեմ		Որսամ						
ԱԾԵԼԻ			Զմելին; սրբիչ																														
ԱԾՈՂԵՄ			Տանիմ; առաջնորդեմ																														
ԱԾՈՒ			Մարգ		Ազգ; ժողովուրդ																												
ԱԾՔ			Ծիղ; ընձիւղ		Ոստ																												
ԱԿԱՀ			Տեղեակ; Հասու																														
ԱԿԱՂՁԵԱԼ			cf. ԱԿԱՂՁՈՒՆ																														
ԱԿԱՂՁՈՒՆ			Ակաղձեալ; լի																														
ԱԿԱՄԱՅ			Անկամաւոր		Ակամայաբար; Հարկադրաբար; բռնաբար; բռնի																												
ԱԿԱՄԱՅԱԲԱՐ			cf. ԱԿԱՄԱՅ																														
ԱԿԱՆ			Անցք; փոս																														
ԱԿԱՆԱԿԱՊ			Ականակուռ																														
ԱԿԱՆԱԿԵՐՊ			Ականատեսակ																														
ԱԿԱՆԱԿԻՏ			Վճիտ; յստակ; մաքուր		Փայլուն; պայծառ																												
ԱԿԱՆԱԿՈՒՌ			cf. ԱԿԱՆԱԿԱՊ																														
ԱԿԱՆԱՀԱՏ			Գերեզմանահատ; գերեզմանակրկիտ																														
ԱԿԱՆԱՏ			Թակարդ																														
ԱԿԱՆԱՏԵՍ			Ինքնատես		Ակներեւ																												
ԱԿԱՆԱՏԵՍԱԿ			cf. ԱԿԱՆԱԿԵՐՊ																														
ԱԿԱՆԱՏԵՍՈՒԹԻՒՆ			Հայեացք																														
ԱԿԱՆԱՒՈՐ			Նշանաւոր; երեւելի; անուանի; յայտնի																														
ԱԿԱՆԵՄ			Նկատեմ; տեսանեմ; յականեմ																														
ԱԿԱՆԻ			cf. ԱՉԵԱՅ																														
ԱԿԱՆՈՂ			Ակն; ականողիք; տեսանելիք																														
ԱԿԱՆՈՂԻՔ			cf. ԱԿԱՆՈՂ																														
ԱԿԱՆՋ			Ունկն; լսելիք; լսարան		Լսողութիւն																												
ԱԿԱՆՋՔ			cf. ԱԿԱՆՋ																														
ԱԿԱՆՋԱԼՈՒՐ			Ունկնալուր																														
ԱԿԱՆՋԱՄՈՒՏ			Ունկնամուտ																														
ԱԿԱՆՋԵՄ			"<a href=""./?s=Ունկն"">Ունկն դնել</a>; ունկնդրեմ; լսեմ"																														
ԱԿԱՆՋՆԵՄ			cf. ԱԿԱՆՋԵՄ																														
ԱԿԱՌԱՆՔ			Բերդայինք																														
ԱԿԱՌՆ			Բերդ; ամրոց																														
ԱԿԱՏ			Մակոյկ																														
ԱԿՄԲԻՄ			Խմբեմ; գումարեմ																														
ԱԿՆ	կան, կամբ		Տեսանելիք		Տեսողութիւն		Ակնկալութիւն		Կասկած		Փոս; ծակ; խորչ		Գոհար		Աղբերակն		Աղբիւր																
ԱԿՆԱԳՈՐԾ			Քարկոփիչ																														
ԱԿՆԱԽՏԻՂ			cf. ԱԿՆԱԽՏԻՏ																														
ԱԿՆԱԽՏԻՏ			Ակնահաճոյ		Պայծառ; շքեղ																												
ԱԿՆԱԾՈՒ			Վերակացու; տեսուչ		Խնամատար; խնամածու																												
ԱԿՆԱԾՈՒԹԻՒՆ			Պատկառանք; ամօթխածութիւն		Խնամակալութիւն; խնամատարութիւն; խնամածութիւն																												
ԱԿՆԱԿԱՊԻՃՔ			Կապիճք																														
ԱԿՆԱԿԱՌՈՅՑ			Անքթթելի; անքթիթ																														
ԱԿՆԱՀԱՃՈՅ			Ակնախտիղ; ակնախտիտ																														
ԱԿՆԱՂԲԻՒՐ			cf. ԱՂԲԵՐԱԿՆ																														
ԱԿՆԱՅԱՅՐԱՏ			Հեշտասէր; ցանկասէր																														
ԱԿՆԱՌԵՄ			Ակնածեմ; պատկառեմ																														
ԱԿՆԱՌՈՒ			Աչառու																														
ԱԿՆԱՌՈՒԹԻՒՆ			Աչառութիւն		Ակնածութիւն; պատկառանք																												
ԱԿՆԱՐԿԵՄ			Ակնածեմ; պատկառեմ; ամաչեմ		Դիտեմ; նայեմ		Յայտնեմ; յիշեցուցանեմ; իմացուցանեմ		Նկատեմ; նշմարեմ; տեսանեմ																								
ԱԿՆԱՐԿՈՒԹԻՒՆ			Ակնարկումն																														
ԱԿՆԱՐԿՈՒՄՆ			cf. ԱԿՆԱՐԿՈՒԹԻՒՆ																														
ԱԿՆԱՔԹԻԹ			cf. ԹԱՐԹԱՓ ԱԿԱՆ																														
ԱԿՆԲԱՑ			Տեսադաշտ																														
ԱԿՆԵԱԼ			Հպարտ; յոխորտ																														
ԱԿՆԵՐԵՒ			Յայտ; յայտնի; յայտանկատ		Յայտաբար; յայտնապէս																												
ԱԿՆԿԱԼԵՄ			Յուսամ; սպասեմ																														
ԱԿՆԿԱԼԻՔ			Ակնկալութիւն; յոյս																														
ԱԿՆԿԱԼՈՒԹԻՒՆ			Ակնկալիք; յոյս		Երկիւղ; կասկած; ահ		Դիտաւորութիւն; նպատակ																										
ԱԿՆԿՈՐ			Ակն ի խոնարհ		Ամօթապարտ; ամօթերես																												
ԱԿՆԿՈՐԻՄ			Ամաչեմ; պատկառեմ; կորակնեմ																														
ԱԿՆՀԱՏՈՒԹԻՒՆ			Դաւաճանութիւն																														
ԱԿՈՒՄԲ			Խումբ; բազմութիւն		Սեղան; բազմական; բազմոց																												
ԱԿՔԱՆ			Ոքոզ																														
ԱԿՕՍ			Կորի; հերձած																														
ԱԿՕՍԱՀԱՏ			Ակօսաձիգ; ակօսատար; հերկահար; հերկարար																														
ԱԿՕՍԱՁԻԳ			cf. ԱԿՕՍԱՀԱՏ																														
ԱԿՕՍԱՏԱՐ			cf. ԱԿՕՍԱՀԱՏ																														
ԱԿՕՍԵՄ			Ակօս պատառեմ; ակօսաբեկ առնեմ		Հերկեմ; վարեմ																												
ԱՀ	ի, իւ, ահք, ից, իւք		Երկիւղ; սոսկումն; հոյ		Դող; սարսուռ; սարսափիւն		Տագնապ																										
ԱՀԱ			Ահաւասիկ; ահաւադիկ; ահաւանիկ		Արդ; այժմ; արդէն																												
ԱՀԱԲԵԿ			Երկիւղաբեկ; սոսկալի; ահաւոր																														
ԱՀԱԲԵԿԵՄ			"<a href=""./?s=Ահաբեկ"">Ահաբեկ առնել</a>; ահագնեմ; ահարկեմ; սարսափեցուցանեմ; <a href=""./?s=Սրտապախ"">Սրտապախ առնել</a>"																														
ԱՀԱԲԵԿՈՒԹԻՒՆ			Զարհուրանք; սոսկումն; ահ																														
ԱՀԱԳԻՆ			Սարսափելի; զարհուրելի; երկիւղագին; ահարկու; ահաւոր		Վիթխարի		Ահագնագին; սաստկապէս																										
ԱՀԱԳՆԱԳԻՆ			cf. ԱՀԱԳԻՆ																														
ԱՀԱԳՆԱԳՈՅՆ			cf. ԱՀԱԳԻՆ																														
ԱՀԱԳՆԱՀԱՅԵԱՑ			Ահագնատեսիլ; ահաւորատես; ահադիտակ; սոսկալի																														
ԱՀԱԳՆԱՊԷՍ			Ահաւորապէս																														
ԱՀԱԳՆԱՏԵՍԻԼ			cf. ԱՀԱԳՆԱՀԱՅԵԱՑ																														
ԱՀԱԳՆԱՑԱՅՏ			Զարհուրեցուցիչ; ահարկու; սոսկալի																														
ԱՀԱԳՆԵՄ			cf. ԱՀԱԲԵԿԵՄ																														
ԱՀԱԳՆՈՒԹԻՒՆ			Ահարկութիւն; ահաւորութիւն; ահաբեկութիւն																														
ԱՀԱԴԻՏԱԿ			cf. ԱՀԱԳՆԱՀԱՅԵԱՑ																														
ԱՀԱՆԱՄ			"cf. <a href=""./?s=Ահաբեկ"">ԱՀԱԲԵԿ ԼԻՆԵԼ</a>"																														
ԱՀԱՐԿԵՄ			cf. ԱՀԱԲԵԿԵՄ																														
ԱՀԱՐԿԵԼԻ			cf. ԱՀԱՒՈՐ																														
ԱՀԱՐԿՈՒ			cf. ԱՀԱՒՈՐ																														
ԱՀԱՐԿՈՒԹԻՒՆ			cf. ԱՀԱԳՆՈՒԹԻՒՆ																														
ԱՀԱՑՈՅՑ			Ահարկու; ահաւոր																														
ԱՀԱՑՈՒՑԱՆԵՄ			cf. ԱՀԱԲԵԿԵՄ																														
ԱՀԱՒԱԴԻԿ			cf. ԱՀԱ																														
ԱՀԱՒԱՆԻԿ			cf. ԱՀԱ																														
ԱՀԱՒԱՍԻԿ			cf. ԱՀԱ																														
ԱՀԱՒՈՐ			Ահարկու; սարսափելի; զարհուրելի; երկիւղալից		Պատկառելի		Զարմանալի		Շքեղ; փառաւոր																								
ԱՀԱՒՈՐԱԳՈՅՆ			Ահեղագոյն																														
ԱՀԱՒՈՐԱՀԱՅԵԱՑ			cf. ԱՀԱԳՆԱՀԱՅԵԱՑ																														
ԱՀԱՒՈՐԱՊԷՍ			cf. ԱՀԱԳՆԱՊԷՍ																														
ԱՀԱՒՈՐԱՏԵՍ			cf. ԱՀԱԳՆԱՀԱՅԵԱՑ																														
ԱՀԱՒՈՐՈՒԹԻՒՆ			Ահարկութիւն; ահեղութիւն																														
ԱՀԱՓԵՏ			cf. ԱՀԱԲԵԿ		Արհաւիրք																												
ԱՀԵԱԿ			Ձախ																														
ԱՀԵՄ			ԱՀԱԲԵԿԵՄ																														
ԱՀԵԿԱԿՈՂՄՆ			Ձախակողմն		Ձախակողմեան																												
ԱՀԵԿԱՆ			Ձախակողմեան		Ահկի																												
ԱՀԵԿԵԱՅ			Ձախակողմեան		Ձախակողմն																												
ԱՀԵԿԻՆ			Ձախակողմեան		Ձախակողմն																												
ԱՀԵԿԻՔ			Ձախակողմեան		Ձախակողմն																												
ԱՀԵՂ			Ահաւոր; ահարկու; սարսափելի																														
ԱՀԵՂԱԳՈՅՆ			Ահաւորագոյն																														
ԱՀԵՂԱԳՈՉ			Բարձրաձայն																														
ԱՀԵՂԱԿԱՆ			cf. ԱՀԵՂ																														
ԱՀԵՂԱԿԵՐՊ			Ահեղատես																														
ԱՀԵՂԱՀՐԱՇ			Սքանչելի																														
ԱՀԵՂԱՇՈՒՔ			Մեծաշուք; վսամ																														
ԱՀԵՂԱՏԵՍ			cf. ԱՀԵՂԱԿԵՐՊ																														
ԱՀԸՆԿԷՑ			Ահարկու; ահաւոր																														
ԱՀԿԻ			cf. ԱՀԵԿԱՆ																														
ԱՀՄԱՐ			cf. ԱԽՄԱՐ																														
ԱՀՈԿ			Վնաս																														
ԱՂԱԲՈՂՈՆ			Փիլոն; բողոն																														
ԱՂԱԳ			Հնար; կերպ		Պատճառ		ճանապարհ; շաւիղ; արահետ																										
ԱՂԱԳԱՒ			Պատճառաւ; ի համար; վասն																														
ԱՂԱՄ			Մանրեմ; փշրեմ		Որոճամ																												
