"title","new_etymology","source_language","relation","cognates","pie_root"
"գիծ","From Old Armenian գիծ (giç, 'line, stripe'), from Proto-Indo-European *gʰeydʰ- ('to split, cleave').","Armenian","inherited","","*gʰeydʰ-"
"գիտեմ","From Armenian գիտեմ (gitem, 'I know'), from գիտ (git, 'knowledge') + եմ (em, 'I am').","Armenian","native formation","",""
"գիրգ","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"գիրկ","From Old Armenian գիրկ (girkʿ, 'bosom, lap, arms'), from Proto-Indo-European *gʰer- ('to grasp, enclose').","Armenian","inherited","","*gʰer-"
"գյոզ","From Turkish göz ('eye').","Turkish","loanword","Turkish göz",""
"գյոռ","From Turkish gör ('grave'), possibly from Persian گور‎ (gur, 'grave').","Turkish/Persian","loanword","Turkish gör, Persian گور‎",""
"գոգ","From Old Armenian գոգ (gog, 'lap, hollow'), from Proto-Indo-European *gʰewgʰ- ('to bend, curve').","Armenian","inherited","","*gʰewgʰ-"
"գոմեշ","From Turkish gömüş ('buffalo'), from Persian گامیش‎ (gāmiš).","Turkish/Persian","loanword","Turkish gömüş, Persian گամیش‎",""
"գոտի","From Old Armenian գոտի (goti, 'belt, girdle'), from Proto-Indo-European *gʰed- ('to bind, tie').","Armenian","inherited","","*gʰed-"
"գութ","From Old Armenian գութ (gutʿ, 'pity, compassion'), from Proto-Indo-European *gʰewdʰ- ('to pour, shed').","Armenian","inherited","","*gʰewdʰ-"
"գուռ","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"գրավ","From Old Armenian գրաւ (grav, 'pledge, security'), from Proto-Indo-European *gʰrebʰ- ('to seize, grab').","Armenian","inherited","","*gʰrebʰ-"
"գրել","From Old Armenian գրել (grel, 'to write'), from Proto-Indo-European *gerh₂- ('to scratch, carve').","Armenian","inherited","","*gerh₂-"
"գրենա","Of uncertain origin; possibly from Armenian, no clear external cognates.","Armenian","unknown","",""
"գրիժա","From Russian грыжа (gryzha, 'hernia'), via Turkish.","Russian/Turkish","loanword","Russian грыжа, Turkish",""
"գրկել","From Armenian գիրկ (girkʿ, 'arms, bosom') + -ել (verb suffix); 'to embrace, hug'.","Armenian","derived","",""
"դանակ","From Turkish bıçak ('knife'), possibly via Russian.","Turkish/Russian","loanword","Turkish bıçak, Russian нож",""
"դաշտ","From Old Armenian դաշտ (dašt, 'field'), from Proto-Indo-European *dʰes- ('to set, place').","Armenian","inherited","","*dʰes-"
"դաչա","From Russian дача (dacha, 'country house').","Russian","loanword","Russian дача",""
"դատել","From Old Armenian դատել (datel, 'to judge'), from Proto-Indo-European *dʰeh₁- ('to set, put, place').","Armenian","inherited","","*dʰeh₁-"
"դեբիլ","From Russian дебил (debil, 'moron, idiot').","Russian","loanword","Russian дебил",""
"դեպք","From Old Armenian դէպք (depʿkʿ, 'event, occurrence'), from Proto-Indo-European *dʰep- ('to happen, meet').","Armenian","inherited","","*dʰep-"
"դետ","From French dette ('debt'), but in Armenian means 'patrol, watch'; possibly from Russian or Turkish.","French/Russian/Turkish","loanword","French dette, Russian дежурный",""
"դզել","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"դիել","From Armenian դի (di, 'milk') + -ել (verb suffix); 'to suck, drink mother’s milk'.","Armenian","derived","",""
"դիետա","From Russian диета (dieta, 'diet'), from Greek δίαιτα (díaïta).","Russian/Greek","loanword","Russian диета, Greek δίαιτα",""
"դիտակ","From Russian бинокль (binoklʹ, 'binoculars'), but generic for 'optical instrument' in Armenian.","Russian","loanword","Russian бинокль",""
"դլփին","Rare form of դելֆին (delfin, 'dolphin'), from Russian дельфин (delʹfin).","Russian","loanword","Russian дельфин",""
"դնել","From Old Armenian դնել (dnel, 'to put, lay'), from Proto-Indo-European *dʰeh₁- ('to set, put, place').","Armenian","inherited","","*dʰeh₁-"
"դոն","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"դոշ","From Old Armenian դոշ (doš, 'breast, chest'), from Proto-Indo-European *dʰeus- ('to swell, be full').","Armenian","inherited","","*dʰeus-"
"դույլ","From Russian ведро (vedro, 'bucket, pail').","Russian","loanword","Russian ведро",""
"դույն","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"դուրգ","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"դուք","From Old Armenian դուք (dukʿ, 'you' plural), from Proto-Indo-European *yū- ('you' plural).","Armenian","inherited","","*yū-"
"դրժել","From Old Armenian դրժել (držel, 'to break one’s word'), from Proto-Indo-European *derk- ('to tear, break').","Armenian","inherited","","*derk-"
"դրվագ","From Old Armenian դրվագ (drvaɡ, 'ornament, decoration'), from դրվել (drvel, 'to be put, placed').","Armenian","derived","",""
"եզակի","From Armenian եզակ (ezak, 'single, unique') + -ի (adjectival suffix).","Armenian","derived","",""
"եթիմ","From Greek ὀρφανός (orphanós, 'orphan'), via Turkish yetim.","Greek/Turkish","loanword","Greek ὀρφανός, Turkish yetim",""
"ելմակ","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"եղինջ","From Old Armenian եղինջ (ełinj, 'nettle'), from Proto-Indo-European *h₁en- ('to prick, sting').","Armenian","inherited","","*h₁en-"
"եղյամ","From Old Armenian եղյամ (ełyam, 'frost, hoarfrost'), from Proto-Indo-European *h₁eygʷʰ- ('to be cold, freeze').","Armenian","inherited","","*h₁eygʷʰ-"
"եմիշ","From Turkish yemiş ('fruit, melon'), from yemek ('to eat').","Turkish","loanword","Turkish yemiş",""
"եվրեյ","From Russian еврей (yevrey, 'Jew'), from Hebrew יְהוּדִי‎ (yehudí).","Russian/Hebrew","loanword","Russian еврей, Hebrew יְהוּדִי‎",""
"հետև","From Old Armenian հետեւ (hetew, 'back, behind'), from Proto-Indo-European *sekʷ- ('to follow').","Armenian","inherited","","*sekʷ-"
"երազ","From Old Armenian երազ (eraz, 'dream'), from Proto-Indo-European *h₁reǵ- ('to see, look').","Armenian","inherited","","*h₁reǵ-"
"երե","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"երթալ","Dialectal/Western Armenian form of երթալ (ertʿal, 'to go'), from Old Armenian երթալ (ertʿal).","Armenian","inherited","",""
"երկիր","From Old Armenian երկիր (erkir, 'country, land'), from Proto-Indo-European *dʰéǵʰōm ('earth').","Armenian","inherited","","*dʰéǵʰōm"
"երևալ","From Old Armenian երևալ (erewal, 'to appear'), from երևան (erewan, 'appearance').","Armenian","derived","",""
"զագառ","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"զալ","From Russian зал (zal, 'hall, living room').","Russian","loanword","Russian зал",""
"զգալ","From Old Armenian զգալ (zgal, 'to feel, sense'), from Proto-Indo-European *ǵel- ('to touch, feel').","Armenian","inherited","","*ǵel-"
"զեղխ","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"զեղչ","From Russian скидка (skidka, 'discount'), via Turkish.","Russian/Turkish","loanword","Russian скидка, Turkish",""
"զենք","From Old Armenian զէնք (zenkʿ, 'weapon'), from Proto-Indo-European *gʷen- ('to strike, kill').","Armenian","inherited","","*gʷen-"
"զիբիլ","From Turkish zibil ('garbage, trash'), from Persian زباله‎ (zabāle).","Turkish/Persian","loanword","Turkish zibil, Persian زباله‎",""
"զղջալ","From Old Armenian զղջալ (złjal, 'to regret'), from Proto-Indo-European *ǵel- ('to touch, feel').","Armenian","inherited","","*ǵel-"
"զոբ","From Russian зоб (zob, 'goiter').","Russian","loanword","Russian зоб",""
"զոդել","From Russian паять (payatʹ, 'to solder, weld'), via Turkish.","Russian/Turkish","loanword","Russian паять, Turkish",""
"զոնա","From Russian зона (zona, 'zone'), from Latin zona.","Russian/Latin","loanword","Russian зона, Latin zona",""
"զոռ","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"զոր","From Old Armenian զոր (zor, 'strength, force'), from Proto-Indo-European *gʷerH- ('heavy, strong').","Armenian","inherited","","*gʷerH-"
"զուսպ","From Old Armenian զուսպ (zusp, 'restrained, moderate'), from Proto-Indo-European *swep- ('to sleep, rest').","Armenian","inherited","","*swep-"
"զուտ","From Russian чистый (chisty, 'pure, clean'), via Turkish.","Russian/Turkish","loanword","Russian чистый, Turkish",""
"զրո","From French zéro ('zero'), from Italian zero, from Arabic صِفْر‎ (ṣifr).","French/Italian/Arabic","loanword","French zéro, Italian zero, Arabic صِفْر‎",""
"էգուց","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"էլիպս","From French ellipse ('ellipse'), from Greek ἔλλειψις (élleipsis).","French/Greek","loanword","French ellipse, Greek ἔλλειψις",""
"էծ","Dialectal/colloquial form of այծ (ayc, 'goat'), from Proto-Indo-European *h₁eiḱ- ('goat').","Armenian","inherited","","*h₁eiḱ-"
"էկրան","From French écran ('screen'), from Dutch scherm ('screen, shield').","French/Dutch","loanword","French écran, Dutch scherm",""
"էն","Dialectal/colloquial form of այն (ayn, 'that'), from Old Armenian այն (ayn).","Armenian","inherited","",""
"էշ","From Old Armenian էշ (eš, 'donkey'), from Proto-Indo-European *h₁eḱwos ('horse').","Armenian","inherited","","*h₁eḱwos"
"էսման","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"էսսե","From French essai ('essay'), via English essay.","French/English","loanword","French essai, English essay",""
"էրիկ","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"ըդման","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"ըմբիշ","From Armenian ըմբ (əmb, 'to wrestle') + -իշ (agent suffix); 'wrestler'.","Armenian","derived","",""
"ըմպել","From Old Armenian ըմպել (əmpel, 'to drink'), from Proto-Indo-European *h₁embʰ- ('to drink').","Armenian","inherited","","*h₁embʰ-"
"ընկեր","From Old Armenian ընկեր (ənker, 'friend, companion'), from Proto-Indo-European *h₁en- ('in, inside').","Armenian","inherited","","*h₁en-"
"թակ","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թամահ","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թանալ","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
