title,part_of_speech,definition,suggested_etymology,source,notes,likely_origin
անձրև,noun,['rain.'],,,,Unknown
անորակ,noun,"['of inferior quality, low-grade.']",,,,Unknown
անութ,noun,['armpit.'],,,,Unknown
անուր,noun,"['collar for animals.', 'collar (for animals).', '(figuratively) oppression, yoke.']",,,,Unknown
անջատել,verb,"['transitive to separate, to part; to detach; to disconnect; to disunite.', '(transitive) to separate, to part; to detach; to disconnect; to disunite.', '(transitive) to turn off, to shut down, to disable (to put a device, system or mechanism out of operation).']",,,,Unknown
անջրպետ,noun,"['bar, barrier, obstacle; partition.']",,,,Unknown
անց,noun,"['after; past.', 'passage, pass, passageway.']",,,,Unknown
անցնել,verb,"['intransitive to pass.', '(intransitive) to pass.']",,,,Unknown
աշակերտ,noun,"['schoolchild, pupil; apprentice.', 'disciple.']",,,,Unknown
աշխատել,verb,"['to work; to work (on, at); to toil, to labour.', 'to work, to be employed at.', 'to work, to run; to operate, to function (of an appliance).', 'to earn.', 'to try, to seek.']",,,,Unknown
աշտանակ,noun,['candlestick.'],,,,Unknown
աչք,noun,['eye.'],,,,Unknown
ապաթարց,noun,"['grammar apostrophe.', '(grammar) apostrophe.']",,,,Unknown
ապահովել,verb,"['transitive to protect, to keep safe, to secure.', '(transitive) to protect, to keep safe, to secure.']",,,,Unknown
ապավինել,verb,"['to rely on, place reliance in.']",,,,Unknown
ապարանք,noun,['palace.'],,,,Unknown
ապուխտ,noun,"['salted and smoked meat cuts.', 'ham.', '(Western Armenian, formal) pastirma.']",From Old Armenian ապուխտ,,,Armenian
ապուր,noun,['soup.'],,,,Unknown
ապտակ,noun,['slap in the face.'],,,,Unknown
ապտակել,verb,"['transitive to slap.', '(transitive) to slap.']",,,,Unknown
ապրանք,noun,"['goods, product.']",,,,Unknown
աջակցել,verb,"['to aid, to assist, to succour.']",,,,Unknown
առաջարկ,noun,"['offer, suggestion, proposal.', '(economics) supply.']",,,,Unknown
առաջնորդ,noun,"['leader, chief.']",,,,Unknown
առասպել,noun,"['myth.', 'legend.']",,,,Unknown
առավոտ,noun,"['morning.', '(figuratively) youth.']",,,,Unknown
առարկա,noun,"['object; thing.', 'subject.']",,,,Unknown
առաքել,verb,"['to send, to dispatch.', 'to deliver.']",,,,Unknown
առաքյալ,noun,['apostle.'],,,,Unknown
առեղծված,noun,"['mystery, enigma, riddle, conundrum.']",,,,Unknown
առերեսել,verb,"['to confront, to come face to face.']",,,,Unknown
առիք,noun,"['dialectal forms recorded in dialectological notation.', '(dialectal) ceiling.']",,,,Unknown
առկախել,verb,"['to hang, to dangle.', '(transitive, rare) to hang, to dangle.']",Borrowed from English առկախել,,,English
առկայծել,verb,"['to fade, to wane, to dim.', '(figuratively) to shine, to sparkle, to glimmer.', '(figuratively) to feel enveloped by a strong inner sensation, especially as a result of a new idea.']",,,,Unknown
առյուծ,noun,['lion.'],,,,Unknown
առնետ,noun,['rat.'],,,,Unknown
առնչել,verb,"['transitive to relate to.', '(transitive) to relate to.']",,,,Unknown
առվույտ,noun,"['alfalfa, lucerne.', 'alfalfa, lucerne, Medicago sativa.']",,,,Unknown
առևանգել,verb,['to kidnap.'],,,,Unknown
ասացվածք,noun,"['proverb, saying.']",,,,Unknown
ասեղ,noun,['needle.'],,,,Unknown
ասպանդակ,noun,['stirrup.'],,,,Unknown
ասպատակ,noun,"['raider, plunderer.', 'raid, inroad, incursion.']",,,,Unknown
ասպարեզ,noun,"['sphere; area, domain, field, realm.', 'racecourse, hippodrome.', 'arena.', '(dated) stadion (a unit of distance).']",,,,Unknown
աստղ,noun,"['star.', 'celebrity, star.']",,,,Unknown
աստված,noun,"['god.', '(often capitalized, singular only) God of Christianity.']",Borrowed from Italian աստված,,,Italian
ասք,noun,"['literature legend, saga, word, tale, song, lay.', '(literature) legend, saga, word, tale, song, lay.']",,,,Unknown
ավազ,noun,['sand.'],,,,Unknown
ավազակ,noun,"['robber, brigand, thug, bandit.']",,,,Unknown
ավանակ,noun,"['donkey, ass.', '(figuratively) ass, jackass; idiot, dumb-ass, fool, blockhead, clot, dimwit.']",,,,Unknown
ավել,noun,"['broom, besom.']",,,,Unknown
ավելյաց,noun,"['historical, often, capitalized the five epagomenal days of the ancient Armenian calendar (inserted at the end of the year).', '(historical, often capitalized) the five epagomenal days of the ancient Armenian calendar (inserted at the end of the year).']",Borrowed from Italian ավելյաց,,,Italian
ավետիս,noun,"['good news.', 'promise of reward.']",,,,Unknown
ավերանք,noun,"['ruin, devastation.']",,,,Unknown
ավերել,verb,"['transitive to ruin, destroy, devastate.', '(transitive) to ruin, destroy, devastate.']",,,,Unknown
ավլել,verb,"['transitive to sweep.', '(transitive) to sweep (with a broom).']",,,,Unknown
ավտոտնակ,noun,['garage.'],,,,Unknown
ատամ,noun,"['tooth.', '(technology) cog.', 'prong.', 'merlon.']",,,,Unknown
ատել,verb,['to hate.'],,,,Unknown
արածել,verb,"['intransitive to graze, to pasture, to browse.', '(intransitive) to graze, to pasture, to browse.', '(transitive, dialectal) to pasture, to feed (to take animals out to graze).']",,,,Unknown
արարած,noun,['creature.'],,,,Unknown
արարել,verb,"['poetic to do.', '(poetic) to do.', '(poetic) to create.']",,,,Unknown
արաց,noun,"['historical, sometimes, capitalized the sixth month of the.', '(historical, sometimes capitalized) the sixth month of the Armenian calendar.']",Borrowed from Italian արաց,,,Italian
արգանդ,noun,"['womb, uterus.']",,,,Unknown
արգելել,verb,"['transitive to forbid, to prohibit.', '(transitive) to forbid, to prohibit.']",,,,Unknown
արդյունք,noun,['result; outcome; product.'],,,,Unknown
արդուկել,verb,"['to press, to iron, to pass an iron over.']",,,,Unknown
արթնանալ,verb,"['intransitive to wake up, awake.', '(intransitive) to wake up, awake.']",,,,Unknown
արժույթ,noun,['currency.'],,,,Unknown
արծիվ,noun,['eagle.'],,,,Unknown
արհեստ,noun,"['handicraft, trade; craft; technical/manual profession, occupation.']",,,,Unknown
արձագանք,noun,"['echo.', '(figuratively) repercussion.', 'response.']",,,,Unknown
արձակել,verb,"['to release, to set free, to liberate.', 'to open, to open up, to unbutton.', 'to send on vacation, to recess.', '(figuratively) to break (a bond).', 'to shoot, to fire.', 'to scatter, to spread, to emit.', 'to discharge, to dismiss (from office or employment).', 'to untie, to unbind, to unleash.', 'to dissolve (a parliament, etc.).', 'to break up (a gathering).', '(archaic) to finish, to end.', '(archaic) (ecclesiastical) to absolve.']",,,,Unknown
արմո,noun,"['Internet slang, derogatory a diasporoid Armenian usually from a Western country.', '(Internet slang, derogatory) a diasporoid Armenian (usually from a Western country).']",From Old Armenian արմո,,,Armenian
արմունկ,noun,['elbow.'],,,,Unknown
արշավանք,noun,"['invasion, incursion, raid.', '(military) campaign.']",,,,Unknown
արշավել,verb,"['to run with an intention to attack; to raid, invade.']",,,,Unknown
արոս,noun,['field that is left uncultivated for 5-6 years for strengthening.'],,,,Unknown
արոր,noun,['plough.'],,,,Unknown
արորել,verb,['to plough.'],,,,Unknown
արույր,noun,"['brass, alloy of copper and zinc.']",,,,Unknown
արվեստ,noun,['art.'],,,,Unknown
արտագաղթ,noun,['emigration.'],,,,Unknown
արտադրել,verb,"['to produce, make.']",,,,Unknown
արտալա,noun,"[', glosses with.', 'beef shank.', 'a khash made from beef shank.', '(by extension) any lean and low-value cut of meat.', '(figuratively) an unwanted accompanying person brought by the guest.']",,,,Unknown
արտասվել,verb,"['to cry, to weep, to shed tears.', '(figuratively) to sap (of plants and trees).', '(figuratively) to flow out, to pour out.']",,,,Unknown
արտավար,noun,"['tilled and sown land.', 'the surface area of one field.', '(archaic) husbandman, tiller.']",,,,Unknown
արտաքսել,verb,"['to deport, to expel.', 'to discharge, to depose (from office or employment).', 'to exile, to banish.']",,,,Unknown
արտոսր,noun,"['archaic, poetic tear.', '(archaic, poetic) tear.']",,,,Unknown
արտորալ,verb,"['dialectal forms recorded in dialectological notation.', '(intransitive) to hurry, to make haste.']",,,,Unknown
արտորայք,noun,"['collective noun fields, tilled lands.', '(collective noun) fields, tilled lands.']",,,,Unknown
արքա,noun,"['king, monarch.', '(chess) king.']",,,,Unknown
արև,noun,"['the sun.', 'sunlight.', '(figuratively) life.']",,,,Unknown
արևելք,noun,['east.'],,,,Unknown
արևմուտք,noun,['west.'],,,,Unknown
ափսե,noun,"['Eastern Armenian plate.', '(Eastern Armenian) plate.', '(Western Armenian) tray.']",From Old Armenian ափսե,,,Armenian
ափսոսանք,noun,['regret.'],,,,Unknown
աքաղաղ,noun,['rooster.'],,,,Unknown
աքիս,noun,"['weasel, least weasel <ref></ref>.', 'weasel, least weasel (Mustela nivalis).']",,,,Unknown
աքսորանք,noun,['synonym of աքսոր (akʻsor).'],,,,Unknown
աքսորել,verb,"['to exile, to banish.', '(figuratively) to expel, to kick out.']",,,,Unknown
բազմանալ,verb,"['intransitive to multiply, increase.', '(intransitive) to multiply, increase.', '(intransitive) to breed, reproduce.']",,,,Unknown
բազրիք,noun,"['railing, handrail.']",,,,Unknown
բաժ,noun,"['historical a kind of indirect tax.', '(historical) a kind of indirect tax.']",,,,Unknown
բաժանորդ,noun,['subscriber.'],,,,Unknown
բալատուր,noun,"['cashew nut.', 'marking-nut tree, Semecarpus anacardium.']",,,,Unknown
բակ,noun,"['court; yard, courtyard.']",,,,Unknown
բակլա,noun,"['broad bean, <ref></ref>.', 'broad bean, Vicia faba.']",,,,Unknown
բաղխել,verb,"['dated alternative form of բախել.', '(dated) alternative form of բախել (baxel).']",From Old Armenian բաղխել,,,Armenian
բաղկանալ,verb,['to consist of; to be comprised of.'],,,,Unknown
բաղձալ,verb,"['literary to desire, to wish, to long for, to want.', '(literary) to desire, to wish, to long for, to want.']",,,,Unknown
բաղձանք,noun,"['strong desire, longing, craving.']",,,,Unknown
բաղնիք,noun,"['bathhouse building containing baths for communal use.', 'bathhouse (building containing baths for communal use).', 'bathroom.', 'the act of bathing.']",,,,Unknown
բամբիշ,noun,"['dated, rare queen.', '(dated, rare) queen.']",,,,Unknown
բայ,noun,"['grammar verb.', '(grammar) verb.', 'lair.']",,,,Unknown
բանել,verb,"['intransitive to work, operate, function.', '(intransitive) to work, operate, function.']",,,,Unknown
բաննա,noun,['bricklayer.'],,,,Unknown
բաշխել,verb,"['to allocate.', 'to distribute, to allot.']",,,,Unknown
բառ,noun,['word.'],,,,Unknown
բառգիրք,noun,"['rare dictionary.', '(rare) dictionary.']",,,,Unknown
բառնալ,verb,"['archaic to load; to lade, to freight.', '(archaic) to load; to lade, to freight.', '(archaic) to lift, to raise; to heave.', '(archaic) to destroy, extinguish.']",,,,Unknown
բավիղ,noun,['labyrinth.'],,,,Unknown
բարբառ,noun,"['linguistics dialect.', '(linguistics) dialect.', '(dated) language; speech; word.']",,,,Unknown
բարեկամ,noun,"['relative.', 'friend, pal.', '(form of address) buddy.']",,,,Unknown
բարևել,verb,['to greet.'],,,,Unknown
բացառել,verb,"['to make an exception.', 'to reject, to decline, to turn down.', 'to disallow, to preclude, to prohibit.']",,,,Unknown
բացել,verb,['to open.'],,,,Unknown
բեկանել,verb,"['legal to annul, to reverse a decision.', '(law) to annul, to reverse (a decision).', 'alternative form of բեկել (bekel).']",From Old Armenian բեկանել,,,Armenian
բեհեզ,noun,"['byssus, fine linen.']",,,,Unknown
բեյթ,noun,"['couplet, a verse of poetry consisting of two lines.']",,,,Unknown
բեռ,noun,"['burden; load; freight; cargo, lading.', '(figuratively) burden.']",,,,Unknown
բերել,verb,"['to bring, to fetch.']",,,,Unknown
բժշկել,verb,"['transitive, somewhat, formal to cure, heal.', '(transitive, somewhat formal) to cure, heal.']",,,,Unknown
բիբ,noun,"['pupil of the eye.', 'pupil (of the eye).']",,,,Unknown
բիթ,noun,"['computing bit binary digit.', '(computing) bit (binary digit).']",,,,Unknown
բլոգ,noun,['blog.'],,,,Unknown
բլուր,noun,['hill.'],,,,Unknown
բղուղ,noun,"['an earthenware jar for holding pickles, oil, milk, matzoon, etc.']",,,,Unknown
բմբուլ,noun,['down feather.'],,,,Unknown
բյուրեղ,noun,"['crystal.', '(mineralogy) beryl.', 'cut glass, crystal (glassware).']",,,,Unknown
բնագիր,noun,"['original (of a text).', 'epigraph.']",,,,Unknown
բնադրել,verb,"['of birds to nest.', '(of birds) to nest.']",,,,Unknown
բնակել,verb,"['intransitive to live, reside, dwell.', '(intransitive) to live, reside, dwell.', '(transitive) to settle.']",,,,Unknown
բնորոշել,verb,"['to describe, to characterize, to call.', 'to determine, to establish, to ascertain.']",,,,Unknown
բոզբաշ,noun,['bozbash.'],,,,Unknown
բողբոջել,verb,"['to blossom, to bud, to sprout.', '(figuratively) to grow, to thrive, to burgeon.', '(figuratively) to mature, to develop, to flourish.']",,,,Unknown
բողկ,noun,['radish.'],,,,Unknown
բողկուկ,noun,"['newly grown horn of animals.', '(anatomy) feeler, antenna.']",,,,Unknown
բողոքել,verb,"['to complain.', 'to protest.']",,,,Unknown
բողջոց,noun,"['Tigranakert swelling, tumour, wound.', '(Diyarbakır) swelling, tumour, wound.']",,,,Unknown
բովել,verb,"['transitive to roast.', '(transitive) to roast.']",,,,Unknown
բորոտել,verb,"['to have leprosy.', '(dialectal) to have scabies.']",,,,Unknown
բուժկետ,noun,"['first aid post, aid station; infirmary.']",,,,Unknown
բուծանել,verb,"['dated alternative form of բուծել.', '(dated) alternative form of բուծել (bucel).']",From Old Armenian բուծանել,,,Armenian
բունկալ,noun,"['nest egg, an egg placed in a henhouse that induces the hens to lay eggs.']",,,,Unknown
բուսնել,verb,"['to grow, to germinate.', '(figuratively) to appear suddenly.']",,,,Unknown
բուրգ,noun,['pyramid.'],,,,Unknown
բուրել,verb,"['to smell good, have a pleasant aroma.']",,,,Unknown
բուրվառ,noun,['censer.'],,,,Unknown
բռնել,verb,"['to hold.', 'to catch.', 'to arrest.', 'to occupy.', 'to cover, to embrace.']",,,,Unknown
բռունցք,noun,"['fist.', '(figuratively) violence.']",,,,Unknown
բրեցել,noun,['pretzel.'],,,,Unknown
բևեռ,noun,"['geography pole.', '(geography) pole.', '(physics, electricity) pole.', '(archaic) nail.']",,,,Unknown
գագաթ,noun,"['top, apex, summit, crest, peak.', 'culmination point, height, summit, climax, peak.', '(geometry) apex; vertex.']",,,,Unknown
գաթա,noun,"['dialectal forms recorded in dialectological notation.', 'gata.']",,,,Unknown
գալարել,verb,"['transitive to coil, twist, bend, curl.', '(transitive) to coil, twist, bend, curl.']",,,,Unknown
գալուստ,noun,"['coming, arrival; advent.']",,,,Unknown
գայռ,noun,"['archaic foul-smelling mud, scum, mire, filth.', '(archaic) foul-smelling mud, scum, mire, filth.']",,,,Unknown
գանգ,noun,"['considers this an inheritance from , the zero-grade of , whence , , , and possibly.', 'skull, cranium.']",,,,Unknown
գանգատ,noun,['complaint.'],,,,Unknown
գանգրել,verb,"['to frizzle, curl hair.', 'to frizzle, curl (hair).']",,,,Unknown
գանձ,noun,"['treasure, riches.']",,,,Unknown
գանձապահ,noun,"['cashier, teller.', 'treasurer.']",,,,Unknown
գանձավոր,noun,"['rare treasurer.', '(rare) treasurer.']",,,,Unknown
գառ,noun,"['<ref></ref><ref></ref><ref></ref><ref></ref>.', 'lamb.']",,,,Unknown
գառնանգղ,noun,"['lammergeier, bearded vulture.', 'lammergeier, bearded vulture, Gypaetus barbatus.']",,,,Unknown
գավակ,noun,"['rump, croup of a horse.', 'rump, croup (of a horse).']",,,,Unknown
գարշապար,noun,"['archaic heel.', '(archaic) heel.']",,,,Unknown
գարշել,verb,"['to abhor, to detest.', 'to shrink from, to disdain.', 'to have an aversion, repugnance.', 'to loathe.']",,,,Unknown
գգվանք,noun,"['caress, cuddle, embrace.']",,,,Unknown
գեղարդ,noun,"['lance, large spear.']",,,,Unknown
գեղմ,noun,"['archaic fleece, wool.', '(archaic) fleece, wool.']",,,,Unknown
գերխնդիր,noun,"['top priority, prime concern (something of great importance).']",,,,Unknown
գերծել,verb,"['archaic, transitive to shave.', '(archaic, transitive) to shave.']",,,,Unknown
գերշուկա,noun,"['rare supermarket.', '(rare) supermarket.', '(rare) hypermarket.']",,,,Unknown
գժտվել,verb,"['inflection of գժտել.', 'mediopassive of գժտել (gžtel).', 'to quarrel, fall out with.']",,,,Unknown
գիծ,noun,"['dialectal forms recorded in dialectological notation<ref></ref>.', 'line.']",,,,Unknown
գիմ,noun,"['the name of the Armenian letter գ.', 'the name of the Armenian letter գ (g).']",From Old Armenian գիմ,,,Armenian
գինեմոլ,noun,"['drunkard, toper, tippler.']",,,,Unknown
գիշատել,verb,"['to tear to pieces, to devour.']",,,,Unknown
գիտակցել,verb,"['to realize, to become aware of (to fully comprehend).', 'to feel, to be aware, to be conscious of.']",,,,Unknown
գիտելիք,noun,['knowledge.'],,,,Unknown
գիտենալ,verb,['to know.'],,,,Unknown
գիրկ,noun,"['arms, lap, bosom.']",,,,Unknown
գլանիկ,noun,['cigarette.'],,,,Unknown
գլխատել,verb,"['transitive to behead, decapitate.', '(transitive) to behead, decapitate.']",,,,Unknown
գլխարկ,noun,['hat.'],,,,Unknown
գլխացավ,noun,['headache.'],,,,Unknown
գյոռ,noun,"['Muslim grave.', '(derogatory, offensive) any grave.']",,,,Unknown
գնահատել,verb,"['to value, evaluate appreciate, estimate.', 'to give a mark.']",,,,Unknown
գնդացիր,noun,['machine gun.'],,,,Unknown
գոգ,noun,"['lap.', 'hollow, depression in the earth.', 'lap, hem (of clothes).']",,,,Unknown
գոգնոց,noun,['apron.'],,,,Unknown
գողանալ,verb,"['transitive to steal.', '(transitive) to steal.']",,,,Unknown
գողտրիկ,noun,"['lovely, delicate, pleasant.']",,,,Unknown
գոմեշ,noun,['buffalo.'],,,,Unknown
գոյանալ,verb,"['intransitive to come into existence, to come into being, to appear.', '(intransitive) to come into existence, to come into being, to appear.', '(intransitive) to be formed, produced, shaped.']",,,,Unknown
գովեստ,noun,"['praise, laudation.']",,,,Unknown
գործածել,verb,"['transitive to utilize, employ, make use of, use.', '(transitive) to utilize, employ, make use of, use.', '(transitive) to apply, put into practice.']",,,,Unknown
գործել,verb,"['to function, work, operate; to act.', 'to knit.']",,,,Unknown
գործիչ,noun,"['figure, personality.']",,,,Unknown
գորովել,verb,"['to feel affection for, to adore, to love.', 'to be fond of, to hold dear.', '(rare) to feel sorry for, to pity.']",,,,Unknown
գութ,noun,"['<ref name=""HAB""></ref>.', 'pity, compassion.']",,,,Unknown
գուլպա,noun,"['sock.', 'stocking.']",,,,Unknown
գումար,noun,"['sum.', '(euphemistic) money.']",,,,Unknown
գումարել,verb,"['to add up, sum up.']",,,,Unknown
գուշակ,noun,"['soothsayer, diviner.', 'sign, portent, presage.']",,,,Unknown
գուշակել,verb,"['to foretell, to predict.', 'to understand, to get.', 'to anticipate.', ""to tell fortunes, to tell somebody's fortune."", 'to guess.', '(archaic) to use magic to divine or make predictions.']",,,,Unknown
գուպար,noun,"['fight, struggle, battle.', '(archaic) fight, struggle, battle.']",,,,Unknown
գուռ,noun,"['abreuvoir, watering trough for people or animals.', 'abreuvoir, watering trough (for people or animals).', 'basin in a bath, قرنه (kurna).', 'kneading trough.', 'a vessel for raising silkworm made of cow dung.', 'dog bowl.', 'winepress basin.', 'beehive.', 'drainpipe.', 'slack tub.']",,,,Unknown
գրառել,verb,"['to write, to write down, to record.']",,,,Unknown
գրավ,noun,"['pledge, security, surety.', 'deposit, prepayment.', '(archaic) wager.']",,,,Unknown
գրգռել,verb,"['to excite, to stimulate.', 'to irritate, to annoy.', 'to intensify, to aggravate.', 'to arouse (sexually).', 'to incite, to goad.', 'to upset, to unnerve.', 'to anger, to inflame.']",,,,Unknown
գրել,verb,['to write.'],,,,Unknown
գրկել,verb,"['to embrace, hug.']",,,,Unknown
գրոհել,verb,"['to attack, assault, storm.']",,,,Unknown
դադարել,verb,"['to end, to stop.', 'to pause, to interrupt.', 'to halt, to stop, to reject.', '(rare) to rest.']",,,,Unknown
դահճապետ,noun,['chief-executioner.'],,,,Unknown
դանակ,noun,['knife.'],,,,Unknown
դաշտ,noun,"['field.', '(sports) playing field, sports ground.', '(physics) field.', 'field, sphere.']",,,,Unknown
դառնալ,verb,"['to become; to turn into.', 'to return, to come back.', 'to turn, to change direction.']",,,,Unknown
դասալիք,noun,['deserter.'],,,,Unknown
դասակարգ,noun,"['class social grouping.', 'class (social grouping).']",,,,Unknown
դավադրել,verb,['to conspire.'],,,,Unknown
դատ,noun,"['legal trial, judicial proceedings.', '(law) trial, judicial proceedings.', 'justice.']",,,,Unknown
դատարկել,verb,['to empty.'],,,,Unknown
