title,part_of_speech,definition,etymology,source_language,relation,cognates,pie_root,source,exists_in_dict
բարտի,adj,"[', considers the origin unknown and derives the descendants of from Armenian.', '(Western Armenian)",TBD,,,,,priority1_batch_1,True
բացել,verb,['to open.'],TBD,,,,,priority1_batch_1,True
բեհեզ,noun,"['byssus, fine linen.']",TBD,,,,,priority1_batch_1,True
բեյթ,noun,"['couplet, a verse of poetry consisting of two lines.']",TBD,,,,,priority1_batch_1,True
բեռ,noun,"['burden; load; freight; cargo, lading.', '(figuratively) burden.']",TBD,,,,,priority1_batch_1,True
բերան,noun,"['mouth.', '(figuratively) opening, entrance, aperture, outlet.', '(figuratively) mouth (of a river)",TBD,,,,,priority1_batch_1,True
բերել,verb,"['to bring, to fetch.']",TBD,,,,,priority1_batch_1,True
բիբ,noun,"['pupil of the eye.', 'pupil (of the eye).']",TBD,,,,,priority1_batch_1,True
բիբար,noun,"['pepper plant of the family.', 'pepper (plant of the family Piperaceae).', 'pepper (plant of the ge",TBD,,,,,priority1_batch_1,True
բիզ,adj,"['awl.', 'pointed, sharp.']",TBD,,,,,priority1_batch_1,True
բիլակ,noun,"['dialectal wrist.', '(dialectal) wrist.', '(dialectal, figuratively) strength, power.']",TBD,,,,,priority1_batch_1,True
բլյատ,intj,"['vulgar, slang, Eastern Armenian fuck, fucking hell, bloody hell .', '(vulgar, slang, Eastern Armen",TBD,,,,,priority1_batch_1,True
բլոգ,noun,['blog.'],TBD,,,,,priority1_batch_1,True
բլուր,noun,['hill.'],TBD,,,,,priority1_batch_1,True
բղուղ,noun,"['an earthenware jar for holding pickles, oil, milk, matzoon, etc.']",TBD,,,,,priority1_batch_1,True
բողկ,noun,['radish.'],TBD,,,,,priority1_batch_1,True
բոմժ,noun,"['tramp, bum, hobo, slacker, homeless person.', '(figuratively) poorly dressed person.']",TBD,,,,,priority1_batch_1,True
բովել,verb,"['transitive to roast.', '(transitive) to roast.']",TBD,,,,,priority1_batch_1,True
բորշ,noun,['borscht.'],TBD,,,,,priority1_batch_1,True
բորոտ,adj,"['leprous.', 'scabby, itchy.']",TBD,,,,,priority1_batch_1,True
բոց,adj,"['flames, blaze, fire.', '(figuratively) passion, ardor, fervor.', '(slang) amusing thing, joke.', '",TBD,,,,,priority1_batch_1,True
բուրգ,noun,['pyramid.'],TBD,,,,,priority1_batch_1,True
բռնել,verb,"['to hold.', 'to catch.', 'to arrest.', 'to occupy.', 'to cover, to embrace.']",TBD,,,,,priority1_batch_1,True
