"title","new_etymology","source_language","relation","cognates","pie_root"
"թառքավորողություն61","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն62","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն63","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն64","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն65","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն66","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն67","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն68","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն69","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն70","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն71","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն72","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն73","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն74","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն75","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն76","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն77","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն78","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն79","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն80","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն81","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն82","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն83","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն84","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն85","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն86","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն87","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն88","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն89","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն90","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն91","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն92","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն93","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն94","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն95","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն96","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն97","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն98","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն99","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
"թառքավորողություն100","Of uncertain origin; possibly from Armenian dialects, no clear external cognates.","Armenian","unknown","",""
